scope,owner_id,owner_type,panel_block,tab_label,asset_kind,classification,figure_kind,series_count,point_count,title,why
node,M-1430,factory,incoming,,figure,variable,line_multi,8,14600,M-1430 - stocks intrants,serie issue des stocks intrants / risques du site selon build_factory_hover_images + model_panel
node,M-1430,factory,outgoing,,figure,variable,line_multi,1,1825,M-1430 - stock produits finis,serie issue des sorties PF / details MRP du site
node,M-1430,factory,third,,figure,variable,line_multi,4,296,M-1430 - production desiree / reelle / capacite / manque de production,bloc HTML carnet MRP / synthese construit depuis mrp_orders_daily.csv (408 lignes node_id)
node,M-1430,factory,fourth,Reappro amont,figure,variable,line_multi,2,222,M-1430 - reappro amont,"serie MRP/reappro construite depuis model_panel et mrp_orders_daily.csv (408 lignes node_id, 737 src, 408 dst)"
node,M-1430,factory,fourth,Carnet,html,text,,0,0,,bloc HTML carnet MRP / synthese construit depuis mrp_orders_daily.csv (408 lignes node_id)
node,M-1430,factory,fourth,Risque,figure,variable,line_multi,4,7300,M-1430 - trace MRP explicite,"serie MRP/reappro construite depuis model_panel et mrp_orders_daily.csv (408 lignes node_id, 737 src, 408 dst)"
node,M-1430,factory,fourth,MRP detaille,figure,variable,line_multi,3,5475,M-1430 - releases / receipts / target,"serie MRP/reappro construite depuis model_panel et mrp_orders_daily.csv (408 lignes node_id, 737 src, 408 dst)"
node,M-1810,factory,incoming,,figure,variable,line_multi,15,27375,M-1810 - stocks intrants,serie issue des stocks intrants / risques du site selon build_factory_hover_images + model_panel
node,M-1810,factory,outgoing,,figure,variable,line_multi,1,1825,M-1810 - stock produits finis,serie issue des sorties PF / details MRP du site
node,M-1810,factory,third,,figure,variable,line_multi,4,4708,M-1810 - production desiree / reelle / capacite / manque de production,bloc HTML carnet MRP / synthese construit depuis mrp_orders_daily.csv (5588 lignes node_id)
node,M-1810,factory,fourth,Reappro amont,figure,variable,line_multi,2,2440,M-1810 - reappro amont,"serie MRP/reappro construite depuis model_panel et mrp_orders_daily.csv (5588 lignes node_id, 1264 src, 5588 dst)"
node,M-1810,factory,fourth,Carnet,html,text,,0,0,,bloc HTML carnet MRP / synthese construit depuis mrp_orders_daily.csv (5588 lignes node_id)
node,M-1810,factory,fourth,Risque,figure,variable,line_multi,4,7300,M-1810 - trace MRP explicite,"serie MRP/reappro construite depuis model_panel et mrp_orders_daily.csv (5588 lignes node_id, 1264 src, 5588 dst)"
