day,M-1430 | item:038005,M-1430 | item:042342,M-1430 | item:333362,M-1430 | item:344135,M-1430 | item:708073,M-1430 | item:730384,M-1430 | item:734545,M-1430 | item:773474,M-1810 | item:001757,M-1810 | item:001848,M-1810 | item:001893,M-1810 | item:002612,M-1810 | item:007923,M-1810 | item:016332,M-1810 | item:029313,M-1810 | item:039668,M-1810 | item:049371,M-1810 | item:055703,M-1810 | item:099439,M-1810 | item:338928,M-1810 | item:338929,M-1810 | item:426331,M-1810 | item:693055,SDC-1450 | item:021081
119,80.729656,23968.241825,1349.922744,713.621099,5.2338,256.8168,3.06,2305.063922,3.069616,2.252697,13.936788,1.707738,234.0744,0.496641,0.057474,0.036083,6.654052,0.098364,1.804162,1420.462318,847.611039,7.7825,640.43633,983203.118662
120,80.729656,27965.899325,1364.572744,749.871099,5.2338,259.9226,3.25,2075.76437,3.031046,2.272947,14.174958,1.705327,281.6576,0.496641,0.057474,0.035119,6.68973,0.100099,1.75595,1456.712318,924.411039,7.7825,646.38423,983201.623289
121,80.314051,28343.036825,1364.572744,784.227476,5.422137,263.0284,3.25,1846.464817,2.992476,2.304767,14.010071,1.693274,329.2408,0.496641,0.05651,0.035119,6.684096,0.099521,1.804162,1461.757564,924.411039,8.04375,636.74173,983200.935424
122,79.898446,28720.174325,1340.822744,760.477476,5.422137,257.9934,3.25,1846.464817,2.991442,2.293653,13.88279,1.681221,376.824,0.495117,0.05651,0.035119,6.648419,0.098942,1.75595,1468.007564,900.661039,7.7825,627.09923,983198.906831
123,79.48284,29097.311825,1342.072744,736.727476,5.610475,261.0992,3.25,2075.76437,2.952872,2.282082,13.754545,1.772824,424.4072,0.495117,0.055546,0.035119,6.612742,0.098942,1.707737,1444.257564,951.714788,7.7825,617.45673,983199.398459
124,79.067235,27898.839826,1318.322744,742.977476,5.610475,279.133653,3.06,1846.464817,2.914302,2.29076,13.607979,1.804163,347.2672,0.495117,0.057474,0.035119,6.577065,0.098749,1.707737,1452.816318,930.792285,7.7825,607.81423,983198.210899
125,78.651629,26465.717326,1332.972744,719.227476,5.422137,274.098653,2.87,1846.464817,2.875732,2.261832,13.754545,1.813805,519.5736,0.495117,0.05651,0.037048,6.541387,0.098749,1.659525,1429.066318,907.042285,7.7825,598.17173,983198.632546
126,78.651629,26866.107765,1347.446347,695.477476,5.610475,282.239453,2.87,2075.76437,2.875732,2.232905,13.699582,1.780056,567.1568,0.483546,0.056383,0.036083,6.50571,0.101256,1.611312,1405.316318,883.292285,7.52125,588.52923,983196.924264
127,78.236024,25432.985265,1348.696347,671.727476,5.422137,285.345253,2.87,2992.96258,2.837162,2.212423,13.516375,1.780056,490.0168,0.506688,0.056383,0.036083,6.470033,0.102414,1.5631,1411.566318,897.942285,7.26,610.06753,983198.501233
128,77.820418,23999.862765,1421.71885,677.977476,5.422137,285.345253,3.25,2992.96258,2.875732,2.238458,13.662458,1.768003,498.1368,0.495117,0.055419,0.035119,6.470033,0.101835,1.5631,1409.683853,912.592285,6.99875,616.01543,983196.365881
129,77.820418,27997.520265,1397.96885,654.227476,5.2338,296.591853,3.44,3222.262132,2.870653,2.264492,13.644138,1.808984,622.86,0.506688,0.054455,0.035119,6.434356,0.101835,1.611312,1444.13623,965.642285,6.99875,606.37293,983196.470186
130,77.404813,30184.917765,1374.21885,630.477476,5.798812,307.838453,3.25,2992.96258,2.911253,2.255814,13.790704,1.784878,545.72,0.52983,0.054455,0.035119,6.398678,0.103185,1.5631,1420.38623,1005.29912,6.7375,612.32083,983196.463027
131,76.989208,30562.055265,1374.21885,636.727476,5.610475,302.803453,3.63,2992.96258,2.872683,2.235336,13.772383,1.739076,622.86,0.518259,0.053491,0.036083,6.363001,0.102606,1.514887,1396.63623,1019.94912,6.7375,602.67833,983194.327674
132,76.573602,30779.84908,1374.21885,672.060722,5.610475,297.768453,3.63,2763.663027,2.951853,2.255586,13.900628,1.714969,545.72,0.52983,0.052526,0.035119,6.327324,0.102414,1.514887,1372.88623,996.19912,6.99875,608.62623,983193.687068
133,76.562455,31156.98658,1350.46885,648.310722,5.610475,292.733453,3.44,2763.663027,2.951853,2.246907,13.790704,1.712559,546.804832,0.541401,0.052526,0.035119,6.291647,0.101064,1.466675,1349.13623,972.44912,7.26,598.98373,983192.405815
134,76.14685,31534.12408,1328.761135,624.560722,5.422137,287.698453,3.63,2763.663027,2.946774,2.255586,13.772383,1.698095,469.664832,0.541401,0.053491,0.035119,6.255969,0.103763,1.418462,1325.38623,973.117956,7.52125,598.981699,983190.476471
135,75.731244,30101.00158,1305.011135,630.810722,5.422137,282.663453,3.44,2534.363475,2.908204,2.293191,13.662458,1.657114,392.524832,0.564543,0.053491,0.034155,6.220292,0.105499,1.418462,1331.63623,949.367956,7.52125,598.981699,983188.767783
136,75.731244,30478.13908,1281.261135,637.060722,5.610475,282.663453,3.44,2305.063922,2.946774,2.330797,13.680779,1.657114,315.384832,0.587685,0.052526,0.033191,6.184615,0.104728,1.418462,1337.88623,949.367956,7.52125,589.339199,983188.988462
137,75.676517,30855.27658,1257.511135,643.310722,5.610475,277.628453,3.63,2305.063922,2.908204,2.322119,13.918949,1.628187,238.244832,0.576114,0.053491,0.034155,6.186493,0.102799,1.37025,1344.13623,975.04055,7.52125,630.669999,983188.443903
138,75.66537,31232.41408,1233.761135,619.560722,5.610475,280.734253,3.63,2534.363475,2.869634,2.293191,14.083836,1.671578,234.0744,0.587685,0.055419,0.034155,6.150815,0.101449,1.418462,1320.38623,989.69055,7.52125,621.027499,983186.735621
139,75.249765,29799.29158,1210.011135,595.810722,5.422137,281.848756,3.44,2305.063922,2.908204,2.272942,14.19376,1.669168,156.9344,0.587685,0.054455,0.034155,6.115138,0.102028,1.418462,1296.63623,1004.34055,7.26,636.075354,983184.920378
140,75.249747,28366.16908,1248.411135,602.060722,5.422137,298.605613,3.63,2075.76437,2.946774,2.284513,14.083836,1.727023,329.2408,0.587685,0.054455,0.034155,6.150815,0.104535,1.418462,1302.88623,1018.99055,7.26,626.432854,983184.42916
