product_code,alignment,metric_id,metric_label,comparison_role,observed_count,matched_count,observed_mean_eur,observed_median_eur,observed_min_eur,observed_max_eur,simulated_snapshot_mean_eur,simulated_snapshot_median_eur,simulated_snapshot_min_eur,simulated_snapshot_max_eur,simulated_daily_mean_eur,mean_gap_eur,mean_gap_pct,mae_eur,mae_pct,sim_above_observed_snapshots,mean_component_count,mean_priced_component_count
268091,previous_day,stock_total_value,Stock composant total valorise,direct_real_like,52,52,259678.4,250117.69,181337.72,382653.99,373607.67713465256,392828.01079026,196654.28156026002,734509.064572689,374946.7906467064,113929.27713465254,43.87322054304576,117411.87146926034,45.21433876258493,47,15.0,14.0
268091,same_day,stock_total_value,Stock composant total valorise,direct_real_like,52,52,259678.4,250117.69,181337.72,382653.99,376701.40436097526,398258.01079026,196654.28156026002,738826.064572689,374946.7906467064,117023.00436097525,45.064589261554005,120313.3828093061,46.33168673609592,47,15.0,14.0
268091,previous_day,excess_over_90d,Diagnostic: excedent au-dessus couverture 90j,diagnostic,52,52,259678.4,250117.69,181337.72,382653.99,205859.49675449246,212726.52582786002,89899.74050316,358362.668376409,207439.82397861336,-53818.90324550755,-20.7252136664072,60692.69835992619,23.372255204871173,8,15.0,14.0
268091,previous_day,excess_vs_mrp_target,Diagnostic: excedent au-dessus cible MRP,diagnostic,52,52,259678.4,250117.69,181337.72,382653.99,348625.56071039074,368068.6616609829,171300.9273732979,715522.705150139,349959.1846019398,88947.16071039073,34.25281452380742,97698.8621530327,37.62302222789138,47,15.0,14.0
268091,same_day,excess_over_90d,Diagnostic: excedent au-dessus couverture 90j,diagnostic,52,52,259678.4,250117.69,181337.72,382653.99,208087.10135885826,219028.8689239722,89633.46078546,362679.668376409,207439.82397861336,-51591.29864114176,-19.86738159243963,58925.411699692864,22.6916877567379,8,15.0,14.0
268091,same_day,excess_vs_mrp_target,Diagnostic: excedent au-dessus cible MRP,diagnostic,52,52,259678.4,250117.69,181337.72,382653.99,351829.77405744616,372998.6986210983,171124.27536896025,719839.705150139,349959.1846019398,92151.37405744618,35.486730531860246,100759.9559245419,38.80182407336994,47,15.0,14.0
268967,previous_day,stock_total_value,Stock composant total valorise,direct_real_like,52,52,930695.2119230769,927498.18,606978.55,1435465.25,1801345.434643728,1861592.08425239,422500.19442500005,2840738.16807978,1799574.4357416863,870650.2227206511,93.54837239590434,927390.1968715207,99.64488749816097,42,8.0,6.0
268967,same_day,stock_total_value,Stock composant total valorise,direct_real_like,52,52,930695.2119230769,927498.18,606978.55,1435465.25,1811140.1887975743,1885497.95925239,425229.410425,2840738.16807978,1799574.4357416863,880444.9768744973,94.60078504704579,932375.2198369972,100.1805110730557,45,8.0,6.0
268967,previous_day,excess_vs_mrp_target,Diagnostic: excedent au-dessus cible MRP,diagnostic,52,52,930695.2119230769,927498.18,606978.55,1435465.25,1444528.0721097973,1467353.3710486903,200477.20767329997,2446499.4548760806,1442853.0300256466,513832.8601867204,55.209573832984255,765622.9396386711,82.26355200180731,30,8.0,6.0
268967,previous_day,excess_over_90d,Diagnostic: excedent au-dessus couverture 90j,diagnostic,52,52,930695.2119230769,927498.18,606978.55,1435465.25,1536594.2153664338,1751803.7415177128,0.0,2685892.0706594237,1497240.9903886765,605899.003443357,65.1017643242625,887879.1905802479,95.39956574458365,36,8.0,6.0
268967,same_day,excess_vs_mrp_target,Diagnostic: excedent au-dessus cible MRP,diagnostic,52,52,930695.2119230769,927498.18,606978.55,1435465.25,1454245.1649857203,1491259.2460486903,201331.87872129996,2446499.4548760806,1442853.0300256466,523549.9530626435,56.25364204687834,763786.9044550557,82.06627633517725,30,8.0,6.0
268967,same_day,excess_over_90d,Diagnostic: excedent au-dessus couverture 90j,diagnostic,52,52,930695.2119230769,927498.18,606978.55,1435465.25,1543920.8882661725,1764328.8691234682,0.0,2676874.4774727835,1497240.9903886765,613225.6763430956,65.88899013201106,893215.2735969839,95.97290951474339,37,8.0,6.0
