snapshot_dt,day,sim_day,real_value_eur,day_sim,factory_pf_stock_qty,dc_pf_stock_qty,total_pf_stock_qty,demand_qty,served_qty,backlog_end_qty,implied_pf_unit_value_eur,physical_pf_value_at_median_unit_eur
2025-10-06 00:07:10,278,277,477209.84,277,0.0,81435.448971,81435.448971,8617.163266,8617.163266,0.0,5.859976779521893,76791.39144106001
2025-10-13 00:06:49,285,284,437169.89,284,0.0,0.0,0.0,9840.408164,9840.408164,0.0,,0.0
2025-10-20 00:07:14,292,291,526134.31,291,0.0,0.0,0.0,10951.55102,10951.55102,0.0,,0.0
2025-10-27 00:07:23,299,298,574926.91,298,5000.0,0.0,5000.0,9113.265306,9113.265306,0.0,114.985382,4714.862655721725
2025-11-03 00:07:33,306,305,531240.59,305,800.0,0.0,800.0,8952.591837,0.0,24413.979598,664.0507375,754.378024915476
2025-11-10 00:07:18,313,312,486468.78,312,0.0,0.0,0.0,7853.979592,0.0,68303.020413,,0.0
2025-11-17 00:07:25,320,319,466289.65,319,0.0,0.0,0.0,11231.77551,0.0,125715.938781,,0.0
2025-11-24 00:07:21,327,326,397869.05,326,5000.0,0.0,5000.0,15710.653061,0.0,223909.346945,79.57381,4714.862655721725
2025-12-01 00:07:45,334,333,350112.19,333,0.0,0.0,0.0,12566.367347,0.0,302749.918373,,0.0
2025-12-08 00:07:59,341,340,315634.0,340,5000.0,0.0,5000.0,10369.326531,5000.0,355673.102046,63.1268,4714.862655721725
2025-12-15 00:07:28,348,347,347582.74,347,0.0,0.0,0.0,16038.734694,15600.0,413226.265313,,0.0
2025-12-22 00:06:55,355,354,483712.36,354,5000.0,0.0,5000.0,18205.877551,5000.0,505351.693884,96.74247199999999,4714.862655721725
2025-12-29 00:06:59,362,361,496914.88,361,0.0,0.0,0.0,8042.693877,0.0,582289.16327,,0.0
