snapshot_dt,day,sim_day,real_value_eur,day_sim,factory_pf_stock_qty,dc_pf_stock_qty,total_pf_stock_qty,demand_qty,served_qty,backlog_end_qty,implied_pf_unit_value_eur,physical_pf_value_at_median_unit_eur
2025-01-06 00:05:56,5,4,256910.48,4,14400.0,345580.265303,359980.265303,3730.122449,3730.122449,0.0,0.7136793451267535,339451.5019347827
2025-01-13 00:06:03,12,11,285631.22,11,14400.0,265327.224485,279727.224485,6395.938776,6395.938776,0.0,1.021106259949741,263775.08890260285
2025-01-20 00:06:36,19,18,260772.84,18,14400.0,176999.632649,191399.632649,9826.346939,9826.346939,0.0,1.362452144713468,180484.59605912535
2025-01-27 00:06:40,26,25,254168.97,25,83421.142852,186119.020414,269540.163266,10908.122449,10908.122449,0.0,0.942972531144345,254168.97
2025-02-03 00:06:15,33,32,269288.0,32,43196.881633,177614.759178,220811.64081100002,9826.367347,9826.367347,0.0,1.2195371539786368,208219.31184168463
2025-02-10 00:06:11,40,39,260950.34,39,70769.922447,189783.053064,260552.97551100003,8082.122449,8082.122449,0.0,1.001525081370576,245694.29881479824
2025-02-17 00:06:22,47,46,267942.61,46,120147.208165,173200.138773,293347.346938,11164.122449,11164.122449,0.0,0.9133970795946234,276618.4902466042
2025-02-24 00:07:08,54,53,338635.78,53,14400.0,227435.102042,241835.102042,13871.387755,13871.387755,0.0,1.4002755478449462,228043.8582920957
2025-03-03 00:06:40,61,60,294372.91,60,90684.42858,226047.877547,316732.306127,12297.755102,12297.755102,0.0,0.929406013550021,298669.86440376274
2025-03-10 00:06:22,68,67,256629.69,67,362453.910204,198861.216328,561315.126532,10315.22449,10315.22449,0.0,0.45719361169820494,529304.7456354883
2025-03-17 00:06:59,75,74,215293.31,74,299504.979589,175196.99592,474701.975509,10716.979592,10716.979592,0.0,0.45353362974559225,447630.9233849426
2025-03-24 00:06:50,82,81,276580.01,81,246416.714281,196741.285717,443157.999998,11996.0,11996.0,0.0,0.6241115132779916,417885.8209549797
2025-03-31 00:07:56,89,88,247053.44,88,180314.2653,215225.918368,395540.18366800004,10356.489796,10356.489796,0.0,0.6245975761779147,372983.5281627131
2025-04-07 00:06:16,96,95,315925.02,95,322109.2653,177476.612248,499585.877548,7670.591837,7670.591837,0.0,0.6323738003775858,471095.7594754064
2025-04-14 00:06:44,103,102,302817.02,102,266601.857143,156195.502039,422797.35918200004,10339.653061,10339.653061,0.0,0.7162225908550377,398686.29594899534
2025-04-21 00:06:39,110,109,391423.84,109,394442.04082,236083.265306,630525.306126,10632.448979,10632.448979,0.0,0.6207900558423907,594568.0438681972
2025-04-28 00:07:06,117,116,389285.31,116,585037.04082,232970.2449,818007.28572,6226.244898,6226.244898,0.0,0.47589467330643126,771358.4007099038
2025-05-05 00:06:41,124,123,460264.0,123,621832.04082,210334.938768,832166.979588,4386.122449,4386.122449,0.0,0.5530909195987006,784710.6030768409
2025-05-12 00:06:56,131,130,503849.08,130,585480.84897,148299.318371,733780.167341,7806.44898,7806.44898,0.0,0.6866485392018681,691934.5417010639
2025-05-19 00:07:01,138,137,485649.52,137,738956.714275,172886.081636,911842.795911,10318.204082,10318.204082,0.0,0.5326022447924255,859842.7092659321
2025-05-26 00:06:36,145,144,498638.49,144,657532.428562,177165.693881,834698.1224430001,10776.020408,10776.020408,0.0,0.5973878179342029,787097.4012615082
2025-06-02 00:06:28,152,151,491597.58,151,730303.428571,191860.469388,922163.897959,10044.102041,10044.102041,0.0,0.5330913312568833,869575.2249883336
2025-06-09 00:06:41,159,158,505172.83,158,693415.673473,181324.877544,874740.5510169999,7936.387755,7936.387755,0.0,0.5775116169162053,824856.3114870994
2025-06-16 00:06:31,166,165,499547.91,165,618888.963263,161129.461226,780018.424489,9198.734694,9198.734694,0.0,0.6404309107534994,735535.9480796164
2025-06-23 13:27:48,173,172,440942.4,172,487630.857148,191627.979589,679258.8367369999,12327.163265,12327.163265,0.0,0.6491522467608722,640522.4245800521
2025-06-30 00:06:46,180,179,406043.19,179,386483.44899,244491.346926,630974.795916,10813.081633,10813.081633,0.0,0.6435172888491341,594991.9003931971
2025-07-07 00:08:05,187,186,375162.41,186,386483.44899,192042.918348,578526.367338,9817.938776,9817.938776,0.0,0.6484793627060631,545534.472942457
2025-07-14 00:08:02,194,193,409357.13,193,336436.269381,169321.897971,505758.167352,8630.612245,8630.612245,0.0,0.8093930190851345,476916.0592148407
2025-07-21 00:06:34,201,200,436302.28,200,257447.000005,145856.714282,403303.714287,11022.714285,11022.714285,0.0,1.0818206342863421,380304.3242811281
2025-07-28 00:07:35,208,207,532761.42,207,93064.612251,259430.06122,352494.673471,10344.591837,10344.591837,0.0,1.5114027532782868,332392.79445784824
2025-08-04 00:06:53,215,214,493670.35,214,93064.612251,259430.06122,352494.673471,5562.020408,5562.020408,0.0,1.4005044250423677,332392.79445784824
2025-08-11 00:06:43,222,221,475179.0,221,93064.612251,256603.673458,349668.285709,4626.142857,4626.142857,0.0,1.3589422301668277,329727.5884359197
2025-08-18 00:06:33,229,228,457890.31,228,93064.612251,192327.265295,285391.877546,5229.163265,5229.163265,0.0,1.6044265658058063,269116.7011375886
2025-08-25 00:08:15,236,235,438198.97,235,45079.43673,139277.15509,184356.59181999997,8720.122449,8720.122449,0.0,2.3769096926452393,173843.2020216502
2025-09-01 00:08:34,243,242,412345.91,242,14400.0,162888.081626,177288.081626,10275.22449,10275.22449,0.0,2.325852399203398,167177.79107259447
2025-09-08 00:08:41,250,249,529664.63,249,1278.567345,179189.653058,180468.22040299998,9276.081633,9276.081633,0.0,2.934946822311521,170176.5745845324
2025-09-15 00:09:32,257,256,488795.63,256,14400.0,153192.938774,167592.938774,9688.510204,9688.510204,0.0,2.91656458545156,158035.53767763803
2025-09-22 00:06:49,264,263,457852.37,263,8400.0,163706.918367,172106.918367,11888.061224,11888.061224,0.0,2.6602787054944397,162292.09643998314
2025-09-29 00:06:39,271,270,369787.48,270,0.0,127310.489792,127310.489792,10111.102041,10111.102041,0.0,2.9046112429868045,120050.29480038852
