real_mean,sim_mean,bias,mae,corr,sim_over_real,calibrated_scale,calibrated_sim_mean,calibrated_bias,calibrated_mae,rule
930695.2119230769,875243.4139559753,-55451.797967101535,92672.83631566673,0.6086229149661891,0.9404189499884472,1.0630442197896337,930422.4521148453,-272.7598082316645,97351.65590858692,physical_minus_future_need_270d_eur
930695.2119230769,839292.2216305472,-91402.9902925296,103269.47540604213,0.6546871545462486,0.9017906301423153,1.1063240093828222,928529.1356781234,-2166.0762449536346,94717.50180112662,physical_minus_future_need_365d_eur
930695.2119230769,937285.8275385827,6590.61561550577,105154.99135638481,0.4108704314882415,1.0070813898374826,0.9927400952560338,930481.221712783,-213.99021029387055,103027.97002027406,physical_minus_future_need_180d_eur
930695.2119230769,799980.7820175178,-130714.42990555901,133731.08792774536,0.6564625666468489,0.8595518401395164,1.1582672497779238,926591.5402626232,-4103.67166045367,97766.95176213258,physical_minus_future_need_540d_eur
930695.2119230769,981357.6792083941,50662.46728531692,136305.07395910594,0.3616655902620825,1.0544350788918688,0.9458723053160788,928239.0503724805,-2456.1615505965196,110377.96291224995,physical_minus_future_need_120d_eur
930695.2119230769,1000994.7493368497,70299.53741377276,153005.87773250148,0.4049855624956563,1.0755344354555283,0.9245093099691584,925428.9649921614,-5266.246930915368,112293.74013009825,mrp_target_excess_eur
930695.2119230769,1002167.0761602501,71471.86423717308,153189.3892291621,0.3454190975698062,1.0767940603127122,0.9245957113785552,926599.3807025531,-4095.8312205238417,113793.3877971058,physical_minus_future_need_90d_eur
930695.2119230769,1013668.6810338555,82973.46911077845,162068.70474102406,0.36478951185246233,1.0891521392264738,0.9136467871351971,926135.1336461549,-4560.078276922049,111383.90353991192,physical_minus_future_need_lead_plus_safety_eur
930695.2119230769,765388.4189836008,-165306.79293947594,165962.02889115614,0.6662322914320217,0.8223835356390133,1.2086155908127076,925060.3762110691,-5634.835712007811,98154.5858687414,physical_minus_future_need_730d_eur
930695.2119230769,1022837.3316534831,92142.11973040618,169066.77394056864,0.365083975306979,1.099003539021131,0.9049668349914338,925633.862737536,-5061.349185540825,111472.3023989829,physical_minus_future_need_60d_eur
