snapshot_dt,day_x,sim_day,real_value_eur,day_y,stock_value_eur,safety_delay_value_eur,effective_reference_value_eur,excess_above_safety_delay_eur,excess_above_effective_reference_eur
2025-01-06 00:05:56,5,4,656921.88,4,720013.072068915,77034.45176867809,84767.47005717328,642978.620300237,635245.6020117417
2025-01-13 00:06:03,12,11,720134.07,11,720013.072068915,77034.45176867809,84767.47005717328,642978.620300237,635245.6020117417
2025-01-20 00:06:36,19,18,606978.55,18,784028.8452989149,77034.45176867809,84767.47005717328,706994.3935302369,699261.3752417417
2025-01-27 00:06:40,26,25,692705.41,25,763406.434428515,77034.45176867809,84767.47005717328,686371.9826598369,678638.9643713416
2025-02-03 00:06:15,33,32,613334.5,32,929681.890428515,77034.45176867809,84767.47005717328,852647.4386598369,844914.4203713416
2025-02-10 00:06:11,40,39,656472.97,39,940114.390428515,77034.45176867809,84767.47005717328,863079.9386598369,855346.9203713416
2025-02-17 00:06:22,47,46,695644.81,46,961834.390428515,77034.45176867809,84767.47005717328,884799.9386598369,877066.9203713418
2025-02-24 00:07:08,54,53,740448.32,53,969561.979558115,77034.45176867809,84767.47005717328,892527.5277894369,884794.5095009417
2025-03-03 00:06:40,61,60,715265.49,60,989057.842601315,77034.45176867809,84767.47005717328,912023.390832637,904290.3725441417
2025-03-10 00:06:22,68,67,823262.17,67,1015427.842601315,77034.45176867809,84767.47005717328,938393.390832637,930660.3725441417
2025-03-17 00:06:59,75,74,899331.26,74,1032767.842601315,77034.45176867809,84767.47005717328,955733.390832637,948000.3725441417
2025-03-24 00:06:50,82,81,826291.24,81,1032767.842601315,77034.45176867809,84767.47005717328,955733.390832637,948000.3725441417
2025-03-31 00:07:56,89,88,860620.24,88,1043627.842601315,77034.45176867809,84767.47005717328,966593.390832637,958860.3725441417
2025-04-07 00:06:16,96,95,844469.28,95,1043627.842601315,77034.45176867809,84767.47005717328,966593.390832637,958860.3725441417
2025-04-14 00:06:44,103,102,949947.4,102,1043627.842601315,77034.45176867809,84767.47005717328,966593.390832637,958860.3725441417
2025-04-21 00:06:39,110,109,986757.36,109,1096367.842601315,77034.45176867809,84767.47005717328,1019333.390832637,1011600.3725441417
2025-04-28 00:07:06,117,116,950013.26,116,1096367.842601315,77034.45176867809,84767.47005717328,1019333.390832637,1011600.3725441417
2025-05-05 00:06:41,124,123,952816.2,123,1122737.8426013151,77034.45176867809,84767.47005717328,1045703.390832637,1037970.3725441417
2025-05-12 00:06:56,131,130,904276.21,130,1149107.8426013151,77034.45176867809,84767.47005717328,1072073.390832637,1064340.3725441417
2025-05-19 00:07:01,138,137,977680.69,137,1149107.8426013151,77034.45176867809,84767.47005717328,1072073.390832637,1064340.3725441417
2025-05-26 00:06:36,145,144,964313.13,144,1149107.8426013151,77034.45176867809,84767.47005717328,1072073.390832637,1064340.3725441417
2025-06-02 00:06:28,152,151,913515.99,151,1175477.8426013151,77034.45176867809,84767.47005717328,1098443.390832637,1090710.3725441417
2025-06-09 00:06:41,159,158,901349.11,158,1201847.8426013151,77034.45176867809,84767.47005717328,1124813.390832637,1117080.3725441417
2025-06-16 00:06:31,166,165,1030088.41,165,1201847.8426013151,77034.45176867809,84767.47005717328,1124813.390832637,1117080.3725441417
2025-06-23 13:27:48,173,172,1018792.36,172,1201847.8426013151,77034.45176867809,84767.47005717328,1124813.390832637,1117080.3725441417
2025-06-30 00:06:46,180,179,1056984.52,179,1201847.8426013151,77034.45176867809,84767.47005717328,1124813.390832637,1117080.3725441417
2025-07-07 00:08:05,187,186,955981.86,186,1201847.8426013151,77034.45176867809,84767.47005717328,1124813.390832637,1117080.3725441417
2025-07-14 00:08:02,194,193,943812.41,193,1201847.8426013151,77034.45176867809,84767.47005717328,1124813.390832637,1117080.3725441417
2025-07-21 00:06:34,201,200,979933.29,200,1201847.8426013151,77034.45176867809,84767.47005717328,1124813.390832637,1117080.3725441417
2025-07-28 00:07:35,208,207,927498.18,207,1201847.8426013151,77034.45176867809,84767.47005717328,1124813.390832637,1117080.3725441417
2025-08-04 00:06:53,215,214,927498.18,214,1201847.8426013151,77034.45176867809,84767.47005717328,1124813.390832637,1117080.3725441417
2025-08-11 00:06:43,222,221,927498.18,221,1201847.8426013151,77034.45176867809,84767.47005717328,1124813.390832637,1117080.3725441417
2025-08-18 00:06:33,229,228,927498.18,228,1201847.8426013151,77034.45176867809,84767.47005717328,1124813.390832637,1117080.3725441417
2025-08-25 00:08:15,236,235,951028.42,235,1201847.8426013151,77034.45176867809,84767.47005717328,1124813.390832637,1117080.3725441417
2025-09-01 00:08:34,243,242,936323.01,242,1167477.157817315,77034.45176867809,84767.47005717328,1090442.706048637,1082709.6877601417
2025-09-08 00:08:41,250,249,954057.28,249,1139980.609990115,77034.45176867809,84767.47005717328,1062946.158221437,1055213.1399329416
2025-09-15 00:09:32,257,256,1070103.57,256,1105609.925206115,77034.45176867809,84767.47005717328,1037100.4248347947,1031946.0929691556
2025-09-22 00:06:49,264,263,1134444.24,263,1060355.190240515,77034.45176867809,84767.47005717328,1012308.2698691947,1007153.9380035555
2025-09-29 00:06:39,271,270,991637.45,270,1060355.190240515,77034.45176867809,84767.47005717328,1012308.2698691947,1007153.9380035555
2025-10-06 00:07:10,278,277,896029.67,277,1060355.190240515,77034.45176867809,84767.47005717328,1012308.2698691947,1007153.9380035555
2025-10-13 00:06:49,285,284,888479.56,284,1060355.190240515,77034.45176867809,84767.47005717328,1012308.2698691947,1007153.9380035555
2025-10-20 00:07:14,292,291,878742.0,291,1060355.190240515,77034.45176867809,84767.47005717328,1012308.2698691947,1007153.9380035555
2025-10-27 00:07:23,299,298,820347.49,298,1056432.380910515,77034.45176867809,84767.47005717328,1008385.4605391948,1003231.1286735556
2025-11-03 00:07:33,306,305,839166.59,305,1047279.159140515,77034.45176867809,84767.47005717328,999232.2387691948,994077.9069035556
2025-11-10 00:07:18,313,312,922272.23,312,1045971.556030515,77034.45176867809,84767.47005717328,997924.6356591948,992770.3037935556
2025-11-17 00:07:25,320,319,940190.38,319,1044663.952920515,77034.45176867809,84767.47005717328,996617.0325491948,991462.7006835556
2025-11-24 00:07:21,327,326,1054580.85,326,1039433.540480515,77034.45176867809,84767.47005717328,991386.6201091948,986232.2882435556
2025-12-01 00:07:45,334,333,1185097.87,333,1035510.731150515,77034.45176867809,84767.47005717328,987463.8107791947,982309.4789135555
2025-12-08 00:07:59,341,340,1273667.17,340,1031587.9218205151,77034.45176867809,84767.47005717328,983541.0014491947,978386.6695835555
2025-12-15 00:07:28,348,347,1241546.58,347,1021127.0969405151,77034.45176867809,84767.47005717328,973080.1765691948,967925.8447035556
2025-12-22 00:06:55,355,354,1434836.3,354,1009358.668950515,77034.45176867809,84767.47005717328,961311.7485791947,956157.4167135556
2025-12-29 00:06:59,362,361,1435465.25,361,1008051.0658405151,77034.45176867809,84767.47005717328,960004.1454691947,954849.8136035556
