output_dir,case_dir,size_bytes,size_mb,file_count,keep,sim_days,fill_rate,ending_backlog,total_cost,total_produced,lot_count,archive_destination,action
etudecas\simulation\sensibility\active_supplier_parameter_result\cases\supplier_capacity_node_SDC-VD0505677A_1_0\simulation_output,etudecas\simulation\sensibility\active_supplier_parameter_result\cases\supplier_capacity_node_SDC-VD0505677A_1_0,47415441,45.219,20,False,1825,1.0,0,61416154.1416,106327600.0,,,deleted
etudecas\simulation\sensibility\active_supplier_parameter_result\cases\supplier_capacity_node_SDC-VD0508918A_0_01\simulation_output,etudecas\simulation\sensibility\active_supplier_parameter_result\cases\supplier_capacity_node_SDC-VD0508918A_0_01,47460340,45.262,20,False,1825,1.0,0,61498296.0786,106327600.0,,,deleted
etudecas\simulation\sensibility\active_supplier_parameter_result\cases\supplier_capacity_node_SDC-VD0508918A_0_05\simulation_output,etudecas\simulation\sensibility\active_supplier_parameter_result\cases\supplier_capacity_node_SDC-VD0508918A_0_05,47460164,45.262,20,False,1825,1.0,0,61498296.0786,106327600.0,,,deleted
etudecas\simulation\sensibility\active_supplier_parameter_result\cases\supplier_capacity_node_SDC-VD0508918A_0_1\simulation_output,etudecas\simulation\sensibility\active_supplier_parameter_result\cases\supplier_capacity_node_SDC-VD0508918A_0_1,47411775,45.215,20,False,1825,1.0,0,61416154.1416,106327600.0,,,deleted
etudecas\simulation\sensibility\active_supplier_parameter_result\cases\supplier_capacity_node_SDC-VD0508918A_0_25\simulation_output,etudecas\simulation\sensibility\active_supplier_parameter_result\cases\supplier_capacity_node_SDC-VD0508918A_0_25,47411768,45.215,20,False,1825,1.0,0,61416154.1416,106327600.0,,,deleted
etudecas\simulation\sensibility\active_supplier_parameter_result\cases\supplier_capacity_node_SDC-VD0508918A_0_5\simulation_output,etudecas\simulation\sensibility\active_supplier_parameter_result\cases\supplier_capacity_node_SDC-VD0508918A_0_5,47411781,45.215,20,False,1825,1.0,0,61416154.1416,106327600.0,,,deleted
etudecas\simulation\sensibility\active_supplier_parameter_result\cases\supplier_capacity_node_SDC-VD0508918A_0_75\simulation_output,etudecas\simulation\sensibility\active_supplier_parameter_result\cases\supplier_capacity_node_SDC-VD0508918A_0_75,47411784,45.215,20,False,1825,1.0,0,61416154.1416,106327600.0,,,deleted
etudecas\simulation\sensibility\active_supplier_parameter_result\cases\supplier_capacity_node_SDC-VD0508918A_1_0\simulation_output,etudecas\simulation\sensibility\active_supplier_parameter_result\cases\supplier_capacity_node_SDC-VD0508918A_1_0,47415441,45.219,20,False,1825,1.0,0,61416154.1416,106327600.0,,,deleted
etudecas\simulation\sensibility\active_supplier_parameter_result\cases\supplier_capacity_node_SDC-VD0514881A_0_01\simulation_output,etudecas\simulation\sensibility\active_supplier_parameter_result\cases\supplier_capacity_node_SDC-VD0514881A_0_01,47404693,45.209,20,False,1825,1.0,0,61416154.1416,106327600.0,,,deleted
etudecas\simulation\sensibility\active_supplier_parameter_result\cases\supplier_capacity_node_SDC-VD0514881A_0_05\simulation_output,etudecas\simulation\sensibility\active_supplier_parameter_result\cases\supplier_capacity_node_SDC-VD0514881A_0_05,47415438,45.219,20,False,1825,1.0,0,61416154.1416,106327600.0,,,deleted
etudecas\simulation\sensibility\active_supplier_parameter_result\cases\supplier_capacity_node_SDC-VD0514881A_0_1\simulation_output,etudecas\simulation\sensibility\active_supplier_parameter_result\cases\supplier_capacity_node_SDC-VD0514881A_0_1,47415447,45.219,20,False,1825,1.0,0,61416154.1416,106327600.0,,,deleted
