node,item,suppliers,stockout_days,nearout_days,min_stock,avg_stock,avg_cons_per_day,cover_days,total_consumed,total_arrivals,total_shipments,criticality_score
M-1430,item:042342,1,0,0,31847.881717,43360.813052,1218.981294,35.571352,36569.438823,10134.805005,36569.438825,0.807193
M-1430,item:773474,1,0,6,44.9856,1992.256817,195.036967,10.214765,5851.108999,1023.75,1473.75,0.472112
M-1810,item:007923,1,0,0,618.8,667.201029,76.917017,8.674297,2307.510518,2232.402076,2307.510518,0.425239
M-1810,item:338928,1,0,0,2582.68409,2898.016057,23.681348,122.37547,710.44043,45.0,700.315862,0.422936
M-1810,item:049371,1,0,0,9.138343,9.62527,0.035574,270.569613,1.067223,0.034551,1.067223,0.422265
M-1810,item:338929,1,0,0,1282.68409,1614.016057,23.681348,68.155583,710.44043,20.0,700.315862,0.420512
M-1810,item:693055,1,0,0,1030.299741,1169.963186,9.614627,121.685757,288.438815,0.0,288.438814,0.418639
M-1810,item:001757,1,0,0,5.214353,5.737956,0.038458,149.198651,1.153755,0.037554,1.153755,0.416523
M-1430,item:344135,1,0,0,1071.92787,1311.820753,20.201208,64.937738,606.036241,100.0,606.036241,0.413992
M-1810,item:029313,1,0,0,0.077655,0.091621,0.000961,95.299945,0.028842,0.0,0.028842,0.413938
M-1810,item:016332,1,0,0,0.816081,0.946858,0.011538,82.067629,0.346126,0.044694,0.346126,0.413186
M-1430,item:333362,1,0,0,2173.624693,2440.154087,20.201208,120.792483,606.036241,0.0,606.036241,0.412721
M-1810,item:039668,1,0,0,0.042911,0.053537,0.000961,55.686083,0.028842,0.004841,0.028842,0.411634
M-1810,item:099439,1,0,0,2.228015,2.691468,0.048073,55.986938,1.442194,0.333402,1.442194,0.411511
M-1810,item:426331,1,0,0,8.368768,11.280884,0.260495,43.305578,7.814848,1.354243,7.814848,0.410571
M-1430,item:734545,1,0,0,4.235358,5.740523,0.16161,35.520913,4.84829,1.728904,4.84829,0.407269
M-1430,item:730384,1,0,0,434.900974,483.569333,4.282656,112.913416,128.479684,14.84,128.479684,0.407213
M-1430,item:708073,1,0,0,6.427665,8.131578,0.160195,50.760353,4.805864,1.282654,4.805864,0.407097
M-1430,item:038005,1,0,0,113.283098,117.947143,0.353504,333.651256,10.605128,0.0,10.605128,0.400116
M-1810,item:001848,2,0,0,2.618145,2.823316,0.028844,97.882504,0.865318,0.341628,0.865318,0.287755
M-1810,item:055703,2,0,0,0.11268,0.134725,0.001923,70.057616,0.057692,0.01015,0.057692,0.286864
M-1810,item:001893,3,0,0,15.453508,17.628059,0.182678,96.49797,5.480341,1.277613,5.480341,0.246778
M-1810,item:002612,4,0,0,2.039225,2.616023,0.048073,54.417576,1.442194,0.144612,1.442194,0.224735
