active_days,avg_capacity_utilization,avg_stock_end_of_day,capacity_metric_mode,dest_nodes_count,destinations_preview,first_shipment_day,initial_stock_total,items_supplied_count,last_shipment_day,local_criticality_score,max_capacity_utilization,min_stock_end_of_day,observed_sourcing_share,overall_criticality_score,rank,shared_source_pairs,shortage_supported_events,shortage_supported_qty,sole_source_pairs,standard_backlog_impact,standard_best_driver,standard_fill_impact,structural_backlog_impact,structural_best_driver,structural_fill_impact,supplier_id,supplier_name,system_criticality_score,target_sourcing_share,top_items_preview,total_shipped_qty
365,0.190179,246813.625,explicit_capacity,2,"M-1430, M-1810",0,3540.0,3,364,0.759994,0.631556,0.0,1.0,0.778005,1,0,0,0.0,3,65.664,fiabilite locale,0.003774,163.4365,stock fournisseur local,0.009393,SDC-1450,Supplier of Raw Materials - D1450,0.800017,1.0,"007923, 693055, 773474",114907.7659
322,0.782293,2083.1624,sourcing_share,1,M-1430,0,171.0,1,362,0.609772,1.0,0.0,1.0,0.597252,2,0,0,0.0,1,65.664,fiabilite locale,0.003774,92.16,lead time sortant local,0.005296,SDC-VD0914690A,Supplier of Raw Materials - VD0914690A,0.58195,1.0,042342,516896.373
288,0.380892,6.4807,sourcing_share,1,M-1810,0,171.0,1,364,0.482375,0.616,0.0,1.0,0.501324,3,0,0,0.0,1,21.888,stock fournisseur local,0.001258,138.7531,lead time sortant local,0.007974,SDC-VD0914360C,Supplier of Packaging - VD0914360C,0.524484,1.0,338929,8666.5341
293,0.212768,8.4278,sourcing_share,1,M-1430,0,171.0,1,364,0.443624,0.347135,0.0,1.0,0.468993,4,0,0,0.0,1,109.44,stock fournisseur local,0.006289,0.0,stock fournisseur local,0.0,SDC-VD0508918A,Supplier of Packaging - VD0508918A,0.5,1.0,730384,1821.2462
311,0.786421,35.232,sourcing_share,1,M-1810,0,171.0,1,364,0.494808,1.0,0.0,1.0,0.452155,5,0,0,0.0,1,87.552,capacite fournisseur locale,0.005032,0.0,stock fournisseur local,0.0,SDC-VD0901566A,Supplier of Packaging - VD0901566A,0.400023,1.0,338928,8611.3115
311,0.786421,35.232,sourcing_share,1,M-1430,0,171.0,1,364,0.494808,1.0,0.0,1.0,0.452155,6,0,0,0.0,1,87.552,capacite fournisseur locale,0.005032,0.0,stock fournisseur local,0.0,SDC-VD0993480A,Supplier of Packaging - VD0993480A,0.400023,1.0,344135,8611.3115
288,0.544132,6.4807,sourcing_share,1,M-1430,0,171.0,1,364,0.482375,0.88,0.0,1.0,0.400314,7,0,0,0.0,1,65.664,capacite fournisseur locale,0.003774,0.0,stock fournisseur local,0.0,SDC-VD0525412A,Supplier of Packaging - VD0525412A,0.300017,1.0,333362,8666.5341
365,0.006863,128.0082,sourcing_share,2,"M-1430, M-1810",0,342.0,2,364,0.502617,0.012851,13.0237,1.0,0.366445,8,0,0,0.0,2,43.776,stock fournisseur local,0.002516,0.0,stock fournisseur local,0.0,SDC-VD0520132A,Supplier of Raw Materials - VD0520132A,0.200012,1.0,"038005, 049371",164.6758
345,0.000119,69.0525,sourcing_share,1,SDC-1450,1,171.0,1,364,0.334151,0.000358,0.0,0.302029,0.363793,9,1,0,0.0,0,87.552,stock fournisseur local,0.005032,0.0,stock fournisseur local,0.0,SDC-VD0960508A,Supplier of Raw Materials - VD0960508A,0.400023,0.2,021081,232.7624
298,0.000221,29.3848,sourcing_share,1,SDC-1450,1,171.0,1,364,0.324842,0.000358,0.0,0.561489,0.268668,10,1,0,0.0,0,43.776,fiabilite locale,0.002516,0.0,stock fournisseur local,0.0,SDC-VD0949099A,Supplier of Raw Materials - VD0949099A,0.200012,0.7,021081,432.7185
