product_code,alignment,metric_id,metric_label,comparison_role,source_date,source_day,sim_day,observed_value_eur,simulated_value_eur,gap_eur,gap_pct
268091,same_day,stock_total_value,"Diagnostic: stock composant brut, PFI inclus si valorise",diagnostic,2025-01-06,5,5,656921.88,720013.072068915,63091.192068915,9.604063129837446
268091,same_day,stock_total_value,"Diagnostic: stock composant brut, PFI inclus si valorise",diagnostic,2025-01-13,12,12,720134.07,720013.072068915,-120.99793108494487,-0.016802139507848153
268091,same_day,stock_total_value,"Diagnostic: stock composant brut, PFI inclus si valorise",diagnostic,2025-01-20,19,19,606978.55,784028.8452989149,177050.2952989149,29.16911895797881
268091,same_day,stock_total_value,"Diagnostic: stock composant brut, PFI inclus si valorise",diagnostic,2025-01-27,26,26,692705.41,803524.708342115,110819.29834211501,15.998041410145046
268091,same_day,stock_total_value,"Diagnostic: stock composant brut, PFI inclus si valorise",diagnostic,2025-02-03,33,33,613334.5,943430.1643421149,330095.66434211493,53.819842898469744
268091,same_day,stock_total_value,"Diagnostic: stock composant brut, PFI inclus si valorise",diagnostic,2025-02-10,40,40,656472.97,953862.6643421149,297389.69434211496,45.301133166551395
268091,same_day,stock_total_value,"Diagnostic: stock composant brut, PFI inclus si valorise",diagnostic,2025-02-17,47,47,695644.81,1003932.6643421149,308287.8543421149,44.31684818321506
268091,same_day,stock_total_value,"Diagnostic: stock composant brut, PFI inclus si valorise",diagnostic,2025-02-24,54,54,740448.32,997058.5273853152,256610.2073853152,34.656059100156405
268091,same_day,stock_total_value,"Diagnostic: stock composant brut, PFI inclus si valorise",diagnostic,2025-03-03,61,61,715265.49,1023428.5273853152,308163.03738531517,43.08372788757293
268091,same_day,stock_total_value,"Diagnostic: stock composant brut, PFI inclus si valorise",diagnostic,2025-03-10,68,68,823262.17,1053036.2773853152,229774.10738531512,27.91019868984325
268091,same_day,stock_total_value,"Diagnostic: stock composant brut, PFI inclus si valorise",diagnostic,2025-03-17,75,75,899331.26,1076851.777385315,177520.51738531492,19.739169011573658
268091,same_day,stock_total_value,"Diagnostic: stock composant brut, PFI inclus si valorise",diagnostic,2025-03-24,82,82,826291.24,1093108.027385315,266816.78738531494,32.29088903148906
268091,same_day,stock_total_value,"Diagnostic: stock composant brut, PFI inclus si valorise",diagnostic,2025-03-31,89,89,860620.24,1098504.277385315,237884.03738531494,27.640999633626432
268091,same_day,stock_total_value,"Diagnostic: stock composant brut, PFI inclus si valorise",diagnostic,2025-04-07,96,96,844469.28,1102821.277385315,258351.9973853149,30.59341571138205
268091,same_day,stock_total_value,"Diagnostic: stock composant brut, PFI inclus si valorise",diagnostic,2025-04-14,103,103,949947.4,1134587.527385315,184640.1273853149,19.43687907196913
268091,same_day,stock_total_value,"Diagnostic: stock composant brut, PFI inclus si valorise",diagnostic,2025-04-21,110,110,986757.36,1179894.777385315,193137.41738531494,19.5729391251072
268091,same_day,stock_total_value,"Diagnostic: stock composant brut, PFI inclus si valorise",diagnostic,2025-04-28,117,117,950013.26,1313058.577385315,363045.31738531496,38.21476316923356
268091,same_day,stock_total_value,"Diagnostic: stock composant brut, PFI inclus si valorise",diagnostic,2025-05-05,124,124,952816.2,1378871.5773853147,426055.3773853148,44.715379249987016
268091,same_day,stock_total_value,"Diagnostic: stock composant brut, PFI inclus si valorise",diagnostic,2025-05-12,131,131,904276.21,1441151.8273853147,536875.6173853148,59.37075546699551
