product_code,alignment,node_id,component_item_id,mean_stock_qty,unit_value_eur,mean_stock_value_eur,max_stock_value_eur,value_source,snapshot_count,share_of_simulated_stock_pct
268091,same_day,M-1810,item:049371,18971.56177153846,14.65,277933.3799530385,348170.091604,inventory_state_unit_value_basis,52,26.045559988948458
268091,same_day,M-1810,item:002612,193750.24514207692,1.26,244125.30887901693,249989.93298594,inventory_state_unit_value_basis,52,22.87735420014452
268091,same_day,M-1810,item:007923,71975.5227076923,2.0,143951.0454153846,147943.7904,inventory_state_unit_value_basis,52,13.489871527744342
268091,same_day,M-1810,item:001757,15105.617661538461,5.43,82023.50390215384,88577.250756,inventory_state_unit_value_basis,52,7.686547372425247
268091,same_day,M-1810,item:338928,536108.2692307692,0.14131,75757.459525,106646.37438,inventory_state_unit_value_basis,52,7.0993468182991135
268091,same_day,M-1810,item:338929,210434.61538461538,0.21585,45422.31173076923,85735.62,inventory_state_unit_value_basis,52,4.256593955070684
268091,same_day,M-1810,item:001848,14842.118746153847,2.89,42893.723176384614,46593.540636,inventory_state_unit_value_basis,52,4.019636073682991
268091,same_day,M-1810,item:099439,4528.1475,9.17,41523.112575,45330.83128,inventory_state_unit_value_basis,52,3.891194068458992
268091,same_day,M-1810,item:001893,8094.5197,4.64,37558.571407999996,44880.021376,inventory_state_unit_value_basis,52,3.519670882538677
268091,same_day,M-1810,item:055703,823.1801071538462,34.775,28626.088226275,30084.822061774998,inventory_state_unit_value_basis,52,2.6825942903020694
268091,same_day,M-1810,item:016332,776.3475599999999,27.62,21442.7196072,24195.2393184,inventory_state_unit_value_basis,52,2.0094298854995207
268091,same_day,M-1810,item:426331,39473.626923076925,0.50393,19891.944815346153,21530.610822,inventory_state_unit_value_basis,52,1.8641044198163303
268091,same_day,M-1810,item:039668,450.80563,12.21,5504.336742300001,5605.7374956,inventory_state_unit_value_basis,52,0.5158197725122887
268091,same_day,M-1810,item:029313,217.94063,2.07,451.1371041,468.3278952,inventory_state_unit_value_basis,52,0.042276744556779815
268091,previous_day,M-1810,item:049371,18870.11336,14.65,276447.160724,348170.091604,inventory_state_unit_value_basis,52,25.946110208139903
268091,previous_day,M-1810,item:002612,193320.79302669232,1.26,243584.19921363232,249879.43602594,inventory_state_unit_value_basis,52,22.86173770497954
268091,previous_day,M-1810,item:007923,71980.70701538461,2.0,143961.41403076923,147943.7904,inventory_state_unit_value_basis,52,13.511582844184801
268091,previous_day,M-1810,item:001757,15069.748276923077,5.43,81828.7331436923,88577.250756,inventory_state_unit_value_basis,52,7.680083683183181
268091,previous_day,M-1810,item:338928,537704.4230769231,0.14131,75983.012025,106646.37438,inventory_state_unit_value_basis,52,7.131430103257036
268091,previous_day,M-1810,item:338929,211453.84615384616,0.21585,45642.312692307685,85735.62,inventory_state_unit_value_basis,52,4.283785994283814
268091,previous_day,M-1810,item:001848,14844.062861538461,2.89,42899.34166984615,46593.540636,inventory_state_unit_value_basis,52,4.026342842181502
268091,previous_day,M-1810,item:099439,4531.387692307692,9.17,41552.825138461536,45330.83128,inventory_state_unit_value_basis,52,3.8999647443602417
268091,previous_day,M-1810,item:001893,8106.832430769231,4.64,37615.70247876923,44880.021376,inventory_state_unit_value_basis,52,3.53044379083043
268091,previous_day,M-1810,item:055703,823.3097148461538,34.775,28630.595333775,30084.822061774998,inventory_state_unit_value_basis,52,2.687141296402871
268091,previous_day,M-1810,item:016332,777.1252061538461,27.62,21464.19819396923,24195.2393184,inventory_state_unit_value_basis,52,2.014534894883926
268091,previous_day,M-1810,item:426331,39491.18461538462,0.50393,19900.792663230768,21530.610822,inventory_state_unit_value_basis,52,1.867800552978153
268091,previous_day,M-1810,item:039668,450.87043384615384,12.21,5505.127997261539,5605.7374956,inventory_state_unit_value_basis,52,0.5166870130001806
268091,previous_day,M-1810,item:029313,218.00543384615386,2.07,451.2712480615385,468.3278952,inventory_state_unit_value_basis,52,0.04235432733439905
268967,same_day,M-1430,item:038005,105560.37912759616,4.57,482410.9326131145,574504.39446439,inventory_state_unit_value_basis,52,49.89284213937775
268967,same_day,M-1430,item:042342,114188720.3923077,0.00221,252357.07206700003,306637.49116000003,inventory_state_unit_value_basis,52,26.09976413924273
268967,same_day,M-1430,item:333362,684811.5384615385,0.27321,187097.36042307693,295080.4605,inventory_state_unit_value_basis,52,19.350347260411713
268967,same_day,M-1430,item:708073,10316.602807692307,3.59,37036.60407961538,42747.79576,inventory_state_unit_value_basis,52,3.830471732291436
268967,same_day,M-1430,item:734545,11275.646153846154,0.42644,4808.386545846153,6115.57604,inventory_state_unit_value_basis,52,0.4973023094180351
268967,same_day,M-1430,item:344135,790003.8461538461,0.00403,3183.7155,4549.063999999999,inventory_state_unit_value_basis,52,0.3292724192583355
268967,previous_day,M-1430,item:038005,104406.53297375,4.57,477137.85569003754,574504.39446439,inventory_state_unit_value_basis,52,49.661969838145346
268967,previous_day,M-1430,item:042342,114188720.3923077,0.00221,252357.07206700003,306637.49116000003,inventory_state_unit_value_basis,52,26.2660972127425
268967,previous_day,M-1430,item:333362,681926.9230769231,0.27321,186309.25465384615,295080.4605,inventory_state_unit_value_basis,52,19.391638024205164
268967,previous_day,M-1430,item:708073,10316.602807692307,3.59,37036.60407961538,42747.79576,inventory_state_unit_value_basis,52,3.854883222479122
268967,previous_day,M-1430,item:734545,11152.569230769232,0.42644,4755.901622769231,6115.57604,inventory_state_unit_value_basis,52,0.4950088116600545
268967,previous_day,M-1430,item:344135,787696.1538461539,0.00403,3174.4154999999996,4549.063999999999,inventory_state_unit_value_basis,52,0.3304028907678069
