product_code,alignment,metric_id,metric_label,comparison_role,observed_count,matched_count,observed_mean_eur,observed_median_eur,observed_min_eur,observed_max_eur,simulated_snapshot_mean_eur,simulated_snapshot_median_eur,simulated_snapshot_min_eur,simulated_snapshot_max_eur,simulated_daily_mean_eur,mean_gap_eur,mean_gap_pct,mae_eur,mae_pct,sim_above_observed_snapshots,mean_component_count,mean_priced_component_count
268091,previous_day,stock_total_value_without_internal_rollup,Stock composant valorise hors PFI/flux internes,direct_real_like,52,52,930695.2119230769,927498.18,606978.55,1435465.25,1423061.8982661304,1512627.828462115,720013.072068915,1810126.577385315,1329030.0105439587,492366.6863430534,52.903107272431974,495689.8488749479,53.26016965862689,49,15.0,14.0
268091,same_day,stock_total_value_without_internal_rollup,Stock composant valorise hors PFI/flux internes,direct_real_like,52,52,930695.2119230769,927498.18,606978.55,1435465.25,1426157.2936255764,1522716.066505315,720013.072068915,1810126.577385315,1329030.0105439587,495462.0817024996,53.235696859204445,497364.7643849171,53.44013357039006,49,15.0,14.0
268091,previous_day,excess_vs_mrp_target,"Diagnostic: excedent au-dessus cible MRP, hors PFI/flux internes",diagnostic,52,52,930695.2119230769,927498.18,606978.55,1435465.25,610716.738875688,662871.513034215,333408.972083415,725129.057374615,457501.100365008,-319978.47304738883,-34.380586571002524,319978.47304738883,34.380586571002524,0,15.0,14.0
268091,previous_day,excess_vs_mrp_target_with_internal_rollup,"Diagnostic brut: excedent au-dessus cible MRP, PFI inclus si valorise",diagnostic,52,52,930695.2119230769,927498.18,606978.55,1435465.25,610716.738875688,662871.513034215,333408.972083415,725129.057374615,457501.100365008,-319978.47304738883,-34.380586571002524,319978.47304738883,34.380586571002524,0,15.0,14.0
268091,previous_day,stock_total_value,"Diagnostic: stock composant brut, PFI inclus si valorise",diagnostic,52,52,930695.2119230769,927498.18,606978.55,1435465.25,1423061.8982661304,1512627.828462115,720013.072068915,1810126.577385315,1329030.0105439587,492366.6863430534,52.903107272431974,495689.8488749479,53.26016965862689,49,15.0,14.0
268091,previous_day,excess_over_90d,"Diagnostic: excedent au-dessus couverture 90j, hors PFI/flux internes",diagnostic,52,52,930695.2119230769,927498.18,606978.55,1435465.25,221623.21133209387,232203.00900594002,146505.98052594002,232333.38372594002,191117.49921543043,-709072.0005909831,-76.18734807132421,709072.0005909831,76.18734807132421,0,15.0,14.0
268091,previous_day,excess_over_90d_with_internal_rollup,"Diagnostic brut: excedent au-dessus couverture 90j, PFI inclus si valorise",diagnostic,52,52,930695.2119230769,927498.18,606978.55,1435465.25,221623.21133209387,232203.00900594002,146505.98052594002,232333.38372594002,191117.49921543043,-709072.0005909831,-76.18734807132421,709072.0005909831,76.18734807132421,0,15.0,14.0
268091,same_day,excess_vs_mrp_target,"Diagnostic: excedent au-dessus cible MRP, hors PFI/flux internes",diagnostic,52,52,930695.2119230769,927498.18,606978.55,1435465.25,612592.0131689842,661237.3666182151,333408.972083415,725129.057374615,457501.100365008,-318103.1987540927,-34.17909479697466,318103.1987540927,34.17909479697466,0,15.0,14.0
268091,same_day,excess_vs_mrp_target_with_internal_rollup,"Diagnostic brut: excedent au-dessus cible MRP, PFI inclus si valorise",diagnostic,52,52,930695.2119230769,927498.18,606978.55,1435465.25,612592.0131689842,661237.3666182151,333408.972083415,725129.057374615,457501.100365008,-318103.1987540927,-34.17909479697466,318103.1987540927,34.17909479697466,0,15.0,14.0
268091,same_day,stock_total_value,"Diagnostic: stock composant brut, PFI inclus si valorise",diagnostic,52,52,930695.2119230769,927498.18,606978.55,1435465.25,1426157.2936255764,1522716.066505315,720013.072068915,1810126.577385315,1329030.0105439587,495462.0817024996,53.235696859204445,497364.7643849171,53.44013357039006,49,15.0,14.0
268091,same_day,excess_over_90d,"Diagnostic: excedent au-dessus couverture 90j, hors PFI/flux internes",diagnostic,52,52,930695.2119230769,927498.18,606978.55,1435465.25,222128.28834132463,232203.00900594002,146505.98052594002,232333.38372594002,191117.49921543043,-708566.9235817523,-76.13307928356639,708566.9235817523,76.13307928356639,0,15.0,14.0
