product_code,node_id,component_item_id,mean_stock_value_eur_previous_day,start_stock_qty,end_stock_qty,min_stock_qty,max_stock_qty,arrived_qty_total,arrival_days,first_arrival_day,last_arrival_day,approx_consumed_qty,order_count,planned_receipt_qty_total,opening_order_qty,generated_mrp_qty
268091,M-1810,item:049371,274599.90769507695,4138.93,12792.66024,4095.66664,23874.03496,32600.0,18.0,26,1824,23946.269760000003,19.0,32600.0,19800.0,12800.0
268091,M-1810,item:338929,255038.39769230768,354000.0,960800.0,339600.0,2038400.0,16547600.0,1438.0,14,1824,15940800.0,3514.0,17622600.0,57600.0,17565000.0
268091,M-1810,item:002612,243369.50141670924,153521.636719,166161.812719,153463.172719,198463.172719,45000.0,2.0,29,47,32359.823999999993,2.0,45000.0,45000.0,0.0
268091,M-1810,item:338928,150266.418025,404065.0,1128298.0,389665.0,1563098.0,16665033.0,532.0,16,1824,15940800.0,692.0,17590033.0,365033.0,17225000.0
268091,M-1810,item:007923,143416.14978461538,55018.98,22383.2616,22383.2616,74065.4376,19140.0,1.0,30,30,51775.71840000001,1.0,19140.0,19140.0,0.0
268091,M-1810,item:001893,111449.69648246153,9783.5,30336.1688,9450.2552,46405.5448,143520.0,6.0,115,1678,122967.3312,6.0,143520.0,0.0,143520.0
268091,M-1810,item:001757,81088.53692953846,8499.654,4911.7948,4811.0524,16429.4972,22300.0,140.0,28,1814,25887.859200000003,163.0,24000.0,8000.0,16000.0
268091,M-1810,item:001848,42603.87660646154,10262.646,4846.7516,4617.6796,16210.0284,14000.0,3.0,69,1522,19415.8944,4.0,18000.0,6000.0,12000.0
268091,M-1810,item:099439,40730.95612923077,4972.616,2012.792,1739.288,6971.816,29400.0,7.0,355,1619,32359.824,8.0,33600.0,0.0,33600.0
268091,M-1810,item:055703,28393.575781774998,569.805001,475.412041,465.393481,867.466441,1200.0,4.0,35,1479,1294.39296,5.0,1500.0,300.0,1200.0
268091,M-1810,item:016332,26761.64484652308,883.02,816.66224,353.92048,1742.732,7700.0,7.0,286,1653,7766.357760000001,7.0,7700.0,0.0,7700.0
268091,M-1810,item:426331,19435.502465076923,24159.0,21610.2,10771.8,43042.2,172800.0,9.0,29,1765,175348.8,9.0,172800.0,19200.0,153600.0
268091,M-1810,item:039668,5463.517519476924,459.695,262.49852,51.03164,501.03164,450.0,1.0,1245,1245,647.19648,1.0,450.0,0.0,450.0
268091,M-1810,item:029313,444.216891876923,226.83,179.63352,16.43928,330.9756,600.0,2.0,706,1503,647.1964800000001,2.0,600.0,0.0,600.0
268967,M-1430,item:038005,480122.0130571718,37598.5325,54981.806268,36300.273305,125712.121327,140000.0,14.0,34,1750,122616.726232,14.0,140000.0,90000.0,50000.0
268967,M-1430,item:042342,257333.29578100002,78749996.0,75933602.0,28167246.8,138749996.0,420000000.0,14.0,36,1788,422816394.0,14.0,420000000.0,60000000.0,360000000.0
268967,M-1430,item:333362,244920.15530769233,142250.0,1089250.0,34450.0,1482850.0,7954000.0,1000.0,58,1824,7007000.0,1562.0,8409000.0,629000.0,7780000.0
268967,M-1430,item:708073,45693.15533884615,10326.88,14761.37,7971.552,16987.574,60000.0,12.0,47,1782,55565.51,12.0,60000.0,0.0,60000.0
268967,M-1430,item:734545,6278.154649846154,1641.0,14985.0,1641.0,18580.2,69400.0,11.0,5,1639,56056.0,11.0,69400.0,6400.0,63000.0
268967,M-1430,item:344135,4468.6965,0.0,1393000.0,0.0,1653400.0,8400000.0,70.0,52,1817,7007000.0,72.0,8640000.0,0.0,8640000.0
