scope,record_index,system,component,material_family,path_status,logical_path,mappable_path,present_roles,mappable_roles,missing_roles,unpositioned_roles,gap_action_classes,gap_count,primary_t4,primary_t3,primary_t2,primary_t1,all_t4_count,all_t3_count,all_t2_count,all_t1_count,all_switchability_note
primary,1,Ens. Equipements latéraux,A5086 - Aluminium,aluminium,complete_direct,T4=Alcoa > T3=AMAG Austria Metall > T2=ESPACE - internal machining/forming process > T1=ESPACE > OEM=Safran Seats / Safran internal group,T4=Alcoa > T3=AMAG Austria Metall > T2=ESPACE - internal machining/forming process > T1=ESPACE > OEM=Safran Seats / Safran internal group,T4;T3;T2;T1;OEM,T4;T3;T2;T1;OEM,,,,0,Alcoa [baseline_primary],AMAG Austria Metall [baseline_primary],ESPACE - internal machining/forming process [baseline_primary_assumed_internalized_process],ESPACE [baseline_primary],3,5,1,10,T4 alternates=2; T3 alternates=4; T1 alternates=9; validate qualification/capacity/share before stress-test activation
primary,2,Ens. Stowage latéral,"15CDV6 (chrome, molibdene, vanadium)",steel,complete_direct,T4=Saarstahl > T3=Aubert & Duval > T2=MGA Villeneuve St Lot - internal machining/forming process > T1=MGA Villeneuve St Lot > OEM=Safran Seats / Safran internal group,T4=Saarstahl > T3=Aubert & Duval > T2=MGA Villeneuve St Lot - internal machining/forming process > T1=MGA Villeneuve St Lot > OEM=Safran Seats / Safran internal group,T4;T3;T2;T1;OEM,T4;T3;T2;T1;OEM,,,,0,Saarstahl [baseline_primary],Aubert & Duval [baseline_primary],MGA Villeneuve St Lot - internal machining/forming process [baseline_primary_assumed_internalized_process],MGA Villeneuve St Lot [baseline_primary],5,4,1,3,T4 alternates=4; T3 alternates=3; T1 alternates=2; validate qualification/capacity/share before stress-test activation
primary,3,Ens. Equipements latéraux,Ertalon par moulage par injection plastique,polymer_plastic,complete_direct,T4=Mitsubishi Chemical > T3=Toray Industries > T2=Ensinger > T1=ESPACE > OEM=Safran Seats / Safran internal group,T4=Mitsubishi Chemical > T3=Toray Industries > T2=Ensinger > T1=ESPACE > OEM=Safran Seats / Safran internal group,T4;T3;T2;T1;OEM,T4;T3;T2;T1;OEM,,,,0,Mitsubishi Chemical [baseline_primary],Toray Industries [baseline_primary],Ensinger [baseline_primary],ESPACE [baseline_primary],3,2,4,1,T4 alternates=2; T3 alternates=1; T2 alternates=3; validate qualification/capacity/share before stress-test activation
primary,4,Ensemble porte,FILM DECOR AERFILM - Ep0.33 714g-m2,rubber_silicone,complete_direct,T4=BASF > T3=EPODEX > T2=Sika > T1=MGA Villeneuve St Lot > OEM=Safran Seats / Safran internal group,T4=BASF > T3=EPODEX > T2=Sika > T1=MGA Villeneuve St Lot > OEM=Safran Seats / Safran internal group,T4;T3;T2;T1;OEM,T4;T3;T2;T1;OEM,,,,0,BASF [baseline_primary_assumed_material_source],EPODEX [baseline_primary],Sika [baseline_primary_inferred_after_business_review],MGA Villeneuve St Lot [baseline_primary],1,2,1,3,T3 alternates=1; T1 alternates=2; validate qualification/capacity/share before stress-test activation
primary,5,Bumper version porte,alliage Cu,copper,complete_direct,T4=Aurubis - copper source assumption > T3=Aurubis > T2=SUMPAR - internal machining/forming process > T1=SUMPAR > OEM=Safran Seats / Safran internal group,T4=Aurubis - copper source assumption > T3=Aurubis > T2=SUMPAR - internal machining/forming process > T1=SUMPAR > OEM=Safran Seats / Safran internal group,T4;T3;T2;T1;OEM,T4;T3;T2;T1;OEM,,,,0,Aurubis - copper source assumption [baseline_primary_assumed_material_source],Aurubis [baseline_primary],SUMPAR - internal machining/forming process [baseline_primary_assumed_internalized_process],SUMPAR [baseline_primary],1,3,1,4,T3 alternates=2; T1 alternates=3; validate qualification/capacity/share before stress-test activation
primary,6,Ens. Stowage latéral,cuir,textile_leather,complete_direct,T4=Gruppo Mastrotto - hide/raw leather source assumption > T3=Gruppo Mastrotto > T2=Maison Fichet > T1=MGA Villeneuve St Lot > OEM=Safran Seats / Safran internal group,T4=Gruppo Mastrotto - hide/raw leather source assumption > T3=Gruppo Mastrotto > T2=Maison Fichet > T1=MGA Villeneuve St Lot > OEM=Safran Seats / Safran internal group,T4;T3;T2;T1;OEM,T4;T3;T2;T1;OEM,,,,0,Gruppo Mastrotto - hide/raw leather source assumption [baseline_primary_assumed_material_source],Gruppo Mastrotto [baseline_primary_inferred_after_review],Maison Fichet [baseline_primary],MGA Villeneuve St Lot [baseline_primary],1,1,2,3,T2 alternates=1; T1 alternates=2; validate qualification/capacity/share before stress-test activation
primary,7,lightning,lightning,electronics_cots,complete_direct,T4=COTS electronics component market basket > T3=COTS electronics PCB/subassembly package > T2=e2ip technologies > T1=Thales > OEM=Safran Seats / Safran internal group,T4=COTS electronics component market basket > T3=COTS electronics PCB/subassembly package > T2=e2ip technologies > T1=Thales > OEM=Safran Seats / Safran internal group,T4;T3;T2;T1;OEM,T4;T3;T2;T1;OEM,,,,0,COTS electronics component market basket [baseline_primary_assumed_non_switchable_cots],COTS electronics PCB/subassembly package [baseline_primary_assumed_non_switchable_cots],e2ip technologies [baseline_primary_inferred_after_review],Thales [baseline_primary_inferred_after_review],1,1,2,3,T2 alternates=1; T1 alternates=2; validate qualification/capacity/share before stress-test activation
primary,8,Padding (rembourrage),AIRVOLT LAMINAT,general,complete_direct,T4=Klabin S.A. > T3=Kronotex GmbH & Co > T2=Glatfelter > T1=Celso SAS > OEM=Safran Seats / Safran internal group,T4=Klabin S.A. > T3=Kronotex GmbH & Co > T2=Glatfelter > T1=Celso SAS > OEM=Safran Seats / Safran internal group,T4;T3;T2;T1;OEM,T4;T3;T2;T1;OEM,,,,0,Klabin S.A. [baseline_primary],Kronotex GmbH & Co [baseline_primary],Glatfelter [baseline_primary_inferred_after_review],Celso SAS [baseline_primary],4,3,2,1,T4 alternates=3; T3 alternates=2; T2 alternates=1; validate qualification/capacity/share before stress-test activation
primary,9,Stowage assemblé avec porte,Silicone,rubber_silicone,complete_direct,T4=Shin-Etsu Silicones > T3=Saint-Gobain > T2=Silicone Engineering > T1=MGA Villeneuve St Lot > OEM=Safran Seats / Safran internal group,T4=Shin-Etsu Silicones > T3=Saint-Gobain > T2=Silicone Engineering > T1=MGA Villeneuve St Lot > OEM=Safran Seats / Safran internal group,T4;T3;T2;T1;OEM,T4;T3;T2;T1;OEM,,,,0,Shin-Etsu Silicones [baseline_primary_assumed_material_source],Saint-Gobain [baseline_primary],Silicone Engineering [baseline_primary_inferred_after_review],MGA Villeneuve St Lot [baseline_primary_inferred_after_review],1,2,2,3,T3 alternates=1; T2 alternates=1; T1 alternates=2; validate qualification/capacity/share before stress-test activation
primary,10,System IFE (In-Flight Entertainment) est un ensemble d'équipements et de logiciels qui permet aux passagers d'occuper leur temps à bord d'un avion.,System IFE boitier ref FJKL1-3K1100-01ATAB,electronics_cots,complete_direct,T4=COTS electronics component market basket > T3=Saint-Gobain > T2=3M > T1=Thales > OEM=Safran Seats / Safran internal group,T4=COTS electronics component market basket > T3=Saint-Gobain > T2=3M > T1=Thales > OEM=Safran Seats / Safran internal group,T4;T3;T2;T1;OEM,T4;T3;T2;T1;OEM,,,,0,COTS electronics component market basket [baseline_primary_assumed_non_switchable_cots],Saint-Gobain [baseline_primary],3M [baseline_primary_inferred_after_review],Thales [baseline_primary_inferred_after_review],1,1,1,1,single_or_unresolved
primary,11,Coussin ottoman,tissu,textile_leather,complete_direct,"T4=DuPont de Nemours - fiber/polymer source assumption > T3=Zhejiang Yuxin Textile Co.,Ltd. > T2=DuPont de Nemours > T1=ETS Gattefin > OEM=Safran Seats / Safran internal group","T4=DuPont de Nemours - fiber/polymer source assumption > T3=Zhejiang Yuxin Textile Co.,Ltd. > T2=DuPont de Nemours > T1=ETS Gattefin > OEM=Safran Seats / Safran internal group",T4;T3;T2;T1;OEM,T4;T3;T2;T1;OEM,,,,0,DuPont de Nemours - fiber/polymer source assumption [baseline_primary_assumed_material_source],"Zhejiang Yuxin Textile Co.,Ltd. [baseline_primary]",DuPont de Nemours [baseline_primary],ETS Gattefin [baseline_primary],1,7,3,4,T3 alternates=6; T2 alternates=2; T1 alternates=3; validate qualification/capacity/share before stress-test activation
primary,12,Manchette acc. Mobile,FRMC55:EU28 polyuréthane flexible traité UL,aluminium,complete_direct,"T4=BASF > T3=Zhejiang Yuxin Textile Co.,Ltd. > T2=MGR Foamtex Ltd > T1=ACH > OEM=Safran Seats / Safran internal group","T4=BASF > T3=Zhejiang Yuxin Textile Co.,Ltd. > T2=MGR Foamtex Ltd > T1=ACH > OEM=Safran Seats / Safran internal group",T4;T3;T2;T1;OEM,T4;T3;T2;T1;OEM,,,,0,BASF [baseline_primary],"Zhejiang Yuxin Textile Co.,Ltd. [baseline_primary_inferred_after_review]",MGR Foamtex Ltd [baseline_primary],ACH [baseline_primary],6,6,4,2,T4 alternates=5; T3 alternates=5; T2 alternates=3; T1 alternates=1; validate qualification/capacity/share before stress-test activation
primary,13,Accoudoir allée,30NCD6 (nickel-chrome- molibdene),steel,complete_direct,T4=Saarstahl > T3=Aubert & Duval > T2=SUMPAR - internal machining/forming process > T1=SUMPAR > OEM=Safran Seats / Safran internal group,T4=Saarstahl > T3=Aubert & Duval > T2=SUMPAR - internal machining/forming process > T1=SUMPAR > OEM=Safran Seats / Safran internal group,T4;T3;T2;T1;OEM,T4;T3;T2;T1;OEM,,,,0,Saarstahl [baseline_primary],Aubert & Duval [baseline_primary],SUMPAR - internal machining/forming process [baseline_primary_assumed_internalized_process],SUMPAR [baseline_primary],5,4,1,3,T4 alternates=4; T3 alternates=3; T1 alternates=2; validate qualification/capacity/share before stress-test activation
