role,supplier,family,path_count,switch_ready_topology,candidate_requires_validation,blocked_until_transport_fixed,blocked,components,status_examples,best_verdict,issue_codes
T1,ACH,textile_leather,886,0,886,0,0,111:nylon | 112:nylon | 113:nylon | 114:nylon | 115:nylon | 117:nylon | 118:nylon | 119:nylon | 11:tissu | 120:nylon | 12:FRMC55:EU28 polyuréthane flexible traité UL | 131:tissu | 132:tissu | 133:tissu | 134:tissu | 135:tissu | 136:tissu | 137:ULTRA LEATHER SMOKE | 139:nylon | 140:velcro | 141:velcro | 142:velcro | 143:velcro | 144:velours | 145:velours | 146:velours | 147:velours | 148:velours | 149:velcro | 150:velours,alternate | alternate_requires_allocation_source | baseline_primary,switch_possible_after_validation,inactive_alternate_requires_allocation=886;baseline_node_is_assumption=367;lca_mass_low_confidence=285;raw_material_source_missing=100;lca_mass_requires_review=90
T1,ACH,rubber_silicone,4,0,4,0,0,9:Silicone,alternate,switch_possible_after_validation,inactive_alternate_requires_allocation=4;baseline_node_is_assumption=4
T1,Adhetec,adhesive_composite,2,0,2,0,0,4:FILM DECOR AERFILM - Ep0.33 714g-m2,alternate,switch_possible_after_validation,inactive_alternate_requires_allocation=2;baseline_node_is_assumption=2
T1,Airbus Atlantic / STELIA Aerospace,textile_leather,264,0,264,0,0,"158:Tissu, mousse, polyéthylène | 160:autre (silicium, cuirs synthétique) | 168:Tissu, mousse, polyéthylène | 169:Tissu, mousse, polyéthylène | 170:autre (silicium, cuirs synthétique) | 171:autre (silicium, cuirs synthétique)",alternate,switch_possible_after_validation,inactive_alternate_requires_allocation=264;lca_mass_low_confidence=264
T1,Airbus Atlantic / STELIA Aerospace,polymer_plastic,48,0,48,0,0,159:Moulage plastique | 172:Moulage plastique | 173:Moulage plastique,alternate,switch_possible_after_validation,inactive_alternate_requires_allocation=48;lca_mass_low_confidence=48
T1,AmSafe,steel,382,0,382,0,0,122:acier | 15:acier | 45:acier | 46:acier | 47:acier | 48:acier | 49:acier | 52:acier | 53:acier | 56:acier | 57:acier | 58:acier | 59:acier | 60:acier | 61:acier | 62:acier | 63:acier | 64:acier | 65:acier | 72:acier,alternate_requires_allocation_source,switch_possible_after_validation,inactive_alternate_requires_allocation=382;material_certificate_required=305
T1,AmSafe,textile_leather,150,0,150,0,0,111:nylon | 112:nylon | 113:nylon | 114:nylon | 115:nylon | 117:nylon | 118:nylon | 119:nylon | 120:nylon | 139:nylon,baseline_primary,switch_possible_after_validation,inactive_alternate_requires_allocation=150;lca_mass_requires_review=45
T1,Ancra International,steel,382,0,382,0,0,122:acier | 15:acier | 45:acier | 46:acier | 47:acier | 48:acier | 49:acier | 52:acier | 53:acier | 56:acier | 57:acier | 58:acier | 59:acier | 60:acier | 61:acier | 62:acier | 63:acier | 64:acier | 65:acier | 72:acier,alternate,switch_possible_after_validation,inactive_alternate_requires_allocation=382;material_certificate_required=305
T1,Ancra International,textile_leather,160,0,160,0,0,111:nylon | 112:nylon | 113:nylon | 114:nylon | 115:nylon | 117:nylon | 118:nylon | 119:nylon | 120:nylon | 139:nylon,alternate,switch_possible_after_validation,inactive_alternate_requires_allocation=160;lca_mass_requires_review=48
T1,Anjou Aeronautique,steel,382,0,382,0,0,122:acier | 15:acier | 45:acier | 46:acier | 47:acier | 48:acier | 49:acier | 52:acier | 53:acier | 56:acier | 57:acier | 58:acier | 59:acier | 60:acier | 61:acier | 62:acier | 63:acier | 64:acier | 65:acier | 72:acier,alternate,switch_possible_after_validation,inactive_alternate_requires_allocation=382;material_certificate_required=305
