family,issue_code,switch_class,path_occurrences
steel,inactive_alternate_requires_allocation,candidate_requires_material_certificate,6992
steel,material_certificate_required,candidate_requires_material_certificate,6992
polymer_plastic,inactive_alternate_requires_allocation,candidate_requires_allocation_and_qualification,4541
textile_leather,inactive_alternate_requires_allocation,candidate_requires_allocation_and_qualification,3855
aluminium,inactive_alternate_requires_allocation,candidate_requires_allocation_and_qualification,3255
aluminium,baseline_node_is_assumption,candidate_requires_allocation_and_qualification,3255
textile_leather,inactive_alternate_requires_allocation,candidate_scenario_only_mass_review,1926
textile_leather,lca_mass_low_confidence,candidate_scenario_only_mass_review,1926
steel,baseline_node_is_assumption,candidate_requires_material_certificate,1807
steel,inactive_alternate_requires_allocation,candidate_requires_allocation_and_qualification,1716
aluminium,inactive_alternate_requires_allocation,candidate_requires_material_certificate,1586
aluminium,baseline_node_is_assumption,candidate_requires_material_certificate,1586
aluminium,material_certificate_required,candidate_requires_material_certificate,1586
textile_leather,baseline_node_is_assumption,candidate_requires_allocation_and_qualification,1197
textile_leather,lca_mass_requires_review,candidate_requires_allocation_and_qualification,1155
steel,baseline_node_is_assumption,candidate_requires_allocation_and_qualification,427
textile_leather,inactive_alternate_requires_allocation,candidate_requires_material_source,332
textile_leather,baseline_node_is_assumption,candidate_requires_material_source,332
textile_leather,raw_material_source_missing,candidate_requires_material_source,332
polymer_plastic,inactive_alternate_requires_allocation,candidate_scenario_only_mass_review,237
polymer_plastic,lca_mass_low_confidence,candidate_scenario_only_mass_review,237
polymer_plastic,baseline_node_is_assumption,candidate_requires_allocation_and_qualification,224
aluminium,lca_mass_requires_review,candidate_requires_allocation_and_qualification,144
textile_leather,baseline_node_is_assumption,candidate_scenario_only_mass_review,83
textile_leather,raw_material_source_missing,candidate_scenario_only_mass_review,83
general,inactive_alternate_requires_allocation,candidate_requires_material_certificate,48
general,baseline_node_is_assumption,candidate_requires_material_certificate,48
general,material_certificate_required,candidate_requires_material_certificate,48
general,inactive_alternate_requires_allocation,candidate_requires_allocation_and_qualification,46
aluminium,lca_mass_requires_review,candidate_requires_material_certificate,45
rubber_silicone,inactive_alternate_requires_allocation,candidate_requires_allocation_and_qualification,34
rubber_silicone,baseline_node_is_assumption,candidate_requires_allocation_and_qualification,34
general,baseline_node_is_assumption,candidate_requires_allocation_and_qualification,23
electronics_cots,inactive_alternate_requires_allocation,candidate_requires_allocation_and_qualification,20
electronics_cots,baseline_node_is_assumption,candidate_requires_allocation_and_qualification,20
polymer_plastic,lca_mass_requires_review,candidate_requires_allocation_and_qualification,15
adhesive_composite,inactive_alternate_requires_allocation,candidate_requires_allocation_and_qualification,14
adhesive_composite,baseline_node_is_assumption,candidate_requires_allocation_and_qualification,14
copper,inactive_alternate_requires_allocation,candidate_requires_allocation_and_qualification,11
copper,baseline_node_is_assumption,candidate_requires_allocation_and_qualification,11
electronics_cots,inactive_alternate_requires_allocation,candidate_scenario_only_mass_review,4
electronics_cots,baseline_node_is_assumption,candidate_scenario_only_mass_review,4
electronics_cots,lca_mass_low_confidence,candidate_scenario_only_mass_review,4
general,inactive_alternate_requires_allocation,candidate_requires_site_validation,2
general,baseline_node_is_assumption,candidate_requires_site_validation,2
general,site_is_fallback_or_centroid,candidate_requires_site_validation,2
electronics_cots,inactive_alternate_requires_allocation,candidate_requires_material_source,1
electronics_cots,baseline_node_is_assumption,candidate_requires_material_source,1
electronics_cots,raw_material_source_missing,candidate_requires_material_source,1
