record_index,system,component,mass_kg_before,mass_kg_after,mass_status,method,confidence,equipment_match,material_match,source
1,Ens. Equipements latéraux,A5086 - Aluminium,,3.6360048,estimated,bom_exact_system_material,high,ENSEMBLE EQUIPEMENTS LATERALES,a5086,C:/dev/lca-simu/data/quantity_material.xlsx
2,Ens. Stowage latéral,"15CDV6 (chrome, molibdene, vanadium)",,0.022,estimated,bom_exact_system_material,high,ENS STOWAGE LATERAL,15cdv6,C:/dev/lca-simu/data/quantity_material.xlsx
3,Ens. Equipements latéraux,Ertalon par moulage par injection plastique,,0.0001731,estimated,bom_exact_system_material,high,ENSEMBLE EQUIPEMENTS LATERALES,ertalon,C:/dev/lca-simu/data/quantity_material.xlsx
4,Ensemble porte,FILM DECOR AERFILM - Ep0.33 714g-m2,0.392,0.392,estimated,bom_exact_system_material,high,ENSEMBLE PORTE,film decor aerfilm ep0 33 714g m2,C:/dev/lca-simu/data/quantity_material.xlsx
5,Bumper version porte,alliage Cu,0.006,0.006,estimated,bom_exact_system_material,high,BUMPER VERSION PORTE,alliage cu,C:/dev/lca-simu/data/quantity_material.xlsx
6,Ens. Stowage latéral,cuir,,0.112,estimated,bom_exact_system_material,high,ENS STOWAGE LATERAL,cuir 850,C:/dev/lca-simu/data/quantity_material.xlsx
7,lightning,lightning,,0.8,estimated,bom_exact_system_material,high,LIGHTING x3,diode cots,C:/dev/lca-simu/data/quantity_material.xlsx
8,Padding (rembourrage),AIRVOLT LAMINAT,0.95,0.95,estimated,bom_exact_system_material,high,PADDING,airvolt laminat,C:/dev/lca-simu/data/quantity_material.xlsx
9,Stowage assemblé avec porte,Silicone,,0.0007,estimated,bom_exact_system_material,high,STOWAGE ASSEMBLE AVEC PORTE,silicone 50 shore,C:/dev/lca-simu/data/quantity_material.xlsx
10,System IFE (In-Flight Entertainment) est un ensemble d'équipements et de logiciels qui permet aux passagers d'occuper leur temps à bord d'un avion.,System IFE boitier ref FJKL1-3K1100-01ATAB,,1.5,estimated,bom_exact_system_material,high,SYSTEM IFE BOITIER,70 al 6000 30 analog pcb,C:/dev/lca-simu/data/quantity_material.xlsx
11,Coussin ottoman,tissu,,0.339,estimated,bom_system_material_family_sum,medium_high,"COUSSIN OTTOMAN STD PITCH 38"" QTU",textile (2 BOM material rows),C:/dev/lca-simu/data/quantity_material.xlsx
12,Manchette acc. Mobile,FRMC55:EU28 polyuréthane flexible traité UL,,0.039,estimated,bom_exact_system_material,high,MANCHETTE ACC MOBILE,frmc55,C:/dev/lca-simu/data/quantity_material.xlsx
13,Accoudoir allée,30NCD6 (nickel-chrome- molibdene),,0.027,estimated,bom_exact_system_material,high,ACCOUDOIR ALLEE,30ncd16,C:/dev/lca-simu/data/quantity_material.xlsx
14,Ens. Palette optimisée,35NC6 (nickel-chrome),,0.660743,estimated,bom_system_material_family_sum,medium_high,ENSEMBLE PALETTE OPTIMISEE,steel (3 BOM material rows),C:/dev/lca-simu/data/quantity_material.xlsx
15,Ens. Equipements latéraux,acier,,0.0996449,estimated,bom_exact_system_material,high,ENSEMBLE EQUIPEMENTS LATERALES,acier,C:/dev/lca-simu/data/quantity_material.xlsx
16,Stowage assemblé avec porte,35NC6 (nickel-chrome),,0.008,estimated,bom_exact_system_material,high,STOWAGE ASSEMBLE AVEC PORTE,35nc6,C:/dev/lca-simu/data/quantity_material.xlsx
17,Accoudoir allée,A2017 - Aluminium,,2.43,estimated,bom_exact_system_material,high,ACCOUDOIR ALLEE,a2017,C:/dev/lca-simu/data/quantity_material.xlsx
18,Ens. Stowage latéral,A2017 - Aluminium,,0.1033805,estimated,bom_exact_system_material,high,ENS STOWAGE LATERAL,a2017,C:/dev/lca-simu/data/quantity_material.xlsx
19,Ens. Palette optimisée,A2017 - Aluminium,,12.333,estimated,bom_exact_system_material,high,ENSEMBLE PALETTE OPTIMISEE,a2017,C:/dev/lca-simu/data/quantity_material.xlsx
20,Ens. Tablette cocktail,A2017 - Aluminium,,3.523,estimated,bom_exact_system_material,high,ENS TABLETTE COCKTAIL,a2017,C:/dev/lca-simu/data/quantity_material.xlsx
21,Ens. Tablette repas,A2017 - Aluminium,,2.125,estimated,bom_exact_system_material,high,ENS TABLETTE REPAS,a2017,C:/dev/lca-simu/data/quantity_material.xlsx
22,Ens. Têtière,A2017 - Aluminium,,0.4425,estimated,bom_exact_system_material,high,ENSEMBLE TETIERE,a2017,C:/dev/lca-simu/data/quantity_material.xlsx
