key,site_id,role_hint,lat,lon,occurrences,record_count,records,location,status,queries,source_ids,systems,components,descriptions
tata_steel,"tata_steel@22.7854,86.1995",tier4_raw_material,22.78536,86.19948,86,86,"1,2,12,13,15,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,33,34,35,36,37,38,39,40,41,42...",India (86),source_backed_site (86),"Jamshedpur, India fallback; choose actual India plant from traceability",SRC_TATA_STEEL_001 (86),Accoudoir allée (8) | Ens. Structure fauteuil (6) | Ens. Stowage latéral (5) | Manchette acc. Mobile (4),acier (20) | A5086 - Aluminium (15) | inox (10) | A2017 - Aluminium (9) | FRMC55 (C55 = % de carbone) et FMR = ? (8) | A2024 - Aluminium (6),Acier primaire (86)
dupont_de_nemours,"dupont_de_nemours@39.7391,-75.5398",tier2_second_transformation,39.7391,-75.5398,61,61,"3,11,12,78,79,80,82,83,84,85,97,103,104,105,106,107,108,109,110,111,112,113,114,115,117,118,119,120,121,124...",United States (61),source_backed_site (61),"Wilmington, Delaware, USA fallback; choose product/site from traceability",SRC_DUPONT_001 (61),Siége (13) | Ens. Stowage latéral (3) | Ensemble porte (3) | Ens. Tablette repas (3),"nylon (10) | tissu (7) | kydex (7) | Ertalon (6) | velcro (5) | Display, liquid crystal, 17 pouces (3)",Polymères techniques (Kevlar/Nomex) (61)
toray_industries,"toray_industries@35.6866,139.7746",tier3_first_transformation,35.6866,139.7746,60,60,"3,11,12,32,79,80,82,83,84,85,97,103,104,105,106,107,108,109,110,111,112,113,114,115,117,118,119,120,124,125...",Japan (60),source_backed_site (60),"Tokyo 103-8666, Japan fallback; choose actual production site",SRC_TORAY_001 (60),Siége (13) | Ens. Stowage latéral (3) | Ensemble porte (3) | Ens. Tablette repas (3),"nylon (10) | tissu (7) | kydex (7) | Ertalon (6) | velcro (5) | Tissu, mousse, polyéthylène (3)",Fibres / polymères (59) | Fibres carbone — 1ère transformation (1)
china_baowu_baosteel,"china_baowu_baosteel@31.2304,121.4737",tier4_raw_material,31.2304,121.4737,44,44,"2,13,15,33,45,46,47,48,49,52,53,56,57,58,59,60,61,62,63,64,65,71,72,74,81,86,87,88,89,90...",China (44),source_backed_site (44),"Baosteel Tower, Shanghai fallback; choose actual steel plant",SRC_BAOWU_001 (44),Ens. Stowage latéral (3) | Accoudoir allée (3) | Ens. Structure fauteuil (3) | Ens. Palette optimisée (2),"acier (20) | inox (10) | FRMC55 (C55 = % de carbone) et FMR = ? (8) | 15CDV6 (chrome, molibdene, vanadium) (1) | 30NCD6 (nickel-chrome- molibdene) (1) | 4140 (acier) (1)",Matière première – acier primaire (44)
arcelormittal,"arcelormittal@49.6116,6.1319",tier4_raw_material,49.6116,6.1319,43,43,"2,13,15,33,45,46,47,48,49,52,53,56,57,58,59,60,61,62,63,64,65,71,72,74,81,86,87,88,89,90...",Luxembourg (43),source_backed_site (43),"24-26 boulevard d Avranches, L-1160 Luxembourg fallback; choose actual steel plant",SRC_ARCELORMITTAL_001 (43),Ens. Stowage latéral (3) | Accoudoir allée (3) | Ens. Structure fauteuil (3) | Ens. Palette optimisée (2),"acier (20) | inox (10) | FRMC55 (C55 = % de carbone) et FMR = ? (8) | 15CDV6 (chrome, molibdene, vanadium) (1) | 30NCD6 (nickel-chrome- molibdene) (1) | 4140 (acier) (1)",Matière première – acier primaire (43)
aubert_duval,"aubert_duval@45.7772,3.087",tier3_first_transformation,45.7772,3.087,43,43,"2,13,15,33,45,46,47,48,49,52,53,56,57,58,59,60,61,62,63,64,65,71,72,81,86,87,88,89,90,91...",France (43),source_backed_site (43),Aubiere/Clermont-Ferrand fallback; choose actual industrial site,SRC_AUBERT_001 (43),Ens. Stowage latéral (3) | Accoudoir allée (3) | Ens. Structure fauteuil (3) | Ens. Palette optimisée (2),"acier (20) | inox (10) | FRMC55 (C55 = % de carbone) et FMR = ? (8) | 15CDV6 (chrome, molibdene, vanadium) (1) | 30NCD6 (nickel-chrome- molibdene) (1) | 4140 (acier) (1)",Forge / métallurgie (1ère transformation) (35) | Forge / métallurgie (1ère transformation); Alliages spéciaux / forge; Forge / métallurgie (1ère transformation) (8)
aluminium_corporation_of_china_chalco,"aluminium_corporation_of_china_chalco@39.9042,116.4074",tier4_raw_material,39.9042,116.4074,42,42,"1,12,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,34,35,36,37,38,39,40,41,42,43,44,54,55...",China (42),fallback_site_needs_source (42),Beijing fallback; choose actual smelter/refinery,,Accoudoir allée (5) | Siége (4) | Manchette acc. Mobile (3) | Ens. Structure fauteuil (3),A5086 - Aluminium (15) | A2017 - Aluminium (9) | A2024 - Aluminium (6) | Alu (5) | aluminium (3) | FRMC55:EU28 polyuréthane flexible traité UL (2),Matière première – aluminium/alumine (31) | Matière première — aluminium primaire (11)
hindalco_industries,"hindalco_industries@19.076,72.8777",tier4_raw_material,19.076,72.8777,42,42,"1,12,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,34,35,36,37,38,39,40,41,42,43,44,54,55...",India (42),source_backed_site (42),Mumbai corporate office fallback; choose actual India plant,SRC_HINDALCO_001 (42),Accoudoir allée (5) | Siége (4) | Manchette acc. Mobile (3) | Ens. Structure fauteuil (3),A5086 - Aluminium (15) | A2017 - Aluminium (9) | A2024 - Aluminium (6) | Alu (5) | aluminium (3) | FRMC55:EU28 polyuréthane flexible traité UL (2),Aluminium primaire (42)
nucor_corp,"nucor_corp@35.2271,-80.8431",tier4_raw_material,35.2271,-80.8431,42,42,"2,13,15,45,46,47,48,49,52,53,56,57,58,59,60,61,62,63,64,65,71,72,74,81,86,87,88,89,90,91...",United States (42),fallback_site_needs_source (42),"Charlotte, North Carolina, USA fallback; choose actual mill",,Ens. Stowage latéral (3) | Accoudoir allée (3) | Ens. Palette optimisée (2) | Ensemble porte (2),"acier (20) | inox (10) | FRMC55 (C55 = % de carbone) et FMR = ? (8) | 15CDV6 (chrome, molibdene, vanadium) (1) | 30NCD6 (nickel-chrome- molibdene) (1) | cables FJKL1-3K1J01-01ATAB_BRACKETS-SET (1)",Acier recyclé (42)
alcoa,"alcoa@40.4406,-79.9959",tier4_raw_material,40.4406,-79.9959,34,34,"1,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,34,35,36,37,38,39,40,41,42,43,44,50,54,55...",United States (34),source_backed_site (34),"Pittsburgh, Pennsylvania, USA fallback; choose actual commodity site",SRC_ALCOA_001 (34),Accoudoir allée (4) | Ens. Structure fauteuil (3) | Ens. Stowage latéral (2) | Ens. Tablette cocktail (2),A5086 - Aluminium (15) | A2017 - Aluminium (9) | A2024 - Aluminium (6) | de: aluminium cast part machining glo: steel sheet stamping and bending (2) | A6060 - Aluminium (1) | de: aluminium cast part machining + tth compris dans le steel tinplated (1),Matière première — aluminium primaire (31) | Aluminium primaire (site USA) (3)
