variant,node_id,supplier,role_hint,country,region,lat,lon,is_primary,supplier_status,source_ids,geocode_status
all,"alcoa@40.4406,-79.9959",Alcoa,tier4_raw_material,United States,Outside_Europe,40.4406,-79.9959,True,baseline_primary,SRC_ALCOA_001,source_backed_site
all,"hindalco_industries@19.076,72.8777",Hindalco Industries,tier4_raw_material,India,Outside_Europe,19.076,72.8777,False,alternate,SRC_HINDALCO_001,source_backed_site
all,"aluminium_corporation_of_china_chalco@39.9042,116.4074",Aluminium Corporation of China / Chalco,tier4_raw_material,China,Outside_Europe,39.9042,116.4074,False,alternate_requires_allocation_source,,fallback_site_needs_source
all,"tata_steel@22.7854,86.1995",Tata Steel,tier4_raw_material,India,Outside_Europe,22.7853607,86.1994836,False,alternate,SRC_TATA_STEEL_001,source_backed_site
all,"constellium@45.3094,5.6076",Constellium,tier3_first_transformation,France,France,45.3094248,5.607597,False,alternate,SRC_CONSTELLIUM_001,source_backed_site
all,"amag_austria_metall@48.2267,13.0357",AMAG Austria Metall,tier3_first_transformation,Austria,Europe_non_FR,48.2266686,13.0356549,True,baseline_primary,SRC_AMAG_001,source_backed_site
all,"thyssenkrupp_materials_france@48.7585,1.9253",thyssenkrupp Materials France,tier3_first_transformation,France,France,48.758488,1.925304,False,alternate,SRC_THYSSEN_001,source_backed_site
all,"euralliage_ile_de_france@48.986,2.449",Euralliage Ile de France,tier3_first_transformation,France,France,48.986,2.449,False,alternate_requires_allocation_source,SRC_EURALLIAGE_001,source_backed_site
all,"aluminium_france@47.995,3.7585",Aluminium France,tier3_first_transformation,France,France,47.9949854,3.7585376,False,alternate,,kept_from_source_json
all,"espace@44.7776,-0.6475",ESPACE,tier1,France,France,44.7776436,-0.6475364,True,baseline_primary,,kept_from_source_json
all,"figeac_aero@44.5908,2.0333",Figeac Aero,tier1,France,France,44.590773,2.0333182,False,alternate,SRC_FIGEAC_001,source_backed_site
all,"ets_gattefin@47.1426,2.2372",ETS Gattefin,tier1,France,France,47.1426393,2.2372016,False,alternate_requires_allocation_source,SRC_GATTEFIN_001,source_backed_site
all,"sumpar@49.3893,1.2086",SUMPAR,tier1,France,France,49.3892868,1.2085766,False,alternate_requires_allocation_source,SRC_SUMPAR_001,source_backed_site
all,"groupe_segnere_segnere_ade@43.1576,-0.0191",Groupe Segnere / SEGNERE Ade,tier1,France,France,43.1576,-0.0191,False,alternate_requires_allocation_source,SRC_SEGNERE_001,source_backed_site
all,"mga_villeneuve_st_lot@44.3975,0.7317",MGA Villeneuve St Lot,tier1,France,France,44.3974711,0.7316929,False,alternate_requires_allocation_source,,kept_from_source_json
all,"senior_aerospace_thailand@13.0914,101.0108",Senior Aerospace Thailand,tier1,Thailand,Outside_Europe,13.0914,101.0108,False,alternate_requires_allocation_source,SRC_SENIOR_THAILAND_001,source_backed_site
all,"l_p_aerospace@48.8918,2.177",L&P Aerospace,tier1,France,France,48.8918171,2.176984,False,alternate,,kept_from_source_json
all,"jv_group@44.8541,-0.4991",JV Group,tier1,France,France,44.854094,-0.4991053,False,alternate_requires_allocation_source,,kept_from_source_json
all,"groupe_lauak@43.3833,-1.328",Groupe LAUAK,tier1,France,France,43.3833153,-1.3279615,False,alternate,SRC_LAUAK_001,source_backed_site
all,"safran_seats_safran_internal_group@48.8125,1.9495",Safran Seats / Safran internal group,oem,France,France,48.8125,1.9495,True,baseline_primary,SRC_SAFRAN_SEATS_001,source_backed_site
all,"saarstahl@49.3594,7.1715",Saarstahl,tier4_raw_material,Germany,Europe_non_FR,49.3593951,7.1714727,True,baseline_primary,,kept_from_source_json
all,"arcelormittal@49.6116,6.1319",ArcelorMittal,tier4_raw_material,Luxembourg,Europe_non_FR,49.6116,6.1319,False,alternate_requires_allocation_source,SRC_ARCELORMITTAL_001,source_backed_site
all,"china_baowu_baosteel@31.2304,121.4737",China Baowu / Baosteel,tier4_raw_material,China,Outside_Europe,31.2304,121.4737,False,alternate,SRC_BAOWU_001,source_backed_site
all,"nucor_corp@35.2271,-80.8431",Nucor Corp,tier4_raw_material,United States,Outside_Europe,35.2271,-80.8431,False,alternate,,fallback_site_needs_source
all,"krupp@51.335,7.5747",Krupp,tier3_first_transformation,Germany,Europe_non_FR,51.3350109,7.5747349,False,alternate,,kept_from_source_json
all,"altec_etirage@45.3904,5.3539",Altec Etirage,tier3_first_transformation,France,France,45.390391,5.353941,False,alternate,,kept_from_source_json
all,"aubert_duval@45.7772,3.087",Aubert & Duval,tier3_first_transformation,France,France,45.7772,3.087,True,baseline_primary,SRC_AUBERT_001,source_backed_site
all,"mitsubishi_chemical@35.6812,139.7671",Mitsubishi Chemical,tier4_raw_material,Japan,Outside_Europe,35.6812,139.7671,True,baseline_primary,,fallback_site_needs_source
all,"basf@49.481,8.435",BASF,tier4_raw_material,Germany,Europe_non_FR,49.481,8.435,False,alternate,SRC_BASF_001,source_backed_site
all,"bayer@50.9431,13.6228",Bayer,tier4_raw_material,Germany,Europe_non_FR,50.9431344,13.6228032,False,alternate,,kept_from_source_json
all,"toray_industries@35.6866,139.7746",Toray Industries,tier3_first_transformation,Japan,Outside_Europe,35.6866,139.7746,True,baseline_primary,SRC_TORAY_001,source_backed_site
all,"exsto_baule_exsto_polymere@45.0506,5.0835",EXSTO / Baule-Exsto Polymere,tier3_first_transformation,France,France,45.0506,5.0835,False,alternate,SRC_EXSTO_001,source_backed_site
all,"krohne@51.1498,13.7978",Krohne,tier2_second_transformation,Germany,Europe_non_FR,51.1498261,13.7978466,False,alternate,,kept_from_source_json
all,"dupont_de_nemours@39.7391,-75.5398",DuPont de Nemours,tier2_second_transformation,United States,Outside_Europe,39.7391,-75.5398,False,alternate,SRC_DUPONT_001,source_backed_site
all,"ensinger@48.501,8.8202",Ensinger,tier2_second_transformation,Germany,Europe_non_FR,48.5010122,8.8201999,True,baseline_primary,,kept_from_source_json
all,"plastitek@49.9371,1.6266",Plastitek,tier2_second_transformation,France,France,49.9370621,1.6266078,False,alternate,,kept_from_source_json
all,"epodex@48.8456,2.3249",EPODEX,tier3_first_transformation,France,France,48.845562,2.3249361,True,baseline_primary,SRC_FORMICA_001,kept_from_source_json
all,"henkel@50.9878,13.8463",Henkel,tier3_first_transformation,Germany,Europe_non_FR,50.987772,13.8462669,False,alternate,SRC_HENKEL_001,kept_from_source_json
all,"combigo@48.8696,2.3222",Combigo,tier2_second_transformation,France,France,48.869635,2.3222214,True,baseline_primary,,kept_from_source_json
all,"sika@40.6998,-73.9244",Sika,tier2_second_transformation,United States,Outside_Europe,40.6997868,-73.9244291,False,alternate,SRC_SIKA_001,kept_from_source_json
all,"adhetec@43.2204,0.0423",Adhetec,tier1,France,France,43.2204471,0.0422628,False,alternate,SRC_ADHETEC_001,kept_from_source_json
all,"kemko_aerospace@38.627,-90.1994",KEMKO Aerospace,tier1,"St. Louis, United States",Outside_Europe,38.627,-90.1994,False,alternate,SRC_KEMKO_001,source_backed_city_or_hq
all,"zijin_mining_group@25.0661,116.4233",Zijin Mining Group,tier4_raw_material,China,Outside_Europe,25.0661001,116.4232586,False,alternate,,kept_from_source_json
all,"aurubis@50.7585,6.2343",Aurubis,tier3_first_transformation,Germany,Europe_non_FR,50.7584717,6.234312,True,baseline_primary,,kept_from_source_json
all,"ampco_metal_france@45.6782,4.9349",Ampco Metal France,tier3_first_transformation,France,France,45.6782426,4.9349071,False,alternate,,kept_from_source_json
