record_index,system,component,family,mass_kg,lca_use_class,total_secondary_paths,switch_ready_topology,candidate_requires_validation,blocked_until_transport_fixed,blocked,best_verdict,switch_policy,top_issue_codes
103,Capot NFC,kydex,polymer_plastic,0.069,quantitative_ready,419,0,419,0,0,switch_possible_after_validation,"Switch requires exact grade, process route, certification and part drawing; generic material suppliers are not enough.",inactive_alternate_requires_allocation=419
104,Coussin ottoman,kydex,polymer_plastic,0.037,quantitative_ready,419,0,419,0,0,switch_possible_after_validation,"Switch requires exact grade, process route, certification and part drawing; generic material suppliers are not enough.",inactive_alternate_requires_allocation=419
105,Ens. Stowage latéral,kydex,polymer_plastic,1.161,quantitative_ready,419,0,419,0,0,switch_possible_after_validation,"Switch requires exact grade, process route, certification and part drawing; generic material suppliers are not enough.",inactive_alternate_requires_allocation=419
106,Ensemble porte,kydex,polymer_plastic,1.384,quantitative_ready,419,0,419,0,0,switch_possible_after_validation,"Switch requires exact grade, process route, certification and part drawing; generic material suppliers are not enough.",inactive_alternate_requires_allocation=419
107,Ens. Tablette cocktail,kydex,polymer_plastic,0.715,usable_for_baseline,419,0,419,0,0,switch_possible_after_validation,"Switch requires exact grade, process route, certification and part drawing; generic material suppliers are not enough.",inactive_alternate_requires_allocation=419
108,Ens. Tablette repas,kydex,polymer_plastic,0.059,quantitative_ready,419,0,419,0,0,switch_possible_after_validation,"Switch requires exact grade, process route, certification and part drawing; generic material suppliers are not enough.",inactive_alternate_requires_allocation=419
109,Stowage assemblé avec porte,kydex,polymer_plastic,0.226,quantitative_ready,419,0,419,0,0,switch_possible_after_validation,"Switch requires exact grade, process route, certification and part drawing; generic material suppliers are not enough.",inactive_alternate_requires_allocation=419
158,Siége,"Tissu, mousse, polyéthylène",textile_leather,6.478,scenario_only_review_required,391,0,391,0,0,switch_possible_after_validation,"Switch requires approved material, fire/smoke/tox evidence, upholstery/process validation and exact site.",inactive_alternate_requires_allocation=391;lca_mass_low_confidence=391
168,Siége,"Tissu, mousse, polyéthylène",textile_leather,6.478,scenario_only_review_required,391,0,391,0,0,switch_possible_after_validation,"Switch requires approved material, fire/smoke/tox evidence, upholstery/process validation and exact site.",inactive_alternate_requires_allocation=391;lca_mass_low_confidence=391
169,Siége,"Tissu, mousse, polyéthylène",textile_leather,6.478,scenario_only_review_required,391,0,391,0,0,switch_possible_after_validation,"Switch requires approved material, fire/smoke/tox evidence, upholstery/process validation and exact site.",inactive_alternate_requires_allocation=391;lca_mass_low_confidence=391
15,Ens. Equipements latéraux,acier,steel,0.0996449,quantitative_ready,339,0,339,0,0,switch_possible_after_validation,Switch possible only within same material family and with certificate/grade/site; T2 internal process must remain paired with its T1.,inactive_alternate_requires_allocation=339;material_certificate_required=272
46,Support clamps,acier,steel,1.284,usable_for_baseline,339,0,339,0,0,switch_possible_after_validation,Switch possible only within same material family and with certificate/grade/site; T2 internal process must remain paired with its T1.,inactive_alternate_requires_allocation=339;material_certificate_required=272
47,Accoudoir allée,acier,steel,0.7096766,quantitative_ready,339,0,339,0,0,switch_possible_after_validation,Switch possible only within same material family and with certificate/grade/site; T2 internal process must remain paired with its T1.,inactive_alternate_requires_allocation=339;material_certificate_required=272
48,Bumper version porte,acier,steel,0.024,quantitative_ready,339,0,339,0,0,switch_possible_after_validation,Switch possible only within same material family and with certificate/grade/site; T2 internal process must remain paired with its T1.,inactive_alternate_requires_allocation=339;material_certificate_required=272
