day,M-1430 | item:038005,M-1430 | item:042342,M-1430 | item:333362,M-1430 | item:344135,M-1430 | item:708073,M-1430 | item:730384,M-1430 | item:734545,M-1430 | item:773474,M-1810 | item:001757,M-1810 | item:001848,M-1810 | item:001893,M-1810 | item:002612,M-1810 | item:016332,M-1810 | item:029313,M-1810 | item:039668,M-1810 | item:049371,M-1810 | item:055703,M-1810 | item:099439,M-1810 | item:338928,M-1810 | item:338929,M-1810 | item:426331,M-1810 | item:693055,M-1810 | item:693710
0,6.649687,22929.96,380.0,380.0,3.0134,80.56,3.04,3668.79284,0.610624,0.457968,2.900464,0.76328,0.183187,0.015266,0.015266,0.564827,0.030531,0.76328,376.0,376.0,4.136,152.656,622.048
1,6.299703,21723.12,360.0,360.0,2.8548,76.32,2.88,3475.69848,0.571648,0.428736,2.715328,0.71456,0.171494,0.014291,0.014291,0.528774,0.028582,0.71456,352.0,352.0,3.872,142.912,622.048
2,5.94972,20516.28,340.0,340.0,2.6962,72.08,2.72,3282.60412,0.532672,0.399504,2.530192,0.66584,0.159802,0.013317,0.013317,0.492722,0.026634,0.66584,328.0,328.0,3.608,133.168,544.096
3,5.51224,19007.73,315.0,315.0,2.49795,71.02,2.52,3041.23617,0.492072,0.369054,2.337342,0.61509,0.147622,0.012302,0.012302,0.455167,0.026552,0.61509,303.0,303.0,3.333,123.018,618.8
4,5.074761,17499.18,290.0,310.0,2.2997,65.72,2.32,2799.86822,0.451472,0.338604,2.329628,0.56434,0.135442,0.011287,0.011287,0.453664,0.024522,0.56434,302.0,302.0,3.058,112.868,537.6
5,4.637282,15990.63,265.0,285.0,2.26005,60.42,2.12,2738.50027,0.410872,0.337386,2.136778,0.51359,0.123262,0.011246,0.010272,0.416109,0.022492,0.51359,277.0,301.0,2.783,102.718,537.6
6,4.549786,14662.08,240.0,260.0,2.0618,55.12,2.08,2497.13232,0.409248,0.306936,1.943928,0.46284,0.111082,0.010231,0.009257,0.378554,0.020462,0.56028,252.0,276.0,3.047,92.568,537.6
7,4.549786,13153.53,240.0,235.0,2.02215,54.06,1.88,2255.76437,0.368648,0.33495,1.751078,0.41209,0.098902,0.010231,0.009216,0.377052,0.018432,0.50953,251.0,251.0,2.772,92.162,618.8
8,4.112306,11644.98,215.0,230.0,1.8239,58.3,1.68,2014.39642,0.368648,0.33495,1.558228,0.36134,0.110107,0.009216,0.008201,0.339497,0.016402,0.50953,276.0,250.0,2.497,91.756,537.6
9,3.674827,10136.43,215.0,205.0,1.8239,53.0,1.48,1773.02847,0.368648,0.3045,1.365378,0.31059,0.097927,0.009176,0.008201,0.301942,0.014372,0.45878,275.0,225.0,2.486,81.606,537.6
10,4.02481,8627.88,210.0,180.0,2.02215,53.0,1.28,1544.75488,0.328048,0.27405,1.743364,0.35931,0.097927,0.01015,0.007186,0.264387,0.014291,0.40803,300.0,225.0,2.475,81.2,618.8
11,3.60483,10196.772618,211.00001,156.00001,1.83183,53.212002,1.448,1519.230467,0.287448,0.27405,1.550514,0.40803,0.097927,0.009135,0.008161,0.264387,0.016321,0.35728,275.0,200.0,2.2,71.05,618.8
12,3.240848,11958.759141,255.200012,135.200012,1.666886,48.802403,1.2816,1717.695432,0.326489,0.304549,1.550823,0.357361,0.085767,0.009137,0.008162,0.264447,0.014294,0.406081,250.040002,200.040002,1.92544,81.216241,537.729928
13,3.763023,12975.944446,235.040013,140.040013,1.705267,49.828483,1.12032,2005.792221,0.287201,0.275083,1.557055,0.359001,0.07398,0.010184,0.00718,0.228106,0.01233,0.458471,225.848003,208.848003,1.934328,71.394289,621.424386
14,3.41248,12794.013507,215.008013,120.008013,1.546414,50.881699,0.960064,1812.388911,0.287139,0.276254,1.564473,0.310203,0.073962,0.010223,0.008234,0.191996,0.012408,0.460423,201.809603,184.809603,1.669906,81.934699,621.923277
15,3.849847,14603.887319,215.001613,150.001613,1.387763,57.240342,1.000013,1619.232761,0.28875,0.338314,1.757264,0.261468,0.074445,0.010264,0.008234,0.229479,0.012489,0.411688,177.801923,160.801923,1.405821,72.187581,543.946333
16,3.93732,14845.177464,195.000333,150.000333,1.229153,58.300071,0.840003,1657.839176,0.290372,0.30908,1.572116,0.362884,0.062752,0.009289,0.007259,0.193424,0.012489,0.362965,178.800387,161.800387,1.691804,72.592957,544.066067
17,4.444792,13638.322016,175.000077,150.000077,1.592598,54.060016,1.601332,1947.478245,0.251395,0.279848,1.386978,0.314163,0.051059,0.008315,0.006285,0.270036,0.012492,0.314244,154.80008,137.80008,1.427801,72.998832,622.047002
18,4.094807,16845.073622,155.000026,130.000026,1.632248,49.820005,1.807731,1754.38339,0.332907,0.250616,1.394691,0.265443,0.063726,0.008315,0.00531,0.233983,0.012573,0.31426,130.800018,187.800326,1.1638,63.254807,544.094803
19,3.744824,15638.233004,135.000015,110.000015,1.632248,45.580003,2.199731,1561.288931,0.293931,0.251834,1.402097,0.216723,0.064213,0.009338,0.004336,0.310595,0.016648,0.26554,135.999619,255.800313,1.4498,73.794561,622.04796
20,4.182415,14431.392881,150.000013,115.000013,1.632299,41.340003,2.039731,1368.194552,0.334479,0.222602,1.409811,0.218753,0.064217,0.008363,0.005392,0.312097,0.018675,0.265543,153.999617,231.800311,1.1858,64.05056,622.047992
21,3.832432,13224.552856,130.000013,144.9984,1.830559,45.615279,2.039733,1175.100188,0.295503,0.253052,1.411292,0.318316,0.052524,0.007389,0.006408,0.348162,0.018756,0.265932,129.999616,257.80031,1.735817,84.428512,622.047998
22,3.835231,12017.712851,130.000064,149.99968,1.831828,41.375279,2.079733,1464.738514,0.295503,0.282527,1.789576,0.371096,0.040831,0.006415,0.007431,0.312109,0.016808,0.367352,179.999923,250.80031,2.01082,74.684512,622.048
23,3.835791,12065.986326,110.000064,159.99968,1.673228,37.135279,2.079733,1860.504689,0.256527,0.253295,1.789588,0.322376,0.040832,0.006415,0.00747,0.276056,0.014859,0.420132,205.999923,226.80031,2.287492,74.684637,544.096
24,3.835814,10859.146326,90.000064,139.99968,1.712878,41.382118,1.919733,2150.146229,0.256527,0.253295,1.789588,0.322376,0.053012,0.00544,0.008445,0.240003,0.01291,0.371412,181.999923,202.80031,2.023492,64.940637,544.096
25,3.48583,9652.306326,70.000064,199.991936,1.71288,50.031989,1.919744,1957.051869,0.297127,0.253342,1.789647,0.322376,0.089177,0.00743,0.00747,0.203951,0.010961,0.373442,181.999985,207.999923,2.551577,75.170178,544.096
26,3.849813,9231.300772,100.000064,229.991936,1.55428,50.032,1.919744,1790.130658,0.376765,0.22411,1.604511,0.324406,0.077484,0.006455,0.00747,0.204008,0.012911,0.373442,157.999985,219.188462,3.079578,93.724568,622.048
27,3.49983,8024.460772,80.000064,209.991936,1.71288,45.792,1.759744,1597.036298,0.376765,0.22411,1.419375,0.324406,0.089645,0.006455,0.00747,0.240063,0.012911,0.324722,207.999987,243.188477,2.815578,83.980568,544.096
28,4.199801,9654.700691,130.001344,189.991936,1.7446,46.639998,1.759744,1403.941938,0.376766,0.253342,1.419376,0.422239,0.101338,0.006455,0.006496,0.204011,0.010962,0.373442,195.188465,219.188477,2.551578,74.236568,544.096
29,3.849818,10618.720825,130.0016,189.991946,2.0618,42.399998,1.919744,1693.583478,0.33779,0.253342,1.419376,0.422239,0.101338,0.006455,0.005522,0.240064,0.011043,0.422162,171.188465,195.188477,2.287578,64.492568,622.048
