case_id,case_input,case_output_dir,direction,factor_value,kpi::avg_inventory,kpi::cost_share_holding,kpi::cost_share_inventory_risk,kpi::cost_share_purchase,kpi::cost_share_transport,kpi::cost_share_warehouse_operating,kpi::ending_backlog,kpi::ending_inventory,kpi::fill_rate,kpi::measured_required_total,kpi::measurement_starting_backlog,kpi::total_arrived,kpi::total_cost,kpi::total_demand,kpi::total_estimated_source_ordered_qty,kpi::total_estimated_source_rejected_qty,kpi::total_estimated_source_replenished_qty,kpi::total_explicit_initialization_pipeline_qty,kpi::total_explicit_initialization_stock_qty,kpi::total_external_procured_arrived_qty,kpi::total_external_procured_ordered_qty,kpi::total_external_procured_qty,kpi::total_external_procured_rejected_qty,kpi::total_external_procurement_cost,kpi::total_holding_cost,kpi::total_inventory_cost_legacy_raw_holding,kpi::total_inventory_risk_cost,kpi::total_logistics_cost,kpi::total_opening_stock_bootstrap_qty,kpi::total_produced,kpi::total_purchase_cost,kpi::total_served,kpi::total_shipped,kpi::total_supplier_capacity_binding_qty,kpi::total_transport_cost,kpi::total_unreliable_loss_qty,kpi::total_warehouse_operating_cost,kpi::warmup_backlog_cleared_qty,notes,parameter_group,parameter_key,parameter_label,status,study
baseline_baseline_base,etudecas\simulation\sensibility\reference_baseline_real_demand_target_calibrated_2026_03_30_realistic\cases\baseline\baseline_baseline_base\input_case.json,etudecas\simulation\sensibility\reference_baseline_real_demand_target_calibrated_2026_03_30_realistic\cases\baseline\baseline_baseline_base\simulation_output,base,1.0,19766465.3509,0.149954,0.085688,0.171575,0.399984,0.192798,593478.1966,18941957.7433,0.888075,5302452.7143,0.0,125812449.8774,27920896.5609,5302452.7143,104693283.3055,28206355.8413,103072199.171,0.0,35076.3627,0.0,0.0,0.0,0.0,0.0,4186854.545,11962441.5571,2392488.3114,23130363.0215,0.0,17869743.232,4790533.5394,4708974.5176,127074616.6123,1580070.6283,11167921.4643,0.0,5383098.7007,2131254.1763,,baseline,baseline,Baseline annuelle,ok,baseline
baseline_baseline_repeat,etudecas\simulation\sensibility\reference_baseline_real_demand_target_calibrated_2026_03_30_realistic\cases\baseline\baseline_baseline_repeat\input_case.json,etudecas\simulation\sensibility\reference_baseline_real_demand_target_calibrated_2026_03_30_realistic\cases\baseline\baseline_baseline_repeat\simulation_output,repeat,1.0,19766465.3509,0.149954,0.085688,0.171575,0.399984,0.192798,593478.1966,18941957.7433,0.888075,5302452.7143,0.0,125812449.8774,27920896.5609,5302452.7143,104693283.3055,28206355.8413,103072199.171,0.0,35076.3627,0.0,0.0,0.0,0.0,0.0,4186854.545,11962441.5571,2392488.3114,23130363.0215,0.0,17869743.232,4790533.5394,4708974.5176,127074616.6123,1580070.6283,11167921.4643,0.0,5383098.7007,2131254.1763,,baseline,baseline,Baseline annuelle repeat,ok,baseline
local_lead_time_scale_low,etudecas\simulation\sensibility\reference_baseline_real_demand_target_calibrated_2026_03_30_realistic\cases\local\local_lead_time_scale_low\input_case.json,etudecas\simulation\sensibility\reference_baseline_real_demand_target_calibrated_2026_03_30_realistic\cases\local\local_lead_time_scale_low\simulation_output,low,0.9,18410958.2613,0.143835,0.082191,0.175868,0.413175,0.184931,590718.7563,16634410.8062,0.888595,5302452.7143,0.0,125440172.5838,26951768.4922,5302452.7143,104396208.5233,663534.8724,102650309.1025,0.0,35076.3627,0.0,0.0,0.0,0.0,0.0,3876604.297,11076012.2772,2215202.4554,22211818.1287,0.0,17858383.4872,4739950.3635,4711733.9579,126821127.7985,4947675.835,11135805.8515,0.0,4984205.5247,2170114.3193,,lead_time,lead_time_scale,Lead time global,ok,local
local_lead_time_scale_high,etudecas\simulation\sensibility\reference_baseline_real_demand_target_calibrated_2026_03_30_realistic\cases\local\local_lead_time_scale_high\input_case.json,etudecas\simulation\sensibility\reference_baseline_real_demand_target_calibrated_2026_03_30_realistic\cases\local\local_lead_time_scale_high\simulation_output,high,1.1,20975883.7987,0.154711,0.088406,0.167539,0.390429,0.198914,577878.1369,20302829.0131,0.891017,5302452.7143,0.0,126308442.9428,28558471.4698,5302452.7143,104484998.1017,27999764.3099,103029462.9016,0.0,35076.3627,0.0,0.0,0.0,0.0,0.0,4418314.115,12623754.6144,2524750.9229,23773816.9501,0.0,17840838.3123,4784654.5197,4724574.5774,126864219.7882,1580070.6283,11150062.3357,0.0,5680689.5765,2459537.2899,,lead_time,lead_time_scale,Lead time global,ok,local
local_transport_cost_scale_low,etudecas\simulation\sensibility\reference_baseline_real_demand_target_calibrated_2026_03_30_realistic\cases\local\local_transport_cost_scale_low\input_case.json,etudecas\simulation\sensibility\reference_baseline_real_demand_target_calibrated_2026_03_30_realistic\cases\local\local_transport_cost_scale_low\simulation_output,low,0.9,19766465.3509,0.156202,0.089258,0.178724,0.374985,0.200831,593478.1966,18941957.7433,0.888075,5302452.7143,0.0,125812449.8774,26804104.4145,5302452.7143,104693283.3055,28206355.8413,103072199.171,0.0,35076.3627,0.0,0.0,0.0,0.0,0.0,4186854.545,11962441.5571,2392488.3114,22013570.875,0.0,17869743.232,4790533.5394,4708974.5176,127074616.6123,1580070.6283,10051129.3179,0.0,5383098.7007,2131254.1763,,transport_cost,transport_cost_scale,Cout transport global,ok,local
local_transport_cost_scale_high,etudecas\simulation\sensibility\reference_baseline_real_demand_target_calibrated_2026_03_30_realistic\cases\local\local_transport_cost_scale_high\input_case.json,etudecas\simulation\sensibility\reference_baseline_real_demand_target_calibrated_2026_03_30_realistic\cases\local\local_transport_cost_scale_high\simulation_output,high,1.1,19766465.3509,0.144187,0.082393,0.164976,0.423061,0.185383,593478.1966,18941957.7433,0.888075,5302452.7143,0.0,125812449.8774,29037688.7073,5302452.7143,104693283.3055,28206355.8413,103072199.171,0.0,35076.3627,0.0,0.0,0.0,0.0,0.0,4186854.545,11962441.5571,2392488.3114,24247155.1679,0.0,17869743.232,4790533.5394,4708974.5176,127074616.6123,1580070.6283,12284713.6108,0.0,5383098.7007,2131254.1763,,transport_cost,transport_cost_scale,Cout transport global,ok,local
local_supplier_stock_scale_low,etudecas\simulation\sensibility\reference_baseline_real_demand_target_calibrated_2026_03_30_realistic\cases\local\local_supplier_stock_scale_low\input_case.json,etudecas\simulation\sensibility\reference_baseline_real_demand_target_calibrated_2026_03_30_realistic\cases\local\local_supplier_stock_scale_low\simulation_output,low,0.9,19858522.5326,0.149576,0.085472,0.171693,0.400948,0.192311,599676.399,18749942.9133,0.886906,5302452.7143,0.0,125452333.8038,27760334.4502,5302452.7143,104381809.6702,7945193.7663,102724072.8404,0.0,35076.3627,0.0,0.0,0.0,0.0,0.0,4152267.8435,11863622.41,2372724.482,22994079.4225,0.0,17842824.5396,4766255.0277,4702776.3152,126753151.381,4951397.2561,11130457.0125,0.0,5338630.0845,2211106.5629,,supplier_stock,supplier_stock_scale,Stock fournisseur global,ok,local
local_supplier_stock_scale_high,etudecas\simulation\sensibility\reference_baseline_real_demand_target_calibrated_2026_03_30_realistic\cases\local\local_supplier_stock_scale_high\input_case.json,etudecas\simulation\sensibility\reference_baseline_real_demand_target_calibrated_2026_03_30_realistic\cases\local\local_supplier_stock_scale_high\simulation_output,high,1.1,19863651.8674,0.150593,0.086053,0.171143,0.39859,0.19362,581806.8755,17548599.4162,0.890276,5302452.7143,0.0,124399722.4231,28047894.0972,5302452.7143,104626504.7597,41143167.4347,103051613.3291,0.0,35076.3627,0.0,0.0,0.0,0.0,0.0,4223828.7986,12068082.2817,2413616.4563,23247701.1408,0.0,17858875.7723,4800192.9564,4720645.8388,127133530.8775,172211.729,11179618.8591,0.0,5430637.0268,2110425.8065,,supplier_stock,supplier_stock_scale,Stock fournisseur global,ok,local
local_production_stock_scale_low,etudecas\simulation\sensibility\reference_baseline_real_demand_target_calibrated_2026_03_30_realistic\cases\local\local_production_stock_scale_low\input_case.json,etudecas\simulation\sensibility\reference_baseline_real_demand_target_calibrated_2026_03_30_realistic\cases\local\local_production_stock_scale_low\simulation_output,low,0.9,19766463.6044,0.149954,0.085688,0.171575,0.399984,0.192798,593478.1966,18941957.7433,0.888075,5302452.7143,0.0,125812465.3568,27920892.3255,5302452.7143,104693283.3055,28206355.8413,103072199.171,0.0,35094.3627,0.0,0.0,0.0,0.0,0.0,4186853.0626,11962437.3218,2392487.4644,23130358.7861,0.0,17869743.232,4790533.5394,4708974.5176,127074616.6123,1580070.6283,11167921.4643,0.0,5383096.7948,2131254.1763,,production_stock,production_stock_scale,Stock production global,ok,local
local_production_stock_scale_high,etudecas\simulation\sensibility\reference_baseline_real_demand_target_calibrated_2026_03_30_realistic\cases\local\local_production_stock_scale_high\input_case.json,etudecas\simulation\sensibility\reference_baseline_real_demand_target_calibrated_2026_03_30_realistic\cases\local\local_production_stock_scale_high\simulation_output,high,1.1,19766467.0975,0.149954,0.085688,0.171575,0.399984,0.192798,593478.1966,18941957.7433,0.888075,5302452.7143,0.0,125812434.398,27920900.7963,5302452.7143,104693283.3055,28206355.8413,103072199.171,0.0,35058.3627,0.0,0.0,0.0,0.0,0.0,4186856.0274,11962445.7925,2392489.1585,23130367.2568,0.0,17869743.232,4790533.5394,4708974.5176,127074616.6123,1580070.6283,11167921.4643,0.0,5383100.6066,2131254.1763,,production_stock,production_stock_scale,Stock production global,ok,local
