case_id,case_input,case_output_dir,direction,factor_value,kpi::avg_inventory,kpi::cost_share_holding,kpi::cost_share_inventory_risk,kpi::cost_share_purchase,kpi::cost_share_transport,kpi::cost_share_warehouse_operating,kpi::ending_backlog,kpi::ending_inventory,kpi::fill_rate,kpi::measured_required_total,kpi::measurement_starting_backlog,kpi::total_arrived,kpi::total_cost,kpi::total_demand,kpi::total_estimated_source_ordered_qty,kpi::total_estimated_source_rejected_qty,kpi::total_estimated_source_replenished_qty,kpi::total_explicit_initialization_pipeline_qty,kpi::total_explicit_initialization_stock_qty,kpi::total_external_procured_arrived_qty,kpi::total_external_procured_ordered_qty,kpi::total_external_procured_qty,kpi::total_external_procured_rejected_qty,kpi::total_external_procurement_cost,kpi::total_holding_cost,kpi::total_inventory_cost_legacy_raw_holding,kpi::total_inventory_risk_cost,kpi::total_logistics_cost,kpi::total_opening_stock_bootstrap_qty,kpi::total_produced,kpi::total_purchase_cost,kpi::total_served,kpi::total_shipped,kpi::total_supplier_capacity_binding_qty,kpi::total_transport_cost,kpi::total_unreliable_loss_qty,kpi::total_warehouse_operating_cost,kpi::warmup_backlog_cleared_qty,notes,parameter_group,parameter_key,parameter_label,status,study
stress_capacity_node_M-1430_stress,etudecas\simulation\sensibility\reference_baseline_real_demand_target_calibrated_2026_03_30_realistic\cases\stress\stress_capacity_node_M-1430_stress\input_case.json,etudecas\simulation\sensibility\reference_baseline_real_demand_target_calibrated_2026_03_30_realistic\cases\stress\stress_capacity_node_M-1430_stress\simulation_output,stress,0.85,17004765.1709,0.154831,0.088475,0.170468,0.387158,0.199069,693269.8415,16047396.2616,0.869255,5302452.7143,0.0,117737660.0884,26810237.6389,5302452.7143,97623558.0368,41318000.0,96145271.2647,0.0,34473.9083,0.0,0.0,0.0,0.0,0.0,4151059.0134,11860168.6096,2372033.7219,22239963.171,0.0,16666650.8698,4570274.4679,4609182.8727,118799470.4353,0.0,10379794.5614,0.0,5337075.8743,1975109.6664,,capacity_node,capacity_node::M-1430,Capacite M-1430,ok,stress
stress_capacity_node_M-1810_stress,etudecas\simulation\sensibility\reference_baseline_real_demand_target_calibrated_2026_03_30_realistic\cases\stress\stress_capacity_node_M-1810_stress\input_case.json,etudecas\simulation\sensibility\reference_baseline_real_demand_target_calibrated_2026_03_30_realistic\cases\stress\stress_capacity_node_M-1810_stress\simulation_output,stress,0.85,19320889.2681,0.149706,0.085546,0.169576,0.402694,0.192479,843176.9816,18875486.9681,0.840984,5302452.7143,0.0,126036663.6523,27459061.0816,5302452.7143,103194286.443,732755.4074,101570442.481,0.0,35076.3627,0.0,0.0,0.0,0.0,0.0,4110773.1771,11745066.2204,2349013.2441,22802658.5771,0.0,17628869.1468,4656402.5044,4459275.7327,125160151.4764,205923.0957,11057592.3568,0.0,5285279.7992,1966578.8994,,capacity_node,capacity_node::M-1810,Capacite M-1810,ok,stress
stress_capacity_node_SDC-1450_stress,etudecas\simulation\sensibility\reference_baseline_real_demand_target_calibrated_2026_03_30_realistic\cases\stress\stress_capacity_node_SDC-1450_stress\input_case.json,etudecas\simulation\sensibility\reference_baseline_real_demand_target_calibrated_2026_03_30_realistic\cases\stress\stress_capacity_node_SDC-1450_stress\simulation_output,stress,0.85,19119368.5564,0.138042,0.078881,0.181792,0.423803,0.177482,593478.1966,18276821.7433,0.888075,5302452.7143,0.0,125642411.0774,26351686.8342,5302452.7143,104693283.3055,28206355.8413,103072199.171,0.0,35076.3627,0.0,0.0,0.0,0.0,0.0,3637631.1406,10393231.8304,2078646.3661,21561153.2948,0.0,17869743.232,4790533.5394,4708974.5176,127074616.6123,1580070.6283,11167921.4643,0.0,4676954.3237,2131254.1763,,capacity_node,capacity_node::SDC-1450,Capacite SDC-1450,ok,stress
stress_supplier_stock_node_SDC-VD0914690A_stress,etudecas\simulation\sensibility\reference_baseline_real_demand_target_calibrated_2026_03_30_realistic\cases\stress\stress_supplier_stock_node_SDC-VD0914690A_stress\input_case.json,etudecas\simulation\sensibility\reference_baseline_real_demand_target_calibrated_2026_03_30_realistic\cases\stress\stress_supplier_stock_node_SDC-VD0914690A_stress\simulation_output,stress,0.75,19766465.3509,0.149954,0.085688,0.171575,0.399984,0.192798,593478.1966,18941957.7433,0.888075,5302452.7143,0.0,125812449.8774,27920896.5609,5302452.7143,104693283.3055,28206355.8413,103072199.171,0.0,35076.3627,0.0,0.0,0.0,0.0,0.0,4186854.545,11962441.5571,2392488.3114,23130363.0215,0.0,17869743.232,4790533.5394,4708974.5176,127074616.6123,1580070.6283,11167921.4643,0.0,5383098.7007,2131254.1763,,supplier_stock_node,supplier_stock_node::SDC-VD0914690A,Stock fournisseur SDC-VD0914690A,ok,stress
stress_supplier_capacity_node_SDC-VD0914690A_stress,etudecas\simulation\sensibility\reference_baseline_real_demand_target_calibrated_2026_03_30_realistic\cases\stress\stress_supplier_capacity_node_SDC-VD0914690A_stress\input_case.json,etudecas\simulation\sensibility\reference_baseline_real_demand_target_calibrated_2026_03_30_realistic\cases\stress\stress_supplier_capacity_node_SDC-VD0914690A_stress\simulation_output,stress,0.75,19904786.3215,0.150119,0.085782,0.171277,0.399811,0.19301,587160.8614,19162213.8521,0.889266,5302452.7143,0.0,126177801.9509,27880293.6553,5302452.7143,104474223.2424,28140161.884,103001485.7407,0.0,35076.3627,0.0,0.0,0.0,0.0,0.0,4185367.2216,11958192.0618,2391638.4124,23105038.8727,0.0,17839662.6991,4775254.7826,4715291.8529,126842597.0445,1577790.4974,11146846.8109,0.0,5381186.4278,2240873.6434,,supplier_capacity_node,supplier_capacity_node::SDC-VD0914690A,Debit fournisseur SDC-VD0914690A,ok,stress
stress_supplier_lead_time_node_SDC-VD0914690A_stress,etudecas\simulation\sensibility\reference_baseline_real_demand_target_calibrated_2026_03_30_realistic\cases\stress\stress_supplier_lead_time_node_SDC-VD0914690A_stress\input_case.json,etudecas\simulation\sensibility\reference_baseline_real_demand_target_calibrated_2026_03_30_realistic\cases\stress\stress_supplier_lead_time_node_SDC-VD0914690A_stress\simulation_output,stress,1.5,19041956.6064,0.14906,0.085177,0.172729,0.401385,0.191649,627099.7334,18285770.6538,0.881734,5302452.7143,0.0,126127818.9853,27857860.1842,5302452.7143,104659914.8413,41318000.0,103020304.3557,0.0,35076.3627,0.0,0.0,0.0,0.0,0.0,4152498.998,11864282.8513,2372856.5703,23045997.3272,0.0,17859006.8048,4811862.857,4675352.9808,127136662.4102,0.0,11181714.4759,0.0,5338927.2831,1895449.088,,supplier_lead_time_node,supplier_lead_time_node::SDC-VD0914690A,Lead time fournisseur SDC-VD0914690A,ok,stress
stress_supplier_reliability_node_SDC-VD0914690A_stress,etudecas\simulation\sensibility\reference_baseline_real_demand_target_calibrated_2026_03_30_realistic\cases\stress\stress_supplier_reliability_node_SDC-VD0914690A_stress\input_case.json,etudecas\simulation\sensibility\reference_baseline_real_demand_target_calibrated_2026_03_30_realistic\cases\stress\stress_supplier_reliability_node_SDC-VD0914690A_stress\simulation_output,stress,0.85,19139032.738,0.150287,0.085878,0.1715,0.399109,0.193226,559150.0258,18018969.8545,0.894549,5302452.7143,0.0,125775722.664,28023505.2476,5302452.7143,119161696.4861,41318000.0,117221899.5748,0.0,35076.3627,0.0,0.0,0.0,0.0,0.0,4211570.4311,12033058.3746,2406611.6749,23217486.6647,0.0,17863455.2036,4806018.583,4743302.6884,127182867.1768,0.0,11184428.2901,14475441.7239,5414876.2686,2043735.2283,,supplier_reliability_node,supplier_reliability_node::SDC-VD0914690A,Fiabilite fournisseur SDC-VD0914690A,ok,stress
stress_supplier_stock_node_SDC-1450_stress,etudecas\simulation\sensibility\reference_baseline_real_demand_target_calibrated_2026_03_30_realistic\cases\stress\stress_supplier_stock_node_SDC-1450_stress\input_case.json,etudecas\simulation\sensibility\reference_baseline_real_demand_target_calibrated_2026_03_30_realistic\cases\stress\stress_supplier_stock_node_SDC-1450_stress\simulation_output,stress,0.75,19766460.9994,0.149954,0.085688,0.171575,0.399984,0.192798,593478.1966,18941957.7433,0.888075,5302452.7143,0.0,125812488.4074,27920886.0084,5302452.7143,104693283.3055,28206355.8413,103072199.171,0.0,35121.3627,0.0,0.0,0.0,0.0,0.0,4186850.8516,11962431.0047,2392486.2009,23130352.469,0.0,17869743.232,4790533.5394,4708974.5176,127074616.6123,1580070.6283,11167921.4643,0.0,5383093.9521,2131254.1763,,supplier_stock_node,supplier_stock_node::SDC-1450,Stock fournisseur SDC-1450,ok,stress
stress_supplier_capacity_node_SDC-1450_stress,etudecas\simulation\sensibility\reference_baseline_real_demand_target_calibrated_2026_03_30_realistic\cases\stress\stress_supplier_capacity_node_SDC-1450_stress\input_case.json,etudecas\simulation\sensibility\reference_baseline_real_demand_target_calibrated_2026_03_30_realistic\cases\stress\stress_supplier_capacity_node_SDC-1450_stress\simulation_output,stress,0.75,20198403.2974,0.150398,0.085942,0.170442,0.399848,0.193369,585060.6153,19282334.2387,0.889662,5302452.7143,0.0,126015233.3877,27862292.8287,5302452.7143,104364761.7102,9753.3093,102671481.8215,0.0,35076.3627,0.0,0.0,0.0,0.0,0.0,4190444.9976,11972699.9931,2394539.9986,23113392.9289,0.0,17867469.5899,4748899.8998,4717392.0989,126876607.1104,4947675.835,11140692.9358,0.0,5387714.9969,2490957.3185,,supplier_capacity_node,supplier_capacity_node::SDC-1450,Debit fournisseur SDC-1450,ok,stress
stress_supplier_lead_time_node_SDC-1450_stress,etudecas\simulation\sensibility\reference_baseline_real_demand_target_calibrated_2026_03_30_realistic\cases\stress\stress_supplier_lead_time_node_SDC-1450_stress\input_case.json,etudecas\simulation\sensibility\reference_baseline_real_demand_target_calibrated_2026_03_30_realistic\cases\stress\stress_supplier_lead_time_node_SDC-1450_stress\simulation_output,stress,1.5,20552270.0295,0.154122,0.08807,0.168928,0.390724,0.198157,635459.1883,19444335.0228,0.880158,5302452.7143,0.0,119828169.8368,27673691.7836,5302452.7143,101507479.9238,27777238.8602,97505141.699,0.0,35076.3627,0.0,0.0,0.0,0.0,0.0,4265125.067,12186071.6201,2437214.324,22998835.2014,0.0,17329088.3752,4674856.5822,4666993.526,123337530.7527,1575025.8319,10812763.5813,0.0,5483732.229,2189097.9211,,supplier_lead_time_node,supplier_lead_time_node::SDC-1450,Lead time fournisseur SDC-1450,ok,stress
