case_id,delta::kpi::avg_inventory,delta::kpi::cost_share_holding,delta::kpi::cost_share_inventory_risk,delta::kpi::cost_share_purchase,delta::kpi::cost_share_transport,delta::kpi::cost_share_warehouse_operating,delta::kpi::ending_backlog,delta::kpi::ending_inventory,delta::kpi::fill_rate,delta::kpi::total_arrived,delta::kpi::total_cost,delta::kpi::total_demand,delta::kpi::total_estimated_source_ordered_qty,delta::kpi::total_estimated_source_rejected_qty,delta::kpi::total_estimated_source_replenished_qty,delta::kpi::total_explicit_initialization_pipeline_qty,delta::kpi::total_explicit_initialization_stock_qty,delta::kpi::total_external_procured_arrived_qty,delta::kpi::total_external_procured_ordered_qty,delta::kpi::total_external_procured_qty,delta::kpi::total_external_procured_rejected_qty,delta::kpi::total_external_procurement_cost,delta::kpi::total_holding_cost,delta::kpi::total_inventory_cost_legacy_raw_holding,delta::kpi::total_inventory_risk_cost,delta::kpi::total_logistics_cost,delta::kpi::total_opening_stock_bootstrap_qty,delta::kpi::total_produced,delta::kpi::total_purchase_cost,delta::kpi::total_served,delta::kpi::total_shipped,delta::kpi::total_supplier_capacity_binding_qty,delta::kpi::total_transport_cost,delta::kpi::total_unreliable_loss_qty,delta::kpi::total_warehouse_operating_cost,delta_pct::kpi::avg_inventory,delta_pct::kpi::cost_share_holding,delta_pct::kpi::cost_share_inventory_risk,delta_pct::kpi::cost_share_purchase,delta_pct::kpi::cost_share_transport,delta_pct::kpi::cost_share_warehouse_operating,delta_pct::kpi::ending_backlog,delta_pct::kpi::ending_inventory,delta_pct::kpi::fill_rate,delta_pct::kpi::total_arrived,delta_pct::kpi::total_cost,delta_pct::kpi::total_demand,delta_pct::kpi::total_estimated_source_ordered_qty,delta_pct::kpi::total_estimated_source_rejected_qty,delta_pct::kpi::total_estimated_source_replenished_qty,delta_pct::kpi::total_explicit_initialization_pipeline_qty,delta_pct::kpi::total_explicit_initialization_stock_qty,delta_pct::kpi::total_external_procured_arrived_qty,delta_pct::kpi::total_external_procured_ordered_qty,delta_pct::kpi::total_external_procured_qty,delta_pct::kpi::total_external_procured_rejected_qty,delta_pct::kpi::total_external_procurement_cost,delta_pct::kpi::total_holding_cost,delta_pct::kpi::total_inventory_cost_legacy_raw_holding,delta_pct::kpi::total_inventory_risk_cost,delta_pct::kpi::total_logistics_cost,delta_pct::kpi::total_opening_stock_bootstrap_qty,delta_pct::kpi::total_produced,delta_pct::kpi::total_purchase_cost,delta_pct::kpi::total_served,delta_pct::kpi::total_shipped,delta_pct::kpi::total_supplier_capacity_binding_qty,delta_pct::kpi::total_transport_cost,delta_pct::kpi::total_unreliable_loss_qty,delta_pct::kpi::total_warehouse_operating_cost,kpi::avg_inventory,kpi::cost_share_holding,kpi::cost_share_inventory_risk,kpi::cost_share_purchase,kpi::cost_share_transport,kpi::cost_share_warehouse_operating,kpi::ending_backlog,kpi::ending_inventory,kpi::fill_rate,kpi::total_arrived,kpi::total_cost,kpi::total_demand,kpi::total_estimated_source_ordered_qty,kpi::total_estimated_source_rejected_qty,kpi::total_estimated_source_replenished_qty,kpi::total_explicit_initialization_pipeline_qty,kpi::total_explicit_initialization_stock_qty,kpi::total_external_procured_arrived_qty,kpi::total_external_procured_ordered_qty,kpi::total_external_procured_qty,kpi::total_external_procured_rejected_qty,kpi::total_external_procurement_cost,kpi::total_holding_cost,kpi::total_inventory_cost_legacy_raw_holding,kpi::total_inventory_risk_cost,kpi::total_logistics_cost,kpi::total_opening_stock_bootstrap_qty,kpi::total_produced,kpi::total_purchase_cost,kpi::total_served,kpi::total_shipped,kpi::total_supplier_capacity_binding_qty,kpi::total_transport_cost,kpi::total_unreliable_loss_qty,kpi::total_warehouse_operating_cost,level,parameter,value
baseline,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,nan,0.0,nan,0.0,4040457.2621,0.329708,0.188405,0.000483,0.057495,0.42391,648.153,5036924.0926,0.96275,4382366.6515,9721359.8057,17400.0,35463.7005,0.0,561131.3657,4743556.8755,794048.5399,0.0,0.0,0.0,0.0,0.0,3205210.4013,9157744.0036,1831548.8007,9716669.0371,0.0,70812.8965,4690.7686,16751.847,169056.4004,0.0,558925.0334,0.0,4120984.8016,base,baseline,1.0
baseline_repeat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,nan,0.0,nan,0.0,4040457.2621,0.329708,0.188405,0.000483,0.057495,0.42391,648.153,5036924.0926,0.96275,4382366.6515,9721359.8057,17400.0,35463.7005,0.0,561131.3657,4743556.8755,794048.5399,0.0,0.0,0.0,0.0,0.0,3205210.4013,9157744.0036,1831548.8007,9716669.0371,0.0,70812.8965,4690.7686,16751.847,169056.4004,0.0,558925.0334,0.0,4120984.8016,repeat,baseline,1.0
lead_time_scale_low,-399021.49399999995,8.00000000000245e-05,4.500000000001725e-05,2.500000000000001e-05,-0.0002549999999999983,0.00010399999999999299,933.068,-774722.9922000002,-0.053625000000000034,-843158.9138999996,-914108.0588000007,0.0,53.162499999998545,0.0,-6418.59859999991,-836480.4587000003,0.0,0.0,0.0,0.0,0.0,0.0,-300681.6553000002,-859090.4436999997,-171818.08869999996,-913891.3585000001,0.0,-5867.291300000004,-216.70040000000063,-933.0680000000011,-13782.459000000003,0.0,-54800.914699999965,0.0,-386590.69969999976,-9.875651890761771,0.02426389411237352,0.02388471643534792,5.175983436853004,-0.44351682755021876,0.024533509471348396,143.95798522879628,-15.380874874373927,-5.569981822903146,-19.23980764164045,-9.403088426621393,0.0,0.14990680400089254,nan,-1.143867370877199,-17.63403455791452,0.0,nan,nan,nan,nan,nan,-9.381027066992134,-9.381027066953202,-9.381027064871695,-9.405397621454405,nan,-8.285625345095161,-4.619720529381914,-5.569941033964798,-8.152580421320742,nan,-9.804698559776472,nan,-9.381027067848038,3641435.7681,0.329788,0.18845,0.000508,0.05724,0.424014,1581.221,4262201.1004,0.909125,3539207.7376,8807251.7469,17400.0,35516.863,0.0,554712.7671,3907076.4168,794048.5399,0.0,0.0,0.0,0.0,0.0,2904528.746,8298653.5599,1659730.712,8802777.6786,0.0,64945.6052,4474.0682,15818.779,155273.9414,0.0,504124.1187,0.0,3734394.1019,low,lead_time_scale,0.8
lead_time_scale_high,159166.8635999998,0.00032399999999999096,0.00018500000000001848,-9.999999999999972e-06,-0.0009160000000000001,0.0004170000000000007,-351.25,380076.3152999999,0.020186999999999955,403167.7644000007,352012.73179999925,0.0,-434.5749999999971,0.0,3010.1334999999963,404536.7067999998,0.0,0.0,0.0,0.0,0.0,0.0,119323.09700000007,340923.13430000097,68184.62690000003,351934.7355000004,0.0,632.5310999999929,77.99629999999979,351.25,2449.958899999998,0.0,11011.601300000097,0.0,153415.41050000023,3.9393279838152258,0.09826877115507993,0.09819272312306918,-2.070393374741195,-1.5931820158274637,0.09836993701493259,-54.19245147364896,7.545801928172577,2.0968060244092395,9.199772553535752,3.6210235896587317,0.0,-1.225407935079976,nan,0.5364400716122714,8.528130207300595,0.0,nan,nan,nan,nan,nan,3.7227851548093023,3.722785155011766,3.7227851572363533,3.6219689500203196,nan,0.893242800765808,1.6627616207714826,2.0967837158493623,1.4491961819861379,nan,1.970139221178798,nan,3.7227851566071215,4199624.1257,0.330032,0.18859,0.000473,0.056579,0.424327,296.903,5417000.4079,0.982937,4785534.4159,10073372.5375,17400.0,35029.1255,0.0,564141.4992,5148093.5823,794048.5399,0.0,0.0,0.0,0.0,0.0,3324533.4983,9498667.1379,1899733.4276,10068603.7726,0.0,71445.4276,4768.7649,17103.097,171506.3593,0.0,569936.6347,0.0,4274400.2121,high,lead_time_scale,1.2
transport_cost_scale_low,0.0,0.0038349999999999773,0.0021909999999999985,5.000000000000013e-06,-0.010963999999999995,0.004931999999999992,0.0,0.0,0.0,0.0,-111785.0066999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-111785.0066999998,0.0,0.0,0.0,0.0,0.0,0.0,-111785.00669999997,0.0,0.0,0.0,1.1631504240115427,1.1629203046628267,1.035196687370603,-19.069484302982858,1.1634545068528677,0.0,0.0,0.0,0.0,-1.1498906421965374,0.0,0.0,nan,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,0.0,-1.1504457574214417,nan,0.0,0.0,0.0,0.0,nan,-20.000000003578293,nan,0.0,4040457.2621,0.333543,0.190596,0.000488,0.046531,0.428842,648.153,5036924.0926,0.96275,4382366.6515,9609574.799,17400.0,35463.7005,0.0,561131.3657,4743556.8755,794048.5399,0.0,0.0,0.0,0.0,0.0,3205210.4013,9157744.0036,1831548.8007,9604884.0304,0.0,70812.8965,4690.7686,16751.847,169056.4004,0.0,447140.0267,0.0,4120984.8016,low,transport_cost_scale,0.8
transport_cost_scale_high,0.0,-0.0037479999999999736,-0.0021419999999999773,-5.999999999999983e-06,0.010714000000000008,-0.004819000000000018,0.0,0.0,0.0,0.0,111785.0066999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111785.0066999998,0.0,0.0,0.0,0.0,0.0,0.0,111785.00670000003,0.0,0.0,0.0,-1.1367634391643435,-1.1369125023221132,-1.242236024844717,18.634663883816,-1.136797905215734,0.0,0.0,0.0,0.0,1.1498906421965374,0.0,0.0,nan,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,0.0,1.1504457574214417,nan,0.0,0.0,0.0,0.0,nan,20.000000003578304,nan,0.0,4040457.2621,0.32596,0.186263,0.000477,0.068209,0.419091,648.153,5036924.0926,0.96275,4382366.6515,9833144.8124,17400.0,35463.7005,0.0,561131.3657,4743556.8755,794048.5399,0.0,0.0,0.0,0.0,0.0,3205210.4013,9157744.0036,1831548.8007,9828454.0438,0.0,70812.8965,4690.7686,16751.847,169056.4004,0.0,670710.0401,0.0,4120984.8016,high,transport_cost_scale,1.2
supplier_stock_scale_low,-1295.0359999998473,0.00022099999999997122,0.000126000000000015,-2.1999999999999993e-05,-0.0006110000000000004,0.0002849999999999797,5.369399999999928,-1962.7303999997675,-0.0003090000000000037,-1243.1050999993458,-8286.180800000206,0.0,-1764.6324000000022,0.0,-1585.1382999999914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-581.5120999999344,-1661.462899999693,-332.29260000004433,-8068.606100000441,0.0,-39.1762000000017,-217.57459999999992,-5.369400000003225,-1799.4981000000262,0.0,-6407.143099999987,0.0,-747.6582999997772,-0.03205171880290503,0.0670290074854026,0.0668772060189565,-4.55486542443064,-1.0627011044438655,0.06723125191667564,0.8284155130038628,-0.03896684492194977,-0.0320955595949108,-0.02836606790018026,-0.08523684922290095,0.0,-4.975883438898324,nan,-0.28248969793776607,0.0,0.0,nan,nan,nan,nan,nan,-0.018142712246412254,-0.01814270959470537,-0.018142710686881253,-0.0830388075295458,nan,-0.05532353841789496,-4.6383571340526135,-0.03205258500751126,-1.0644365405523126,nan,-1.1463331783557196,nan,-0.018142709473461145,4039162.2261,0.329929,0.188531,0.000461,0.056884,0.424195,653.5224,5034961.3622,0.962441,4381123.5464,9713073.6249,17400.0,33699.0681,0.0,559546.2274,4743556.8755,794048.5399,0.0,0.0,0.0,0.0,0.0,3204628.8892,9156082.5407,1831216.5081,9708600.431,0.0,70773.7203,4473.194,16746.4776,167256.9023,0.0,552517.8903,0.0,4120237.1433,low,supplier_stock_scale,0.8
supplier_stock_scale_high,1448.6181999999098,-0.00023099999999998122,-0.00013199999999999323,2.2000000000000047e-05,0.0006370000000000056,-0.00029600000000001847,-5.3694000000000415,1842.459199999459,0.00030799999999997496,1590.455200000666,8634.5569000002,0.0,1765.8971999999994,0.0,1584.3795000000391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.6655000001192,1716.1872000005096,343.23750000004657,8415.606899999082,0.0,74.56909999999334,218.94999999999982,5.369399999999587,1870.4942999999912,0.0,6699.419700000086,0.0,772.2842999999411,0.03585282818328836,-0.07006199424945139,-0.07006183487699012,4.554865424430652,1.1079224280372304,-0.06982614234153911,-0.8284155130038804,0.03657905432218661,0.03199169047000519,0.036292152767644026,0.08882046413853989,0.0,4.979449902584192,nan,0.28235447113592693,0.0,0.0,nan,nan,nan,nan,nan,0.01874028300159314,0.01874028362581286,0.018740286901930463,0.08660999842504434,nan,0.10530440595660896,4.667678554853459,0.03205258500748954,1.1064321111618742,nan,1.1986258084106214,nan,0.018740285081859476,4041905.8803,0.329477,0.188273,0.000505,0.058132,0.423614,642.7836,5038766.5518,0.963058,4383957.1067,9729994.3626,17400.0,37229.5977,0.0,562715.7452,4743556.8755,794048.5399,0.0,0.0,0.0,0.0,0.0,3205811.0668,9159460.1908,1831892.0382,9725084.644,0.0,70887.4656,4909.7186,16757.2164,170926.8947,0.0,565624.4531,0.0,4121757.0859,high,supplier_stock_scale,1.2
supplier_capacity_scale_low,-100193.33199999994,0.0007780000000000009,0.00044399999999999995,-9.999999999999972e-06,-0.0022149999999999948,0.0010009999999999741,122.01699999999994,-96345.32150000054,-0.007013000000000047,-9046.379399999976,-261639.78330000117,0.0,859.9553000000014,0.0,-104567.12409999996,-105450.85060000047,0.0,0.0,0.0,0.0,0.0,0.0,-78901.67579999985,-225433.3591999989,-45086.67180000013,-261423.57290000096,0.0,-1300.4205000000075,-216.21039999999994,-122.01699999999983,-9621.280300000013,0.0,-35990.213699999964,0.0,-101445.01159999985,-2.4797523027857777,0.23596637024276054,0.23566253549534244,-2.070393374741195,-3.8525089138185837,0.23613502866173813,18.825339078890313,-1.9127808902569394,-0.7284341729420978,-0.20642680358348325,-2.691390798503229,0.0,2.4248887957984007,nan,-18.635052412291124,-2.223033334851399,0.0,nan,nan,nan,nan,nan,-2.4616691549483973,-2.461669152483175,-2.4616691503261308,-2.6904649309535857,nan,-1.8364176079141283,-4.6092744800926635,-0.7283793840762742,-5.69116595244862,nan,-6.43918442533656,nan,-2.4616691515244886,3940263.9301,0.330486,0.188849,0.000473,0.05528,0.424911,770.17,4940578.7711,0.955737,4373320.2721,9459720.0224,17400.0,36323.6558,0.0,456564.2416,4638106.0249,794048.5399,0.0,0.0,0.0,0.0,0.0,3126308.7255,8932310.6444,1786462.1289,9455245.4642,0.0,69512.476,4474.5582,16629.83,159435.1201,0.0,522934.8197,0.0,4019539.79,low,supplier_capacity_scale,0.8
supplier_capacity_scale_high,100339.52680000011,-0.0007300000000000084,-0.0004180000000000017,3.0000000000000187e-06,0.0020830000000000015,-0.0009390000000000231,-127.98300000000006,96897.1475999998,0.007355,10043.73620000016,261433.95899999887,0.0,-1074.4015,0.0,104349.73360000004,105450.85049999971,0.0,0.0,0.0,0.0,0.0,0.0,78906.01189999981,225445.7485000007,45089.14969999995,261274.43049999885,0.0,1363.3573999999935,159.52849999999944,127.98300000000017,9474.88579999999,0.0,35828.68210000009,0.0,101450.5867999997,2.483370576424544,-0.22140803377534318,-0.221862477110481,0.6211180124223641,3.6229237324984807,-0.22150928263075256,-19.74580076000575,1.9237365070153885,0.76395741365879,0.2291852096985628,2.6892735607492924,0.0,-3.0295809090763104,nan,18.596310949366707,2.22303333274326,0.0,nan,nan,nan,nan,nan,2.46180443779904,2.4618044401697157,2.4618044401965875,2.688930018120467,nan,1.92529534503647,3.4009032123221643,0.7639933674179341,5.604570887338015,nan,6.410284020032246,nan,2.461804439574997,4140796.7889,0.328978,0.187987,0.000486,0.059578,0.422971,520.17,5133821.2402,0.970105,4392410.3877,9982793.7647,17400.0,34389.299,0.0,665481.0993,4849007.726,794048.5399,0.0,0.0,0.0,0.0,0.0,3284116.4132,9383189.7521,1876637.9504,9977943.4676,0.0,72176.2539,4850.2971,16879.83,178531.2862,0.0,594753.7155,0.0,4222435.3884,high,supplier_capacity_scale,1.2
