capacity_node::M-1430,capacity_node::M-1810,capacity_node::SDC-1450,case_id,case_input,case_output_dir,demand_item::item:268091,demand_item::item:268967,edge_src_lead_time::SDC-1450,edge_src_lead_time::SDC-VD0500655A,edge_src_lead_time::SDC-VD0505677A,edge_src_lead_time::SDC-VD0508918A,edge_src_lead_time::SDC-VD0514881A,edge_src_lead_time::SDC-VD0518684A,edge_src_lead_time::SDC-VD0519670A,edge_src_lead_time::SDC-VD0520115A,edge_src_lead_time::SDC-VD0520132A,edge_src_lead_time::SDC-VD0525412A,edge_src_lead_time::SDC-VD0901566A,edge_src_lead_time::SDC-VD0910216A,edge_src_lead_time::SDC-VD0914320A,edge_src_lead_time::SDC-VD0914360C,edge_src_lead_time::SDC-VD0914690A,edge_src_lead_time::SDC-VD0949099A,edge_src_lead_time::SDC-VD0951020A,edge_src_lead_time::SDC-VD0960508A,edge_src_lead_time::SDC-VD0964290A,edge_src_lead_time::SDC-VD0972460A,edge_src_lead_time::SDC-VD0975221A,edge_src_lead_time::SDC-VD0989480A,edge_src_lead_time::SDC-VD0990780A,edge_src_lead_time::SDC-VD0993480A,edge_src_lead_time::SDC-VD1091642A,edge_src_lead_time::SDC-VD1095770A,edge_src_lead_time::SDC-VD1096202A,edge_src_reliability::SDC-1450,edge_src_reliability::SDC-VD0500655A,edge_src_reliability::SDC-VD0505677A,edge_src_reliability::SDC-VD0508918A,edge_src_reliability::SDC-VD0514881A,edge_src_reliability::SDC-VD0518684A,edge_src_reliability::SDC-VD0519670A,edge_src_reliability::SDC-VD0520115A,edge_src_reliability::SDC-VD0520132A,edge_src_reliability::SDC-VD0525412A,edge_src_reliability::SDC-VD0901566A,edge_src_reliability::SDC-VD0910216A,edge_src_reliability::SDC-VD0914320A,edge_src_reliability::SDC-VD0914360C,edge_src_reliability::SDC-VD0914690A,edge_src_reliability::SDC-VD0949099A,edge_src_reliability::SDC-VD0951020A,edge_src_reliability::SDC-VD0960508A,edge_src_reliability::SDC-VD0964290A,edge_src_reliability::SDC-VD0972460A,edge_src_reliability::SDC-VD0975221A,edge_src_reliability::SDC-VD0989480A,edge_src_reliability::SDC-VD0990780A,edge_src_reliability::SDC-VD0993480A,edge_src_reliability::SDC-VD1091642A,edge_src_reliability::SDC-VD1095770A,edge_src_reliability::SDC-VD1096202A,error,factor::capacity_scale,factor::demand_scale,factor::lead_time_scale,factor::production_stock_scale,factor::safety_stock_days_scale,factor::supplier_capacity_scale,factor::supplier_reliability_scale,factor::supplier_stock_scale,factor::transport_cost_scale,kpi::avg_inventory,kpi::cost_share_holding,kpi::cost_share_inventory_risk,kpi::cost_share_purchase,kpi::cost_share_transport,kpi::cost_share_warehouse_operating,kpi::ending_backlog,kpi::ending_inventory,kpi::fill_rate,kpi::total_arrived,kpi::total_cost,kpi::total_demand,kpi::total_estimated_source_ordered_qty,kpi::total_estimated_source_rejected_qty,kpi::total_estimated_source_replenished_qty,kpi::total_explicit_initialization_pipeline_qty,kpi::total_explicit_initialization_stock_qty,kpi::total_external_procured_arrived_qty,kpi::total_external_procured_ordered_qty,kpi::total_external_procured_qty,kpi::total_external_procured_rejected_qty,kpi::total_external_procurement_cost,kpi::total_holding_cost,kpi::total_inventory_cost_legacy_raw_holding,kpi::total_inventory_risk_cost,kpi::total_logistics_cost,kpi::total_opening_stock_bootstrap_qty,kpi::total_produced,kpi::total_purchase_cost,kpi::total_served,kpi::total_shipped,kpi::total_supplier_capacity_binding_qty,kpi::total_transport_cost,kpi::total_unreliable_loss_qty,kpi::total_warehouse_operating_cost,level,parameter,status,supplier_capacity_node::SDC-1450,supplier_capacity_node::SDC-VD0500655A,supplier_capacity_node::SDC-VD0505677A,supplier_capacity_node::SDC-VD0508918A,supplier_capacity_node::SDC-VD0514881A,supplier_capacity_node::SDC-VD0518684A,supplier_capacity_node::SDC-VD0519670A,supplier_capacity_node::SDC-VD0520115A,supplier_capacity_node::SDC-VD0520132A,supplier_capacity_node::SDC-VD0525412A,supplier_capacity_node::SDC-VD0901566A,supplier_capacity_node::SDC-VD0910216A,supplier_capacity_node::SDC-VD0914320A,supplier_capacity_node::SDC-VD0914360C,supplier_capacity_node::SDC-VD0914690A,supplier_capacity_node::SDC-VD0949099A,supplier_capacity_node::SDC-VD0951020A,supplier_capacity_node::SDC-VD0960508A,supplier_capacity_node::SDC-VD0964290A,supplier_capacity_node::SDC-VD0972460A,supplier_capacity_node::SDC-VD0975221A,supplier_capacity_node::SDC-VD0989480A,supplier_capacity_node::SDC-VD0990780A,supplier_capacity_node::SDC-VD0993480A,supplier_capacity_node::SDC-VD1091642A,supplier_capacity_node::SDC-VD1095770A,supplier_capacity_node::SDC-VD1096202A,supplier_node::SDC-1450,supplier_node::SDC-VD0500655A,supplier_node::SDC-VD0505677A,supplier_node::SDC-VD0508918A,supplier_node::SDC-VD0514881A,supplier_node::SDC-VD0518684A,supplier_node::SDC-VD0519670A,supplier_node::SDC-VD0520115A,supplier_node::SDC-VD0520132A,supplier_node::SDC-VD0525412A,supplier_node::SDC-VD0901566A,supplier_node::SDC-VD0910216A,supplier_node::SDC-VD0914320A,supplier_node::SDC-VD0914360C,supplier_node::SDC-VD0914690A,supplier_node::SDC-VD0949099A,supplier_node::SDC-VD0951020A,supplier_node::SDC-VD0960508A,supplier_node::SDC-VD0964290A,supplier_node::SDC-VD0972460A,supplier_node::SDC-VD0975221A,supplier_node::SDC-VD0989480A,supplier_node::SDC-VD0990780A,supplier_node::SDC-VD0993480A,supplier_node::SDC-VD1091642A,supplier_node::SDC-VD1095770A,supplier_node::SDC-VD1096202A,value
,,,baseline,etudecas\simulation\sensibility\reference_baseline_explicit_30_25_20_local\cases\baseline\input_case.json,etudecas\simulation\sensibility\reference_baseline_explicit_30_25_20_local\cases\baseline\simulation_output,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4040457.2621,0.329708,0.188405,0.000483,0.057495,0.42391,648.153,5036924.0926,0.96275,4382366.6515,9721359.8057,17400.0,35463.7005,0.0,561131.3657,4743556.8755,794048.5399,0.0,0.0,0.0,0.0,0.0,3205210.4013,9157744.0036,1831548.8007,9716669.0371,0.0,70812.8965,4690.7686,16751.847,169056.4004,0.0,558925.0334,0.0,4120984.8016,base,baseline,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
,,,baseline_repeat,etudecas\simulation\sensibility\reference_baseline_explicit_30_25_20_local\cases\baseline_repeat\input_case.json,etudecas\simulation\sensibility\reference_baseline_explicit_30_25_20_local\cases\baseline_repeat\simulation_output,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4040457.2621,0.329708,0.188405,0.000483,0.057495,0.42391,648.153,5036924.0926,0.96275,4382366.6515,9721359.8057,17400.0,35463.7005,0.0,561131.3657,4743556.8755,794048.5399,0.0,0.0,0.0,0.0,0.0,3205210.4013,9157744.0036,1831548.8007,9716669.0371,0.0,70812.8965,4690.7686,16751.847,169056.4004,0.0,558925.0334,0.0,4120984.8016,repeat,baseline,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
,,,lead_time_scale_low,etudecas\simulation\sensibility\reference_baseline_explicit_30_25_20_local\cases\lead_time_scale_low\input_case.json,etudecas\simulation\sensibility\reference_baseline_explicit_30_25_20_local\cases\lead_time_scale_low\simulation_output,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,3641435.7681,0.329788,0.18845,0.000508,0.05724,0.424014,1581.221,4262201.1004,0.909125,3539207.7376,8807251.7469,17400.0,35516.863,0.0,554712.7671,3907076.4168,794048.5399,0.0,0.0,0.0,0.0,0.0,2904528.746,8298653.5599,1659730.712,8802777.6786,0.0,64945.6052,4474.0682,15818.779,155273.9414,0.0,504124.1187,0.0,3734394.1019,low,lead_time_scale,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8
,,,lead_time_scale_high,etudecas\simulation\sensibility\reference_baseline_explicit_30_25_20_local\cases\lead_time_scale_high\input_case.json,etudecas\simulation\sensibility\reference_baseline_explicit_30_25_20_local\cases\lead_time_scale_high\simulation_output,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.2,1.0,1.0,1.0,1.0,1.0,1.0,4199624.1257,0.330032,0.18859,0.000473,0.056579,0.424327,296.903,5417000.4079,0.982937,4785534.4159,10073372.5375,17400.0,35029.1255,0.0,564141.4992,5148093.5823,794048.5399,0.0,0.0,0.0,0.0,0.0,3324533.4983,9498667.1379,1899733.4276,10068603.7726,0.0,71445.4276,4768.7649,17103.097,171506.3593,0.0,569936.6347,0.0,4274400.2121,high,lead_time_scale,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2
,,,transport_cost_scale_low,etudecas\simulation\sensibility\reference_baseline_explicit_30_25_20_local\cases\transport_cost_scale_low\input_case.json,etudecas\simulation\sensibility\reference_baseline_explicit_30_25_20_local\cases\transport_cost_scale_low\simulation_output,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,4040457.2621,0.333543,0.190596,0.000488,0.046531,0.428842,648.153,5036924.0926,0.96275,4382366.6515,9609574.799,17400.0,35463.7005,0.0,561131.3657,4743556.8755,794048.5399,0.0,0.0,0.0,0.0,0.0,3205210.4013,9157744.0036,1831548.8007,9604884.0304,0.0,70812.8965,4690.7686,16751.847,169056.4004,0.0,447140.0267,0.0,4120984.8016,low,transport_cost_scale,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8
,,,transport_cost_scale_high,etudecas\simulation\sensibility\reference_baseline_explicit_30_25_20_local\cases\transport_cost_scale_high\input_case.json,etudecas\simulation\sensibility\reference_baseline_explicit_30_25_20_local\cases\transport_cost_scale_high\simulation_output,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.2,4040457.2621,0.32596,0.186263,0.000477,0.068209,0.419091,648.153,5036924.0926,0.96275,4382366.6515,9833144.8124,17400.0,35463.7005,0.0,561131.3657,4743556.8755,794048.5399,0.0,0.0,0.0,0.0,0.0,3205210.4013,9157744.0036,1831548.8007,9828454.0438,0.0,70812.8965,4690.7686,16751.847,169056.4004,0.0,670710.0401,0.0,4120984.8016,high,transport_cost_scale,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2
,,,supplier_stock_scale_low,etudecas\simulation\sensibility\reference_baseline_explicit_30_25_20_local\cases\supplier_stock_scale_low\input_case.json,etudecas\simulation\sensibility\reference_baseline_explicit_30_25_20_local\cases\supplier_stock_scale_low\simulation_output,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0,4039162.2261,0.329929,0.188531,0.000461,0.056884,0.424195,653.5224,5034961.3622,0.962441,4381123.5464,9713073.6249,17400.0,33699.0681,0.0,559546.2274,4743556.8755,794048.5399,0.0,0.0,0.0,0.0,0.0,3204628.8892,9156082.5407,1831216.5081,9708600.431,0.0,70773.7203,4473.194,16746.4776,167256.9023,0.0,552517.8903,0.0,4120237.1433,low,supplier_stock_scale,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8
,,,supplier_stock_scale_high,etudecas\simulation\sensibility\reference_baseline_explicit_30_25_20_local\cases\supplier_stock_scale_high\input_case.json,etudecas\simulation\sensibility\reference_baseline_explicit_30_25_20_local\cases\supplier_stock_scale_high\simulation_output,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.2,1.0,4041905.8803,0.329477,0.188273,0.000505,0.058132,0.423614,642.7836,5038766.5518,0.963058,4383957.1067,9729994.3626,17400.0,37229.5977,0.0,562715.7452,4743556.8755,794048.5399,0.0,0.0,0.0,0.0,0.0,3205811.0668,9159460.1908,1831892.0382,9725084.644,0.0,70887.4656,4909.7186,16757.2164,170926.8947,0.0,565624.4531,0.0,4121757.0859,high,supplier_stock_scale,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2
,,,supplier_capacity_scale_low,etudecas\simulation\sensibility\reference_baseline_explicit_30_25_20_local\cases\supplier_capacity_scale_low\input_case.json,etudecas\simulation\sensibility\reference_baseline_explicit_30_25_20_local\cases\supplier_capacity_scale_low\simulation_output,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,0.8,1.0,1.0,1.0,3940263.9301,0.330486,0.188849,0.000473,0.05528,0.424911,770.17,4940578.7711,0.955737,4373320.2721,9459720.0224,17400.0,36323.6558,0.0,456564.2416,4638106.0249,794048.5399,0.0,0.0,0.0,0.0,0.0,3126308.7255,8932310.6444,1786462.1289,9455245.4642,0.0,69512.476,4474.5582,16629.83,159435.1201,0.0,522934.8197,0.0,4019539.79,low,supplier_capacity_scale,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8
,,,supplier_capacity_scale_high,etudecas\simulation\sensibility\reference_baseline_explicit_30_25_20_local\cases\supplier_capacity_scale_high\input_case.json,etudecas\simulation\sensibility\reference_baseline_explicit_30_25_20_local\cases\supplier_capacity_scale_high\simulation_output,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.2,1.0,1.0,1.0,4140796.7889,0.328978,0.187987,0.000486,0.059578,0.422971,520.17,5133821.2402,0.970105,4392410.3877,9982793.7647,17400.0,34389.299,0.0,665481.0993,4849007.726,794048.5399,0.0,0.0,0.0,0.0,0.0,3284116.4132,9383189.7521,1876637.9504,9977943.4676,0.0,72176.2539,4850.2971,16879.83,178531.2862,0.0,594753.7155,0.0,4222435.3884,high,supplier_capacity_scale,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2
