day,M-1430 | item:038005,M-1430 | item:042342,M-1430 | item:333362,M-1430 | item:344135,M-1430 | item:708073,M-1430 | item:730384,M-1430 | item:734545,M-1430 | item:773474,M-1810 | item:001757,M-1810 | item:001848,M-1810 | item:001893,M-1810 | item:002612,M-1810 | item:016332,M-1810 | item:029313,M-1810 | item:039668,M-1810 | item:049371,M-1810 | item:055703,M-1810 | item:099439,M-1810 | item:338928,M-1810 | item:338929,M-1810 | item:426331,M-1810 | item:693055,M-1810 | item:693710
0,7.962125,27455.61,455.0,455.0,3.60815,96.46,3.64,4392.89669,0.732424,0.549318,3.479014,0.91553,0.219727,0.018311,0.018311,0.677492,0.036621,0.91553,451.0,451.0,4.961,183.106,622.048
1,7.584143,26152.2228,433.4,433.4,3.436862,91.8808,3.4672,4184.354781,0.696046,0.522035,3.30622,0.870058,0.208814,0.017401,0.017401,0.643843,0.034802,0.870058,428.6,428.6,4.7146,174.0116,627.2448
2,7.172562,24732.97896,409.88,409.88,3.250348,86.89456,3.27904,3957.275814,0.662787,0.49709,3.148238,0.828484,0.198836,0.01657,0.01657,0.613078,0.033139,0.828484,408.12,408.12,4.48932,165.69672,560.72576
3,6.735083,23224.42896,384.88,384.88,3.052098,85.83456,3.07904,3715.907864,0.627553,0.470664,2.980875,0.784441,0.188266,0.015689,0.015689,0.580486,0.033197,0.784441,386.424,386.424,4.250664,156.888144,563.012352
4,6.297603,21715.87896,359.88,359.88,2.853848,80.53456,2.87904,3474.539914,0.589325,0.441994,2.799293,0.736656,0.176797,0.014733,0.014733,0.545126,0.031285,0.736656,386.8848,362.8848,3.991733,147.331229,553.07607
5,5.860124,20207.32896,334.88,358.4,2.655598,75.23456,2.67904,3233.171964,0.548725,0.411544,2.791579,0.685906,0.164617,0.013718,0.013718,0.54122,0.029255,0.685906,361.8848,361.8848,3.716733,137.181229,618.8
6,5.422645,18698.77896,309.88,333.4,2.615948,69.93456,2.47904,3171.804014,0.541384,0.406038,2.598729,0.635156,0.152437,0.013613,0.012703,0.503665,0.027225,0.635156,336.8848,359.2848,3.667013,127.031229,537.6
7,5.363147,17370.22896,284.88,333.4,2.417698,64.63456,2.45184,2930.436064,0.500784,0.375588,2.405879,0.584406,0.140257,0.012598,0.011688,0.46611,0.025195,0.674701,311.8848,334.2848,3.630669,116.881229,618.8
8,5.372037,15892.332619,260.387999,308.907999,2.394765,59.442256,2.255904,2693.972698,0.498412,0.430324,2.213029,0.533656,0.128077,0.011583,0.012663,0.45932,0.023165,0.623951,309.2848,309.2848,3.355669,116.475229,537.6
9,4.978334,14534.734151,237.889598,331.409598,2.216353,64.551795,2.075917,2476.756988,0.457812,0.399874,2.020179,0.482906,0.125875,0.010568,0.011648,0.421765,0.021135,0.620985,329.52,304.7648,3.080669,114.640109,537.6
10,4.619606,13297.742457,217.389918,310.909918,2.25204,70.492103,1.911919,2278.838358,0.453271,0.370043,1.831248,0.433187,0.124856,0.009573,0.011534,0.384973,0.019146,0.571266,325.507997,305.272797,3.057657,104.696356,539.249976
11,4.677354,11988.324918,195.689982,289.209982,2.07996,71.191716,1.73832,2069.331596,0.416734,0.34264,1.839277,0.438266,0.126075,0.011346,0.010621,0.388731,0.018982,0.576345,303.009597,331.313597,2.810174,104.656405,547.375171
12,4.615408,10567.87501,233.629995,265.669995,2.091537,66.201239,1.75,1855.154017,0.424043,0.344097,1.853936,0.533416,0.138126,0.010514,0.009788,0.390528,0.017318,0.58548,282.509917,310.813917,2.848678,96.333535,633.417039
13,4.177928,9059.32501,258.629995,255.549995,1.893287,60.901239,1.91,1613.786067,0.388802,0.317667,1.686543,0.533408,0.127554,0.009633,0.010754,0.395485,0.017586,0.541429,260.809981,289.113981,2.609979,96.331937,562.935647
14,3.740449,9270.12366,258.629995,255.549995,1.695037,60.901239,1.91,1372.418117,0.46815,0.288995,2.058018,0.485622,0.140198,0.008677,0.011828,0.360124,0.015674,0.583158,255.154794,287.269994,2.901039,96.924702,486.477768
15,3.302969,10778.67366,253.629995,230.549995,1.496787,55.601239,1.889987,1131.050167,0.42755,0.258545,1.865168,0.572908,0.138979,0.007662,0.010813,0.360124,0.015633,0.624772,230.154794,262.269994,2.901039,86.774702,618.8
16,2.86549,13314.06366,228.629995,205.549995,1.492759,50.301239,1.889987,889.682217,0.426725,0.228095,1.865168,0.522158,0.126799,0.006647,0.010754,0.322569,0.013603,0.574022,230.154794,237.269994,2.626039,86.181617,537.6
17,4.453009,11805.51366,203.629995,215.669995,1.691009,49.347171,2.285923,648.314267,0.465701,0.285948,1.672318,0.522158,0.126312,0.00748,0.011663,0.285014,0.013485,0.523272,205.154794,212.269994,2.598521,76.031617,618.8
18,4.461898,10327.617241,212.777993,191.177993,1.496787,44.154867,2.278307,609.769519,0.425101,0.31176,1.637451,0.471408,0.126312,0.006465,0.010648,0.321066,0.013485,0.472522,230.154794,205.154794,2.857452,65.881617,618.8
19,4.068195,8970.018758,190.279592,168.679592,1.679188,39.385206,2.09832,1324.004943,0.458393,0.28131,1.444601,0.513429,0.114132,0.00545,0.009633,0.283511,0.015515,0.472522,205.154794,230.154794,2.857452,65.288852,537.6
20,4.146946,11165.400493,169.779912,169.779912,1.695037,35.039274,2.29832,1608.822213,0.418618,0.281928,1.255669,0.46371,0.112187,0.006465,0.008639,0.283511,0.017237,0.468475,180.662791,255.662791,2.58804,63.667969,539.249976
21,3.767215,13910.942186,148.079976,198.079976,1.709629,35.738887,2.12472,1399.31545,0.418618,0.284975,1.467817,0.418039,0.101225,0.005551,0.00874,0.285075,0.017237,0.422804,158.164391,288.779197,2.60997,74.627372,547.375171
22,4.186468,15507.592278,199.539989,199.539989,1.695037,36.04841,2.1364,1507.23854,0.420567,0.289838,1.853517,0.427174,0.091238,0.009574,0.007908,0.25428,0.019514,0.482689,194.77991,268.279517,2.848669,96.754502,553.867015
23,4.186468,13999.042278,174.539989,174.539989,2.075773,40.818071,2.12456,1265.87059,0.385326,0.263408,1.878973,0.484624,0.080666,0.010589,0.007027,0.259238,0.017751,0.438638,180.195174,278.694781,2.88497,117.054502,629.518608
24,4.177578,12490.492278,149.539989,199.539989,1.877523,35.518071,1.92456,1853.996177,0.347098,0.263408,1.886317,0.436837,0.103418,0.010628,0.008081,0.223876,0.01584,0.484622,156.655187,255.154794,2.62603,116.631617,623.542122
25,4.177578,12402.392186,174.539989,237.269994,1.679273,39.808934,1.72456,1612.628227,0.306498,0.315779,1.860861,0.530294,0.115598,0.010526,0.007979,0.261431,0.017505,0.433872,156.655187,230.154794,2.62603,106.481617,542.342122
26,4.53176,10893.842186,199.539989,212.269994,1.679273,34.508934,1.72456,2464.541268,0.306498,0.285329,1.856942,0.479544,0.103418,0.010526,0.008893,0.223876,0.017505,0.383122,131.655187,212.269994,2.873512,96.331617,537.6
27,4.916574,11300.245954,174.539989,187.269994,1.481023,39.701239,1.52456,2450.445256,0.427473,0.285329,1.664092,0.47658,0.113405,0.009511,0.008833,0.252716,0.015475,0.332372,106.655187,212.269994,2.598512,124.144464,537.6
28,5.800423,12839.449536,184.659988,162.777991,1.286801,39.808934,1.72456,2213.981878,0.427473,0.254879,1.652829,0.524366,0.101225,0.010526,0.008833,0.215161,0.013445,0.429877,131.655187,187.269994,2.873512,113.994464,456.4
29,5.406719,14498.951052,190.279591,210.779271,1.295061,35.039273,1.708571,2238.134116,0.386873,0.283551,1.807085,0.524366,0.112187,0.010526,0.009789,0.177606,0.013445,0.429877,106.655187,168.392797,3.126864,103.844464,537.6
