day,M-1430 | item:038005,M-1430 | item:042342,M-1430 | item:333362,M-1430 | item:344135,M-1430 | item:708073,M-1430 | item:730384,M-1430 | item:734545,M-1430 | item:773474,M-1810 | item:001757,M-1810 | item:001848,M-1810 | item:001893,M-1810 | item:002612,M-1810 | item:016332,M-1810 | item:029313,M-1810 | item:039668,M-1810 | item:049371,M-1810 | item:055703,M-1810 | item:099439,M-1810 | item:338928,M-1810 | item:338929,M-1810 | item:426331,M-1810 | item:693055,M-1810 | item:693710
0,3.499835,12068.4,200.0,200.0,1.586,42.4,1.6,1930.9436,0.38976,0.29232,1.85136,0.4872,0.116928,0.009744,0.009744,0.360528,0.019488,0.4872,240.0,240.0,2.64,97.44,700.0
1,3.062356,10559.85,175.0,175.0,1.38775,37.1,1.4,1689.57565,0.34104,0.25578,1.61994,0.4263,0.102312,0.008526,0.008526,0.315462,0.017052,0.4263,210.0,210.0,2.31,85.26,700.0
2,2.624876,9051.3,150.0,150.0,1.1895,31.8,1.2,1448.2077,0.29232,0.21924,1.38852,0.3654,0.087696,0.007308,0.007308,0.270396,0.014616,0.3654,180.0,180.0,1.98,73.08,700.0
3,2.187397,7542.75,125.0,125.0,0.99125,26.5,1.0,1206.83975,0.2436,0.1827,1.1571,0.3045,0.07308,0.00609,0.00609,0.22533,0.01218,0.3045,150.0,150.0,1.65,60.9,700.0
4,1.749918,6034.2,100.0,100.0,0.793,21.2,0.8,965.4718,0.19488,0.14616,0.92568,0.2436,0.058464,0.004872,0.004872,0.180264,0.009744,0.2436,120.0,120.0,1.32,48.72,700.0
5,1.312438,4525.65,75.0,75.0,0.59475,15.9,0.6,724.10385,0.14616,0.10962,0.69426,0.1827,0.043848,0.003654,0.003654,0.135198,0.007308,0.1827,90.0,90.0,0.99,36.54,700.0
6,0.874959,3017.1,50.0,50.0,0.3965,10.6,0.4,482.7359,0.09744,0.07308,0.46284,0.1218,0.029232,0.002436,0.002436,0.090132,0.004872,0.1218,60.0,60.0,0.66,24.36,700.0
7,0.437479,1508.55,25.0,25.0,0.19825,5.3,0.2,241.36795,0.04872,0.03654,0.23142,0.0609,0.014616,0.001218,0.001218,0.045066,0.002436,0.0609,30.0,30.0,0.33,12.18,700.0
8,0.437479,1508.55,25.0,25.0,0.19825,5.3,0.2,241.36795,0.04872,0.03654,0.23142,0.0609,0.014616,0.001218,0.001218,0.045066,0.002436,0.0609,30.0,30.0,0.33,12.18,700.0
9,0.437479,1508.55,25.0,25.0,0.19825,5.3,0.2,241.36795,0.04872,0.03654,0.23142,0.0609,0.014616,0.001218,0.001218,0.045066,0.002436,0.0609,30.0,30.0,0.33,12.18,700.0
10,0.437479,1508.55,25.0,25.0,0.19825,5.3,0.2,241.36795,0.04872,0.03654,0.23142,0.0609,0.014616,0.001218,0.001218,0.045066,0.002436,0.0609,30.0,30.0,0.33,12.18,700.0
11,0.437479,1508.55,25.0,25.0,0.19825,5.3,0.2,241.36795,0.04872,0.03654,0.23142,0.0609,0.014616,0.001218,0.001218,0.045066,0.002436,0.0609,30.0,30.0,0.33,12.18,700.0
12,0.437479,1508.55,25.0,25.0,0.19825,5.3,0.2,241.36795,0.04872,0.03654,0.23142,0.0609,0.014616,0.001218,0.001218,0.045066,0.002436,0.0609,30.0,30.0,0.33,12.18,700.0
13,0.437479,1508.55,25.0,25.0,0.19825,5.3,0.2,241.36795,0.04872,0.03654,0.23142,0.0609,0.014616,0.001218,0.001218,0.045066,0.002436,0.0609,30.0,30.0,0.33,12.18,700.0
