day,demand,served,backlog_end,arrivals_qty,produced_qty,shipped_qty,inventory_total,holding_cost_day,transport_cost_day,purchase_cost_day,external_procured_qty
0,50.0,0.0,50.0,0.0,55.0,2031.5067,21389.4382,637.8844,4.872,27.1495,1389.9179
1,50.0,0.0,100.0,97.44,55.0,2031.5067,19283.7828,568.1704,4.872,27.1495,1749.9179
2,50.0,0.0,150.0,97.44,55.0,2031.5067,17178.1273,498.4564,4.872,27.1495,1749.918
3,50.0,0.0,200.0,97.44,55.0,2031.5067,15072.4718,428.7423,4.872,27.1495,1749.918
4,50.0,0.0,250.0,97.44,55.0,2031.5067,12966.8163,359.0283,4.872,27.1495,1749.918
5,50.0,0.0,300.0,152.44,55.0,2081.5067,10866.1608,289.5143,4.872,27.1495,1749.918
6,50.0,0.0,350.0,152.44,55.0,2086.5067,8820.5054,222.2002,4.872,27.1495,1809.9179
7,50.0,0.0,400.0,152.44,55.0,2086.5067,6814.8499,156.4862,4.872,27.1495,1849.9179
8,50.0,55.0,395.0,2086.5067,55.0,2086.5067,6698.2611,156.2031,4.872,27.1495,1859.9179
9,50.0,55.0,390.0,2086.5067,55.0,2086.5067,6581.6724,155.9199,4.872,27.1495,1859.9179
10,50.0,55.0,385.0,2081.5067,55.0,2081.5067,6465.0836,155.6368,4.872,27.1495,1859.9179
11,50.0,55.0,380.0,2086.5067,55.0,2081.5067,6353.4948,155.5537,4.872,27.1495,1859.9179
12,50.0,55.0,375.0,2086.5067,55.0,2086.5067,6236.9061,155.2705,4.872,27.1495,1859.9179
13,50.0,50.0,375.0,2081.5067,55.0,2086.5067,6120.3173,154.9874,4.872,27.1495,1859.9179
14,50.0,55.0,370.0,2086.5067,55.0,2086.5067,6006.4285,154.7044,4.872,27.1495,1862.6179
15,50.0,55.0,365.0,2086.5067,55.0,2086.5067,5902.0198,154.4217,4.872,27.1495,1872.0979
16,50.0,55.0,360.0,2081.5067,55.0,2081.5067,5797.611,154.1391,4.872,27.1495,1872.098
17,50.0,55.0,355.0,2086.5067,55.0,2081.5067,5698.2023,154.0564,4.872,27.1495,1872.0979
18,50.0,55.0,350.0,2086.5067,55.0,2086.5067,5593.7935,153.7738,4.872,27.1495,1872.0979
19,50.0,50.0,350.0,2081.5067,55.0,2086.5067,5489.3847,153.4911,4.872,27.1495,1872.0979
20,50.0,55.0,345.0,2086.5067,55.0,2086.5067,5384.976,153.2085,4.872,27.1495,1872.0979
21,50.0,55.0,340.0,2086.5067,55.0,2086.5067,5280.5672,152.9258,4.872,27.1495,1872.0979
22,50.0,55.0,335.0,2081.5067,55.0,2081.5067,5176.1584,152.6432,4.872,27.1495,1872.0979
23,50.0,55.0,330.0,2086.5067,55.0,2081.5067,5076.7497,152.5605,4.872,27.1495,1872.0979
24,50.0,55.0,325.0,2086.5067,55.0,2086.5067,4972.3409,152.2779,4.872,27.1495,1872.0979
25,50.0,50.0,325.0,2081.5067,55.0,2086.5067,4867.9322,151.9953,4.872,27.1495,1872.098
26,50.0,55.0,320.0,2086.5067,55.0,2086.5067,4763.5234,151.7126,4.872,27.1495,1872.0979
27,50.0,55.0,315.0,2086.5067,55.0,2086.5067,4659.1146,151.43,4.872,27.1495,1872.0979
28,50.0,55.0,310.0,2081.5067,55.0,2081.5067,4554.7059,151.1473,4.872,27.1495,1872.0979
29,50.0,55.0,305.0,2086.5067,55.0,2081.5067,4455.2971,151.0647,4.872,27.1495,1872.0979
