day,node_id,item_id,consumed_qty,uom
5,M-1810,item:426331,0.280258,UN
5,M-1810,item:693055,10.344068,G
5,SDC-1450,item:021081,0.0,KG
6,M-1430,item:038005,0.404154,KG
6,M-1430,item:042342,1393.634695,UN
6,M-1430,item:333362,23.0956,UN
6,M-1430,item:344135,23.0956,UN
6,M-1430,item:708073,0.183148,KG
6,M-1430,item:730384,4.896267,M
6,M-1430,item:734545,0.184765,UN
6,M-1430,item:773474,222.981505,G
6,M-1810,item:001757,0.037507,KG
6,M-1810,item:001848,0.02813,KG
6,M-1810,item:001893,0.178159,KG
6,M-1810,item:002612,0.046884,KG
6,M-1810,item:007923,75.014509,G
6,M-1810,item:016332,0.011252,KG
6,M-1810,item:029313,0.000938,KG
6,M-1810,item:039668,0.000938,KG
6,M-1810,item:049371,0.034694,KG
6,M-1810,item:055703,0.001875,KG
6,M-1810,item:099439,0.046884,KG
6,M-1810,item:338928,23.0956,UN
6,M-1810,item:338929,23.0956,UN
6,M-1810,item:426331,0.254052,UN
6,M-1810,item:693055,9.376814,G
6,SDC-1450,item:021081,0.0,KG
7,M-1430,item:038005,0.360818,KG
7,M-1430,item:042342,1244.198939,UN
7,M-1430,item:333362,20.61912,UN
7,M-1430,item:344135,20.61912,UN
7,M-1430,item:708073,0.16351,KG
7,M-1430,item:730384,4.371253,M
7,M-1430,item:734545,0.164953,UN
7,M-1430,item:773474,199.071789,G
7,M-1810,item:001757,0.033485,KG
7,M-1810,item:001848,0.025114,KG
7,M-1810,item:001893,0.159056,KG
7,M-1810,item:002612,0.041857,KG
7,M-1810,item:007923,66.970902,G
7,M-1810,item:016332,0.010046,KG
7,M-1810,item:029313,0.000837,KG
7,M-1810,item:039668,0.000837,KG
7,M-1810,item:049371,0.030974,KG
7,M-1810,item:055703,0.001674,KG
7,M-1810,item:099439,0.041857,KG
7,M-1810,item:338928,20.61912,UN
7,M-1810,item:338929,20.61912,UN
7,M-1810,item:426331,0.22681,UN
7,M-1810,item:693055,8.371363,G
7,SDC-1450,item:021081,0.0,KG
8,M-1430,item:038005,0.388784,KG
8,M-1430,item:042342,1340.63511,UN
8,M-1430,item:333362,22.21728,UN
8,M-1430,item:344135,22.21728,UN
8,M-1430,item:708073,0.176183,KG
8,M-1430,item:730384,4.710063,M
8,M-1430,item:734545,0.177738,UN
8,M-1430,item:773474,214.501573,G
8,M-1810,item:001757,0.036081,KG
8,M-1810,item:001848,0.027061,KG
8,M-1810,item:001893,0.171384,KG
8,M-1810,item:002612,0.045101,KG
8,M-1810,item:007923,72.161725,G
8,M-1810,item:016332,0.010824,KG
8,M-1810,item:029313,0.000902,KG
8,M-1810,item:039668,0.000902,KG
8,M-1810,item:049371,0.033375,KG
8,M-1810,item:055703,0.001804,KG
8,M-1810,item:099439,0.045101,KG
8,M-1810,item:338928,22.21728,UN
8,M-1810,item:338929,22.21728,UN
8,M-1810,item:426331,0.24439,UN
8,M-1810,item:693055,9.020216,G
8,SDC-1450,item:021081,0.0,KG
9,M-1430,item:038005,0.351619,KG
9,M-1430,item:042342,1212.479322,UN
9,M-1430,item:333362,20.093456,UN
9,M-1430,item:344135,20.093456,UN
9,M-1430,item:708073,0.159341,KG
9,M-1430,item:730384,4.259813,M
9,M-1430,item:734545,0.160748,UN
9,M-1430,item:773474,193.996651,G
9,M-1810,item:001757,0.032632,KG
9,M-1810,item:001848,0.024474,KG
9,M-1810,item:001893,0.155001,KG
9,M-1810,item:002612,0.04079,KG
9,M-1810,item:007923,65.263545,G
9,M-1810,item:016332,0.00979,KG
9,M-1810,item:029313,0.000816,KG
9,M-1810,item:039668,0.000816,KG
9,M-1810,item:049371,0.030184,KG
9,M-1810,item:055703,0.001632,KG
9,M-1810,item:099439,0.04079,KG
9,M-1810,item:338928,20.093456,UN
9,M-1810,item:338929,20.093456,UN
9,M-1810,item:426331,0.221028,UN
9,M-1810,item:693055,8.157943,G
9,SDC-1450,item:021081,0.0,KG
10,M-1430,item:038005,0.490304,KG
10,M-1430,item:042342,1690.703864,UN
10,M-1430,item:333362,28.018691,UN
10,M-1430,item:344135,28.018691,UN
10,M-1430,item:708073,0.222188,KG
10,M-1430,item:730384,5.939963,M
10,M-1430,item:734545,0.22415,UN
10,M-1430,item:773474,270.512562,G
10,M-1810,item:001757,0.045502,KG
10,M-1810,item:001848,0.034127,KG
10,M-1810,item:001893,0.216136,KG
10,M-1810,item:002612,0.056878,KG
10,M-1810,item:007923,91.004709,G
10,M-1810,item:016332,0.013651,KG
10,M-1810,item:029313,0.001138,KG
10,M-1810,item:039668,0.001138,KG
10,M-1810,item:049371,0.04209,KG
10,M-1810,item:055703,0.002275,KG
10,M-1810,item:099439,0.056878,KG
10,M-1810,item:338928,28.018691,UN
10,M-1810,item:338929,28.018691,UN
10,M-1810,item:426331,0.308206,UN
10,M-1810,item:693055,11.375589,G
10,SDC-1450,item:021081,0.0,KG
11,M-1430,item:038005,0.483043,KG
11,M-1430,item:042342,1665.664773,UN
11,M-1430,item:333362,27.603738,UN
11,M-1430,item:344135,27.603738,UN
11,M-1430,item:708073,0.218898,KG
11,M-1430,item:730384,5.851993,M
11,M-1430,item:734545,0.22083,UN
11,M-1430,item:773474,266.506308,G
11,M-1810,item:001757,0.044828,KG
11,M-1810,item:001848,0.033621,KG
11,M-1810,item:001893,0.212935,KG
11,M-1810,item:002612,0.056036,KG
11,M-1810,item:007923,89.656942,G
11,M-1810,item:016332,0.013449,KG
11,M-1810,item:029313,0.001121,KG
11,M-1810,item:039668,0.001121,KG
11,M-1810,item:049371,0.041466,KG
11,M-1810,item:055703,0.002241,KG
11,M-1810,item:099439,0.056036,KG
11,M-1810,item:338928,27.603738,UN
11,M-1810,item:338929,27.603738,UN
11,M-1810,item:426331,0.303641,UN
11,M-1810,item:693055,11.207118,G
11,SDC-1450,item:021081,0.0,KG
12,M-1430,item:038005,0.446592,KG
12,M-1430,item:042342,1539.972955,UN
12,M-1430,item:333362,25.520748,UN
12,M-1430,item:344135,25.520748,UN
12,M-1430,item:708073,0.20238,KG
12,M-1430,item:730384,5.410399,M
12,M-1430,item:734545,0.204166,UN
12,M-1430,item:773474,246.395622,G
12,M-1810,item:001757,0.041446,KG
12,M-1810,item:001848,0.031084,KG
12,M-1810,item:001893,0.196867,KG
12,M-1810,item:002612,0.051807,KG
12,M-1810,item:007923,82.891388,G
12,M-1810,item:016332,0.012434,KG
12,M-1810,item:029313,0.001036,KG
12,M-1810,item:039668,0.001036,KG
12,M-1810,item:049371,0.038337,KG
12,M-1810,item:055703,0.002072,KG
12,M-1810,item:099439,0.051807,KG
12,M-1810,item:338928,25.520748,UN
12,M-1810,item:338929,25.520748,UN
12,M-1810,item:426331,0.280728,UN
12,M-1810,item:693055,10.361424,G
12,SDC-1450,item:021081,0.0,KG
13,M-1430,item:038005,0.404304,KG
13,M-1430,item:042342,1394.150591,UN
13,M-1430,item:333362,23.10415,UN
13,M-1430,item:344135,23.10415,UN
13,M-1430,item:708073,0.183216,KG
13,M-1430,item:730384,4.89808,M
13,M-1430,item:734545,0.184833,UN
13,M-1430,item:773474,223.064048,G
13,M-1810,item:001757,0.037521,KG
13,M-1810,item:001848,0.028141,KG
13,M-1810,item:001893,0.178225,KG
13,M-1810,item:002612,0.046901,KG
13,M-1810,item:007923,75.042278,G
13,M-1810,item:016332,0.011256,KG
13,M-1810,item:029313,0.000938,KG
13,M-1810,item:039668,0.000938,KG
13,M-1810,item:049371,0.034707,KG
13,M-1810,item:055703,0.001876,KG
