capacity_node_scale_json,case_input,case_output_dir,category,demand_item_scale_json,description,error,factors_json,kpi::avg_inventory,kpi::cost_share_holding,kpi::cost_share_inventory_risk,kpi::cost_share_purchase,kpi::cost_share_transport,kpi::cost_share_warehouse_operating,kpi::ending_backlog,kpi::ending_inventory,kpi::fill_rate,kpi::measured_required_total,kpi::measurement_starting_backlog,kpi::total_arrived,kpi::total_cost,kpi::total_demand,kpi::total_estimated_source_ordered_qty,kpi::total_estimated_source_rejected_qty,kpi::total_estimated_source_replenished_qty,kpi::total_explicit_initialization_pipeline_qty,kpi::total_explicit_initialization_stock_qty,kpi::total_external_procured_arrived_qty,kpi::total_external_procured_ordered_qty,kpi::total_external_procured_qty,kpi::total_external_procured_rejected_qty,kpi::total_external_procurement_cost,kpi::total_holding_cost,kpi::total_inventory_cost_legacy_raw_holding,kpi::total_inventory_risk_cost,kpi::total_logistics_cost,kpi::total_opening_stock_bootstrap_qty,kpi::total_produced,kpi::total_purchase_cost,kpi::total_served,kpi::total_shipped,kpi::total_supplier_capacity_binding_qty,kpi::total_transport_cost,kpi::total_unreliable_loss_qty,kpi::total_warehouse_operating_cost,kpi::warmup_backlog_cleared_qty,mutators_json,policy::review_period_days,policy::safety_stock_days,scenario_id,status
{},etudecas\simulation\sensibility\targeted_plan_result_reference_baseline_real_demand_target_calibrated_2026_03_30_v2\cases\baseline\input_case.json,etudecas\simulation\sensibility\targeted_plan_result_reference_baseline_real_demand_target_calibrated_2026_03_30_v2\cases\baseline\simulation_output,reference,{},Reference run with current parameters.,,{},19766465.3509,0.149954,0.085688,0.171575,0.399984,0.192798,593478.1966,18941957.7433,0.888075,5302452.7143,0.0,125812449.8774,27920896.5609,5302452.7143,104693283.3055,28206355.8413,103072199.171,0.0,35076.3627,0.0,0.0,0.0,0.0,0.0,4186854.545,11962441.5571,2392488.3114,23130363.0215,0.0,17869743.232,4790533.5394,4708974.5176,127074616.6123,1580070.6283,11167921.4643,0.0,5383098.7007,2131254.1763,[],1.0,7.0,baseline,ok
{},etudecas\simulation\sensibility\targeted_plan_result_reference_baseline_real_demand_target_calibrated_2026_03_30_v2\cases\safety_stock_low\input_case.json,etudecas\simulation\sensibility\targeted_plan_result_reference_baseline_real_demand_target_calibrated_2026_03_30_v2\cases\safety_stock_low\simulation_output,inventory_policy,{},Lower safety stock policy (x0.5).,,"{""safety_stock_days_scale"": 0.5}",19653032.6723,0.148892,0.085081,0.172767,0.401826,0.191433,616545.7954,17964132.9337,0.883724,5302452.7143,0.0,121979374.9908,27627808.0051,5302452.7143,103733424.431,41318000.0,99097358.9984,0.0,35076.3627,0.0,0.0,0.0,0.0,0.0,4113569.0642,11753054.4693,2350610.8939,22854627.6445,0.0,17643146.9156,4773180.3606,4685906.9189,126306583.4679,0.0,11101573.1752,0.0,5288874.5112,1823581.117,[],1.0,3.5,safety_stock_low,ok
{},etudecas\simulation\sensibility\targeted_plan_result_reference_baseline_real_demand_target_calibrated_2026_03_30_v2\cases\safety_stock_high\input_case.json,etudecas\simulation\sensibility\targeted_plan_result_reference_baseline_real_demand_target_calibrated_2026_03_30_v2\cases\safety_stock_high\simulation_output,inventory_policy,{},Higher safety stock policy (x2.0).,,"{""safety_stock_days_scale"": 2.0}",19921330.6223,0.149453,0.085402,0.172226,0.400766,0.192154,588665.9108,18625492.076,0.888982,5302452.7143,0.0,125755252.7125,27931503.7327,5302452.7143,104810775.534,40720333.2956,103088173.769,0.0,35076.3627,0.0,0.0,0.0,0.0,0.0,4174441.4408,11926975.5452,2385395.109,23120973.9714,0.0,17888167.2175,4810529.7613,4713786.8034,127327804.5766,539076.9393,11193998.4262,0.0,5367138.9954,2082332.4946,[],1.0,14.0,safety_stock_high,ok
{},etudecas\simulation\sensibility\targeted_plan_result_reference_baseline_real_demand_target_calibrated_2026_03_30_v2\cases\review_period_2d\input_case.json,etudecas\simulation\sensibility\targeted_plan_result_reference_baseline_real_demand_target_calibrated_2026_03_30_v2\cases\review_period_2d\simulation_output,inventory_policy,{},Replenishment reviewed every 2 days.,,"{""review_period_scale"": 2.0}",20948089.9816,0.168829,0.096474,0.14292,0.37471,0.217066,2272178.7586,20262475.6541,0.571485,5302452.7143,0.0,106137592.9229,25859182.8737,5302452.7143,88314377.2363,0.0,86879584.0823,0.0,36080.4534,0.0,0.0,0.0,0.0,0.0,4365789.3822,12473683.9492,2494736.7898,22163377.4385,0.0,15100087.3324,3695805.4352,3030273.9557,106836577.0717,43713953.808,9689693.4893,0.0,5613157.7771,2455383.4307,[],2.0,7.0,review_period_2d,ok
{},etudecas\simulation\sensibility\targeted_plan_result_reference_baseline_real_demand_target_calibrated_2026_03_30_v2\cases\review_period_7d\input_case.json,etudecas\simulation\sensibility\targeted_plan_result_reference_baseline_real_demand_target_calibrated_2026_03_30_v2\cases\review_period_7d\simulation_output,inventory_policy,{},Replenishment reviewed weekly (7 days).,,"{""review_period_scale"": 7.0}",17144369.7688,0.238344,0.136197,0.094426,0.22459,0.306443,4161703.3164,16698185.9628,0.215136,5302452.7143,0.0,46032290.5646,18189413.5696,5302452.7143,37244329.1945,0.0,36790558.7262,0.0,41100.9067,0.0,0.0,0.0,0.0,0.0,4335346.2167,12386703.4762,2477340.6952,16471868.6773,0.0,6856481.9586,1717544.8923,1140749.3979,44448487.1807,386122491.3126,4085165.201,0.0,5574016.5643,3133332.9369,[],7.0,7.0,review_period_7d,ok
{},etudecas\simulation\sensibility\targeted_plan_result_reference_baseline_real_demand_target_calibrated_2026_03_30_v2\cases\supplier_reliability_95\input_case.json,etudecas\simulation\sensibility\targeted_plan_result_reference_baseline_real_demand_target_calibrated_2026_03_30_v2\cases\supplier_reliability_95\simulation_output,supplier_risk,{},Supplier reliability reduced to ~95%.,,"{""supplier_reliability_scale"": 0.95}",19468639.644,0.148688,0.084965,0.175067,0.400109,0.191171,1088539.9927,19004969.1176,0.79471,5302452.7143,0.0,126263995.1225,27703114.3764,5302452.7143,109936083.5844,41318000.0,108190782.639,0.0,35076.3627,0.0,0.0,0.0,0.0,0.0,4119133.8428,11768953.8367,2353790.7673,22853218.0849,0.0,18545536.7235,4849896.2915,4213912.7216,126242589.7253,0.0,11084264.2482,6644346.8276,5296029.2265,2428359.6615,[],1.0,7.0,supplier_reliability_95,ok
{},etudecas\simulation\sensibility\targeted_plan_result_reference_baseline_real_demand_target_calibrated_2026_03_30_v2\cases\supplier_reliability_85\input_case.json,etudecas\simulation\sensibility\targeted_plan_result_reference_baseline_real_demand_target_calibrated_2026_03_30_v2\cases\supplier_reliability_85\simulation_output,supplier_risk,{},Supplier reliability reduced to ~85%.,,"{""supplier_reliability_scale"": 0.85}",18650639.4515,0.147162,0.084093,0.18131,0.398225,0.189209,1883908.2504,17804911.748,0.64471,5302452.7143,0.0,124644238.2809,27439695.0755,5302452.7143,122591037.8525,41318000.0,120688713.865,0.0,35076.3627,0.0,0.0,0.0,0.0,0.0,4038092.2524,11537406.4354,2307481.2871,22464590.9123,0.0,20104747.4595,4975104.1632,3418544.4639,124721420.4516,0.0,10927184.4769,22009662.4326,5191832.8959,2763935.9029,[],1.0,7.0,supplier_reliability_85,ok
{},etudecas\simulation\sensibility\targeted_plan_result_reference_baseline_real_demand_target_calibrated_2026_03_30_v2\cases\lead_time_plus_20pct\input_case.json,etudecas\simulation\sensibility\targeted_plan_result_reference_baseline_real_demand_target_calibrated_2026_03_30_v2\cases\lead_time_plus_20pct\simulation_output,supplier_risk,{},Lead time increased by +20%.,,"{""lead_time_scale"": 1.2}",20345220.0705,0.153626,0.087787,0.168449,0.392618,0.19752,613136.4467,19399540.7149,0.884367,5302452.7143,0.0,125985171.7421,28479825.9274,5302452.7143,104599555.8934,41318000.0,102915982.1012,0.0,35076.3627,0.0,0.0,0.0,0.0,0.0,4375255.1918,12500729.1194,2500145.8239,23682434.5892,0.0,17848678.0969,4797391.3382,4689316.2676,127092589.363,0.0,11181705.4698,0.0,5625328.1037,2401167.0005,[],1.0,7.0,lead_time_plus_20pct,ok
{},etudecas\simulation\sensibility\targeted_plan_result_reference_baseline_real_demand_target_calibrated_2026_03_30_v2\cases\lead_time_plus_40pct\input_case.json,etudecas\simulation\sensibility\targeted_plan_result_reference_baseline_real_demand_target_calibrated_2026_03_30_v2\cases\lead_time_plus_40pct\simulation_output,supplier_risk,{},Lead time increased by +40%.,,"{""lead_time_scale"": 1.4}",19951676.6808,0.150896,0.086226,0.170122,0.398746,0.194009,638515.3629,18798226.8329,0.879581,5302452.7143,0.0,126395862.9554,27899097.549,5302452.7143,104288801.1005,334459.8888,102450602.2813,0.0,35076.3627,0.0,0.0,0.0,0.0,0.0,4209866.2762,12028189.3607,2405637.8721,23152839.4701,0.0,17857784.9444,4746258.0789,4663937.3513,126753748.9517,4949331.9403,11124650.1094,0.0,5412685.2123,2775302.0995,[],1.0,7.0,lead_time_plus_40pct,ok
"{""M-1430"": 0.85}",etudecas\simulation\sensibility\targeted_plan_result_reference_baseline_real_demand_target_calibrated_2026_03_30_v2\cases\capacity_m1430_minus_15pct\input_case.json,etudecas\simulation\sensibility\targeted_plan_result_reference_baseline_real_demand_target_calibrated_2026_03_30_v2\cases\capacity_m1430_minus_15pct\simulation_output,production_risk,{},Capacity degradation on M-1430 (-15%).,,{},17004765.1709,0.154831,0.088475,0.170468,0.387158,0.199069,693269.8415,16047396.2616,0.869255,5302452.7143,0.0,117737660.0884,26810237.6389,5302452.7143,97623558.0368,41318000.0,96145271.2647,0.0,34473.9083,0.0,0.0,0.0,0.0,0.0,4151059.0134,11860168.6096,2372033.7219,22239963.171,0.0,16666650.8698,4570274.4679,4609182.8727,118799470.4353,0.0,10379794.5614,0.0,5337075.8743,1975109.6664,[],1.0,7.0,capacity_m1430_minus_15pct,ok
