capacity_node::M-1430,capacity_node::M-1810,demand_item::item:268091,demand_item::item:268967,error,factor::capacity_scale,factor::demand_scale,factor::external_procurement_cost_multiplier_scale,factor::external_procurement_daily_cap_days_scale,factor::external_procurement_lead_days_scale,factor::external_procurement_transport_cost_scale,factor::fg_target_days_scale,factor::holding_cost_scale,factor::lead_time_scale,factor::production_gap_gain_scale,factor::production_smoothing_scale,factor::production_stock_scale,factor::purchase_cost_floor_scale,factor::review_period_scale,factor::safety_stock_days_scale,factor::supplier_reliability_scale,factor::supplier_stock_scale,factor::transport_cost_scale,is_baseline,is_corner_case,kpi::avg_inventory,kpi::cost_share_holding,kpi::cost_share_purchase,kpi::cost_share_transport,kpi::ending_backlog,kpi::ending_inventory,kpi::fill_rate,kpi::total_arrived,kpi::total_cost,kpi::total_demand,kpi::total_external_procured_arrived_qty,kpi::total_external_procured_ordered_qty,kpi::total_external_procured_qty,kpi::total_external_procured_rejected_qty,kpi::total_external_procurement_cost,kpi::total_holding_cost,kpi::total_logistics_cost,kpi::total_opening_stock_bootstrap_qty,kpi::total_produced,kpi::total_purchase_cost,kpi::total_served,kpi::total_shipped,kpi::total_transport_cost,kpi::total_unreliable_loss_qty,run_id,status
1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,False,22701.7116,0.75786,0.10459,0.137549,81.8736,14655.5045,0.945418,37280.0003,28723.7188,1500.0,49149.966,53342.633,53342.633,19998.7226,3999.8027,21768.5663,25719.4932,29870.366,1425.1456,3004.2256,1418.1264,55453.5434,3950.9269,0.0,full_run_0000,ok
1.0,1.0,1.0,1.0,,0.85,0.85,1.0,0.5,0.7,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,0.85,0.8,1.0,False,True,12005.9828,0.664831,0.143388,0.191781,312.35,8961.1991,0.75502,32954.5429,16479.1898,1275.0,41440.1685,46188.3392,46188.3392,134949.9696,3376.9927,10955.8749,14116.2724,20629.2215,1207.2683,2362.9174,962.65,39957.637,3160.3975,7051.3477,full_run_0001,ok
1.0,1.0,1.0,1.0,,1.2,0.85,1.0,0.5,0.7,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,0.85,0.8,1.0,False,True,22831.2129,0.768484,0.098894,0.132622,240.0901,17713.1986,0.811694,36165.295,29268.1688,1275.0,50902.5584,57632.3717,57632.3717,21958.966,4222.4578,22492.1062,26373.7202,29123.6068,1273.9463,2894.4486,1034.9099,48181.8476,3881.614,8502.679,full_run_0002,ok
1.0,1.0,1.0,1.0,,0.85,1.2,1.0,0.5,0.7,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,0.85,0.8,1.0,False,True,11131.9122,0.645576,0.151901,0.202523,805.7391,5967.5604,0.552367,31596.3129,15755.644,1800.0,41776.8745,46546.1357,46546.1357,160794.4982,3407.8472,10171.4673,13362.3507,20629.2215,1254.8125,2393.2932,994.2609,40407.514,3190.8834,7130.7378,full_run_0003,ok
1.0,1.0,1.0,1.0,,1.2,1.2,1.0,0.5,0.7,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,0.85,0.8,1.0,False,True,14653.3521,0.643087,0.153986,0.202927,615.3418,5161.0542,0.658143,41124.2563,22143.4018,1800.0,59377.1129,66384.7575,66384.7575,195341.3379,4896.8722,14240.1413,18733.6274,29123.6068,1706.8857,3409.7744,1184.6582,56079.3218,4493.4861,9896.3509,full_run_0004,ok
1.0,1.0,1.0,1.0,,0.85,0.85,1.0,1.5,0.7,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,0.85,0.8,1.0,False,True,15516.2702,0.695907,0.130717,0.173376,297.8587,11384.8005,0.766385,35447.3971,21246.5279,1275.0,51686.9572,52470.2395,52470.2395,18.4243,3930.0115,14785.6131,18469.2485,20629.2215,1211.3738,2777.2794,977.1413,48465.3422,3683.6354,8552.7074,full_run_0005,ok
1.0,1.0,1.0,1.0,,1.2,0.85,1.0,1.5,0.7,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,0.85,0.8,1.0,False,True,23298.5083,0.769524,0.099203,0.131273,215.3346,21933.0653,0.83111,39989.2322,29452.3074,1275.0,53898.6095,55481.1907,55481.1907,0.0,4150.3458,22664.271,26530.5544,29123.6068,1273.9463,2921.753,1059.6654,50370.9087,3866.2834,8888.9839,full_run_0006,ok
1.0,1.0,1.0,1.0,,0.85,1.2,1.0,1.5,0.7,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,0.85,0.8,1.0,False,True,15714.8634,0.688186,0.135129,0.176686,782.7094,12119.4197,0.565161,39136.7949,21880.69,1800.0,54033.5043,55058.2931,55058.2931,356.4555,4158.5756,15057.9782,18923.9819,20629.2215,1275.0,2956.7082,1017.2906,50884.1573,3866.0037,8979.5572,full_run_0007,ok
1.0,1.0,1.0,1.0,,1.2,1.2,1.0,1.5,0.7,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,0.85,0.8,1.0,False,True,19946.3925,0.680166,0.139775,0.180059,576.5814,16147.7524,0.679677,51964.949,29175.6555,1800.0,74201.5383,75354.4767,75354.4767,31.9112,5741.956,19844.2929,25097.6225,29123.6068,1710.1748,4078.033,1223.4186,68509.9435,5253.3296,12089.99,full_run_0008,ok
1.0,1.0,1.0,1.0,,0.85,0.85,1.0,0.5,1.8,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,0.85,0.8,1.0,False,True,10896.9643,0.651468,0.149974,0.198558,329.1076,9790.8366,0.741876,26514.5442,14961.7817,1275.0,35115.9374,46183.3417,46183.3417,200018.2394,3376.6928,9747.1205,12717.8995,20629.2215,1051.7523,2243.8822,945.8924,34145.5194,2970.779,6025.6799,full_run_0009,ok
1.0,1.0,1.0,1.0,,1.2,0.85,1.0,0.5,1.8,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,0.85,0.8,1.0,False,True,18780.5955,0.71656,0.121445,0.161995,253.4166,14667.7966,0.801242,33103.6821,25438.4515,1275.0,49135.6124,64798.0785,64798.0785,148755.456,4742.1434,18228.1813,22349.0861,29123.6068,1273.9463,3089.3654,1021.5834,46677.4917,4120.9048,8237.2044,full_run_0010,ok
1.0,1.0,1.0,1.0,,0.85,1.2,1.0,0.5,1.8,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,0.85,0.8,1.0,False,True,9930.5481,0.621344,0.16331,0.215346,845.727,4505.939,0.530152,24242.2299,13958.7767,1800.0,35452.6434,46520.0477,46520.0477,220880.8415,3406.2819,8673.2017,11679.1718,20629.2215,1139.0,2279.6049,954.273,34726.0551,3005.9701,6128.1274,full_run_0011,ok
1.0,1.0,1.0,1.0,,1.2,1.2,1.0,0.5,1.8,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,0.85,0.8,1.0,False,True,12421.9935,0.616436,0.166679,0.216886,613.6379,8549.1612,0.65909,33994.5949,19430.0999,1800.0,49944.804,66257.5536,66257.5536,292913.968,4889.24,11977.4049,16191.5195,29123.6068,1493.1993,3238.5804,1186.3621,47732.1764,4214.1147,8423.3252,full_run_0012,ok
1.0,1.0,1.0,1.0,,0.85,0.85,1.0,1.5,1.8,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,0.85,0.8,1.0,False,True,18004.7578,0.736136,0.116008,0.147856,299.605,12143.2889,0.765016,32477.8857,22996.5775,1275.0,47731.7888,48305.4359,48305.4359,27329.9798,3672.0756,16928.612,20328.8017,20629.2215,1158.7908,2667.7758,975.395,44839.2423,3400.1897,7912.8075,full_run_0013,ok
1.0,1.0,1.0,1.0,,1.2,0.85,1.0,1.5,1.8,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,0.85,0.8,1.0,False,True,29908.4382,0.805214,0.08565,0.109136,253.4166,25306.3927,0.801242,39825.4628,36940.3683,1275.0,58664.4051,58782.379,58782.379,18169.5861,4475.3542,29744.9125,33776.4216,29123.6068,1273.9463,3163.9467,1021.5834,51447.6724,4031.509,9079.001,full_run_0014,ok
1.0,1.0,1.0,1.0,,0.85,1.2,1.0,1.5,1.8,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,0.85,0.8,1.0,False,True,16965.0333,0.715369,0.12386,0.16077,784.9286,10517.7989,0.563929,34235.8342,22327.1462,1800.0,49143.0298,51772.4095,51772.4095,29291.1592,3864.0026,15972.154,19561.6984,20629.2215,1229.4284,2765.4478,1015.0714,46395.7858,3589.5444,8187.4916,full_run_0015,ok
1.0,1.0,1.0,1.0,,1.2,1.2,1.0,1.5,1.8,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,0.85,0.8,1.0,False,True,21332.3981,0.698342,0.131075,0.170583,497.3196,14471.7717,0.723711,49148.9602,30088.1579,1800.0,67524.4609,77333.7473,77333.7473,39639.6218,5718.8521,21011.8296,26144.3532,29123.6068,1677.6417,3943.8047,1302.6804,62664.1377,5132.5236,11058.3772,full_run_0016,ok
1.0,1.0,1.0,1.0,,0.85,0.85,1.0,0.5,0.7,1.0,1.0,1.0,1.4,1.0,1.0,1.0,1.0,1.0,1.0,0.85,0.8,1.0,False,True,24179.9288,0.811484,0.080714,0.107803,501.7042,17652.0751,0.606507,27338.9119,29267.7505,1275.0,41440.1685,46189.3631,46189.3631,136371.8446,3377.0541,23750.3035,26905.4418,34910.9903,1211.3738,2362.3088,773.2958,39848.948,3155.1383,7032.1673,full_run_0017,ok
1.0,1.0,1.0,1.0,,1.2,0.85,1.0,0.5,0.7,1.0,1.0,1.0,1.4,1.0,1.0,1.0,1.0,1.0,1.0,0.85,0.8,1.0,False,True,38068.2244,0.849838,0.064154,0.086008,454.4099,30915.4108,0.6436,28950.9284,45111.9275,1275.0,50902.5584,57632.3717,57632.3717,21958.966,4222.4578,38337.8393,42217.817,49286.1039,1273.9463,2894.1106,820.5901,48148.0499,3879.9777,8496.7147,full_run_0018,ok
1.0,1.0,1.0,1.0,,0.85,1.2,1.0,0.5,0.7,1.0,1.0,1.0,1.4,1.0,1.0,1.0,1.0,1.0,1.0,0.85,0.8,1.0,False,True,22718.3388,0.800891,0.085433,0.113676,966.9469,14590.7294,0.462807,26961.4733,28031.3429,1800.0,41776.8745,46556.4827,46556.4827,169832.957,3408.468,22450.0611,25636.5386,34910.9903,1275.0,2394.8043,833.0531,40312.4907,3186.4775,7113.969,full_run_0019,ok
1.0,1.0,1.0,1.0,,1.2,1.2,1.0,0.5,0.7,1.0,1.0,1.0,1.4,1.0,1.0,1.0,1.0,1.0,1.0,0.85,0.8,1.0,False,True,30635.4033,0.795861,0.088141,0.115998,778.7039,21174.0998,0.567387,36643.0905,38671.7932,1800.0,59377.1129,66384.7575,66384.7575,195359.9343,4896.8722,30777.3662,35263.2091,49286.1039,1710.1748,3408.584,1021.2961,55923.1334,4485.843,9868.7883,full_run_0020,ok
