active_days,avg_capacity_utilization,avg_stock_end_of_day,capacity_metric_mode,dest_nodes_count,destinations_preview,first_shipment_day,initial_stock_total,items_supplied_count,last_shipment_day,local_criticality_score,max_capacity_utilization,min_stock_end_of_day,observed_sourcing_share,overall_criticality_score,rank,shared_source_pairs,shortage_supported_events,shortage_supported_qty,sole_source_pairs,standard_backlog_impact,standard_best_driver,standard_fill_impact,structural_backlog_impact,structural_best_driver,structural_fill_impact,supplier_id,supplier_name,system_criticality_score,target_sourcing_share,top_items_preview,total_shipped_qty
37,0.057671,12905.604,sourcing_share,1,M-1430,121,180.0,1,357,0.630382,0.76,0.0,1.0,0.79671,1,0,49,1142.2155,1,916.051,lead time sortant local,0.052647,2173.7211,lead time sortant local,0.124927,SDC-VD0914690A,Supplier of Raw Materials - VD0914690A,1.0,1.0,042342,39693.75
357,0.133303,827261.301,explicit_capacity,2,"M-1430, M-1810",8,3540.0,3,364,0.795616,0.374986,0.0,1.0,0.43863,2,0,0,0.0,3,2.983,stock fournisseur local,0.000171,2.983,stock fournisseur local,0.000171,SDC-1450,Supplier of Raw Materials - D1450,0.002312,1.0,"007923, 693055, 773474",84251.0132
244,0.003633,773.8134,sourcing_share,2,"M-1430, M-1810",121,360.0,2,364,0.439606,0.01172,204.4286,1.0,0.241784,3,0,0,0.0,2,0.0,stock fournisseur local,0.0,0.0,stock fournisseur local,0.0,SDC-VD0520132A,Supplier of Raw Materials - VD0520132A,0.0,1.0,"038005, 049371",90.1072
138,0.125885,609.8553,sourcing_share,1,M-1810,121,180.0,1,362,0.405867,0.36575,0.0,1.0,0.224267,4,0,0,0.0,1,2.983,stock fournisseur local,0.000171,2.983,stock fournisseur local,0.000171,SDC-VD0914360C,Supplier of Packaging - VD0914360C,0.002312,1.0,338929,2983.6364
197,0.110604,378.4399,sourcing_share,1,M-1430,121,180.0,1,333,0.404054,0.206111,69.23,1.0,0.222538,5,0,0,0.0,1,0.0,stock fournisseur local,0.0,2.983,fiabilite locale,0.000171,SDC-VD0508918A,Supplier of Packaging - VD0508918A,0.000686,1.0,730384,986.1916
118,0.163437,422.7733,sourcing_share,1,M-1430,121,180.0,1,364,0.391959,0.5225,0.0,1.0,0.216618,6,0,0,0.0,1,2.983,stock fournisseur local,0.000171,2.983,stock fournisseur local,0.000171,SDC-VD0525412A,Supplier of Packaging - VD0525412A,0.002312,1.0,333362,2711.5625
117,0.215342,298.5283,sourcing_share,1,M-1810,121,180.0,1,354,0.38836,0.76,0.0,1.0,0.214639,7,0,0,0.0,1,2.983,stock fournisseur local,0.000171,2.983,stock fournisseur local,0.000171,SDC-VD0901566A,Supplier of Packaging - VD0901566A,0.002312,1.0,338928,2456.25
117,0.215342,298.5283,sourcing_share,1,M-1430,121,180.0,1,354,0.38836,0.76,0.0,1.0,0.214639,8,0,0,0.0,1,2.983,stock fournisseur local,0.000171,2.983,stock fournisseur local,0.000171,SDC-VD0993480A,Supplier of Packaging - VD0993480A,0.002312,1.0,344135,2456.25
365,0.000616,1021.6996,sourcing_share,1,M-1810,0,360.0,2,364,0.365133,0.010036,204.4286,0.600442,0.200823,9,1,0,0.0,1,0.0,stock fournisseur local,0.0,0.0,stock fournisseur local,0.0,SDC-VD0951020A,Supplier of Raw Materials - VD0951020A,0.0,0.600444,"001757, 001848",13.1636
365,0.000504,664.8241,sourcing_share,1,M-1810,0,360.0,2,364,0.354375,0.055843,203.0644,0.705537,0.194906,10,1,0,0.0,1,0.0,stock fournisseur local,0.0,0.0,stock fournisseur local,0.0,SDC-VD0519670A,Supplier of Raw Materials - VD0519670A,0.0,0.705534,"001848, 029313",8.9948
