day,demand,served,backlog_end,arrivals_qty,produced_qty,shipped_qty,inventory_total,holding_cost_day,transport_cost_day,purchase_cost_day,external_procured_ordered_qty,external_procured_arrived_qty,external_procured_rejected_qty
49,47.5,0.0,933.5756,179.9813,56.6909,128.0308,498582.4337,19910.677,78.0365,1.5804,0.0,0.0,0.0
50,47.5,11.1862,969.8894,39.6148,54.0,81.9656,498582.4139,19910.6762,46.3909,0.8197,0.0,0.0,0.0
51,47.5,23.75,993.6394,41.7196,54.0,71.2159,498582.6849,19910.687,38.9123,0.7122,0.0,0.0,0.0
52,47.5,71.25,969.8894,74.6574,54.0,56.6909,498582.9186,19910.6964,28.8072,0.5669,0.0,0.0,0.0
53,47.5,45.1815,972.2079,100.2348,54.0,54.0,498637.4892,19910.7214,26.9352,0.54,0.0,0.0,0.0
54,47.5,2.6909,1017.017,57.2771,54.0,54.0,498691.5926,19910.7277,26.9352,0.54,0.0,0.0,0.0
55,47.5,0.0,1064.517,108.6575,54.0,54.0,498799.7674,19910.739,26.9352,0.54,0.0,0.0,0.0
56,47.5,0.0,1112.017,54.195,54.0,54.0,498853.4796,19910.7296,26.9352,0.54,0.0,0.0,0.0
57,47.5,0.0,1159.517,54.4033,54.0,54.0,498907.4002,19910.7286,26.9352,0.54,0.0,0.0,0.0
58,47.5,0.0,1207.017,271.3561,54.0,54.0,499178.2735,19910.7743,26.9352,0.54,0.0,0.0,0.0
59,47.5,0.0,1254.517,0.6088,54.0,54.0,499178.3995,19910.7794,26.9352,0.54,0.0,0.0,0.0
