acceptable_levels,first_unacceptable_level,max_external_procured_qty_delta,max_fill_rate_drop,parameter,supplier_id,tested_levels,tested_max_acceptable_scale,tested_min_acceptable_scale
"[0.01, 0.05, 0.1, 0.25, 0.5, 0.75, 1.0]",,249599.3694999814,0.0,capacite_fournisseur_globale,GLOBAL,"[0.01, 0.05, 0.1, 0.25, 0.5, 0.75, 1.0]",1.0,0.01
"[0.25, 0.5, 0.75, 0.9, 1.0]",0.01,174831795.10570002,0.0,stock_fournisseur_global,GLOBAL,"[0.01, 0.25, 0.5, 0.75, 0.9, 1.0]",1.0,0.25
"[0.01, 0.05, 0.1, 0.25, 0.5, 0.75, 1.0]",,0.0,0.0,capacite_fournisseur,SDC-VD0500655A,"[0.01, 0.05, 0.1, 0.25, 0.5, 0.75, 1.0]",1.0,0.01
"[0.01, 0.25, 0.5, 0.75, 0.9, 1.0]",,0.0,0.0,stock_fournisseur,SDC-VD0500655A,"[0.01, 0.25, 0.5, 0.75, 0.9, 1.0]",1.0,0.01
"[0.01, 0.05, 0.1, 0.25, 0.5, 0.75, 1.0]",,0.0,0.0,capacite_fournisseur,SDC-VD0505677A,"[0.01, 0.05, 0.1, 0.25, 0.5, 0.75, 1.0]",1.0,0.01
"[0.01, 0.25, 0.5, 0.75, 0.9, 1.0]",,0.0,0.0,stock_fournisseur,SDC-VD0505677A,"[0.01, 0.25, 0.5, 0.75, 0.9, 1.0]",1.0,0.01
"[0.01, 0.05, 0.1, 0.25, 0.5, 0.75, 1.0]",,251019.58329999447,0.0,capacite_fournisseur,SDC-VD0508918A,"[0.01, 0.05, 0.1, 0.25, 0.5, 0.75, 1.0]",1.0,0.01
"[0.01, 0.25, 0.5, 0.75, 0.9, 1.0]",,0.0,0.0,stock_fournisseur,SDC-VD0508918A,"[0.01, 0.25, 0.5, 0.75, 0.9, 1.0]",1.0,0.01
"[0.01, 0.05, 0.1, 0.25, 0.5, 0.75, 1.0]",,0.0,0.0,capacite_fournisseur,SDC-VD0514881A,"[0.01, 0.05, 0.1, 0.25, 0.5, 0.75, 1.0]",1.0,0.01
"[0.01, 0.25, 0.5, 0.75, 0.9, 1.0]",,0.0,0.0,stock_fournisseur,SDC-VD0514881A,"[0.01, 0.25, 0.5, 0.75, 0.9, 1.0]",1.0,0.01
"[0.01, 0.05, 0.1, 0.25, 0.5, 0.75, 1.0]",,0.0,0.0,capacite_fournisseur,SDC-VD0518684A,"[0.01, 0.05, 0.1, 0.25, 0.5, 0.75, 1.0]",1.0,0.01
