day,demand,served,backlog_end,arrivals_qty,produced_qty,shipped_qty,inventory_total,holding_cost_day,transport_cost_day,purchase_cost_day,external_procured_ordered_qty,external_procured_arrived_qty,external_procured_rejected_qty,estimated_source_ordered_qty,estimated_source_arrived_qty,estimated_source_rejected_qty,supplier_capacity_binding_qty
0,40.0,0.0,40.0,0.0,40.0,571.6383,8531511.8732,52536.8695,235.3681,22.2248,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,47.5,0.0,87.5,0.0,84.6189,450.7293,8529353.1675,52535.4671,177.3602,27.717,0.0,0.0,0.0,338.5439,0.0,0.0,0.0
2,52.5,0.0,140.0,179.664,134.2306,542.0393,8527129.4282,52534.3249,228.3096,35.635,0.0,0.0,0.0,182.6708,0.0,0.0,0.0
3,60.0,0.0,200.0,106.1488,182.979,594.3405,8524553.9559,52532.915,246.3727,43.6265,0.0,0.0,0.0,203.6785,0.0,0.0,0.0
4,55.0,20.0,235.0,166.7018,220.0099,598.4366,8522152.6066,52531.7045,259.8441,46.9326,0.0,0.0,0.0,231.9551,0.0,0.0,0.0
5,50.0,43.0,242.0,316.2585,244.2703,553.5344,8520122.765,52531.005,244.2814,47.7673,0.0,0.0,0.0,222.0357,0.0,0.0,0.0
6,45.0,52.12,234.88,281.1985,255.8584,510.1181,8518294.6574,52530.3866,230.0499,47.1135,0.0,0.0,0.0,204.3839,0.0,0.0,0.0
7,40.0,51.2,223.68,344.9301,256.8794,371.945,8516864.4009,52530.1712,164.9699,35.4207,0.0,0.0,0.0,185.0951,0.0,0.0,0.0
8,47.5,55.648,215.532,177.3268,259.7778,416.918,8515090.0375,52529.471,189.6869,32.7341,0.0,0.0,0.0,106.0297,64.96,0.0,0.0
9,52.5,25.5648,242.4672,71.7907,266.3039,447.4336,8513031.1223,52528.4784,198.5446,33.7688,0.0,0.0,0.0,92.7235,74.704,0.0,0.0
10,60.0,54.6848,247.7824,173.5403,280.0785,499.5532,8510742.1363,52527.4724,217.8128,35.8189,0.0,0.0,0.0,102.5566,83.1488,0.0,0.0
11,55.0,0.0,302.7824,108.8546,290.7064,461.293,8508604.652,52526.6259,198.6159,36.5909,0.0,0.0,0.0,116.3627,94.5818,0.0,0.0
12,50.0,92.485,260.2974,375.9555,295.5492,499.0337,8506780.7004,52526.1756,236.8118,37.484,0.0,0.0,0.0,111.3756,90.3724,0.0,0.0
13,45.0,23.113,282.1845,317.3357,292.9985,387.9159,8505259.7785,52526.0683,171.9111,36.0784,0.0,0.0,0.0,102.5839,83.0345,0.0,0.0
