event_id,trigger_day,start_day,end_day,supplier_id,item_id,risk_family,risk_type,multiplier,trigger_metric,trigger_value,threshold,consecutive_days,effect,notes
state_stock_stock_cover_below_5d_SDC_VD0525412A_item_333362_d30,30,31,37,SDC-VD0525412A,item:333362,stock,availability,0.95,stock_cover_below_5d,1.435065,5.0,19,Disponibilite fournisseur x0.95 pendant 7 jours,Alerte legere: declenche quand le stock fournisseur couvre moins de 5 jours de besoin pendant 5 jours consecutifs.
state_stock_stock_cover_below_3d_SDC_VD0525412A_item_333362_d30,30,31,44,SDC-VD0525412A,item:333362,stock,availability,0.85,stock_cover_below_3d,1.435065,3.0,18,Disponibilite fournisseur x0.85 pendant 14 jours,Tension stock: declenche quand le stock fournisseur couvre moins de 3 jours de besoin pendant 2 jours consecutifs.
state_stock_stock_cover_below_3d_SDC_VD0989480A_item_426331_d30,30,31,44,SDC-VD0989480A,item:426331,stock,availability,0.85,stock_cover_below_3d,0.699739,3.0,3,Disponibilite fournisseur x0.85 pendant 14 jours,Tension stock: declenche quand le stock fournisseur couvre moins de 3 jours de besoin pendant 2 jours consecutifs.
state_stock_stock_cover_below_5d_SDC_VD0993480A_item_344135_d30,30,31,37,SDC-VD0993480A,item:344135,stock,availability,0.95,stock_cover_below_5d,2.116883,5.0,22,Disponibilite fournisseur x0.95 pendant 7 jours,Alerte legere: declenche quand le stock fournisseur couvre moins de 5 jours de besoin pendant 5 jours consecutifs.
state_stock_stock_cover_below_3d_SDC_VD0993480A_item_344135_d30,30,31,44,SDC-VD0993480A,item:344135,stock,availability,0.85,stock_cover_below_3d,2.116883,3.0,21,Disponibilite fournisseur x0.85 pendant 14 jours,Tension stock: declenche quand le stock fournisseur couvre moins de 3 jours de besoin pendant 2 jours consecutifs.
state_upstream_upstream_rejection_avg_7d_above_10pct_with_stock_cover_below_7d_SDC_VD0514881A_item_016332_d30,30,31,37,SDC-VD0514881A,item:016332,upstream,external_availability,0.97,upstream_rejection_avg_7d_above_10pct_with_stock_cover_below_7d,0.364272,0.1,3,Appro amont fournisseur disponibilite x0.97 pendant 7 jours,Alerte appro amont persistante: declenche quand le rejet amont moyen 7 jours depasse 10% et que le stock fournisseur couvre moins de 7 jours.
state_upstream_upstream_rejection_avg_7d_above_10pct_with_stock_cover_below_7d_SDC_VD0520115A_item_708073_d30,30,31,37,SDC-VD0520115A,item:708073,upstream,external_availability,0.97,upstream_rejection_avg_7d_above_10pct_with_stock_cover_below_7d,0.262935,0.1,29,Appro amont fournisseur disponibilite x0.97 pendant 7 jours,Alerte appro amont persistante: declenche quand le rejet amont moyen 7 jours depasse 10% et que le stock fournisseur couvre moins de 7 jours.
state_upstream_upstream_rejection_avg_7d_above_10pct_with_stock_cover_below_7d_SDC_VD0520132A_item_038005_d30,30,31,37,SDC-VD0520132A,item:038005,upstream,external_availability,0.97,upstream_rejection_avg_7d_above_10pct_with_stock_cover_below_7d,0.208941,0.1,22,Appro amont fournisseur disponibilite x0.97 pendant 7 jours,Alerte appro amont persistante: declenche quand le rejet amont moyen 7 jours depasse 10% et que le stock fournisseur couvre moins de 7 jours.
state_upstream_upstream_rejection_avg_7d_above_10pct_with_stock_cover_below_7d_SDC_VD0520132A_item_049371_d30,30,31,37,SDC-VD0520132A,item:049371,upstream,external_availability,0.97,upstream_rejection_avg_7d_above_10pct_with_stock_cover_below_7d,0.225124,0.1,25,Appro amont fournisseur disponibilite x0.97 pendant 7 jours,Alerte appro amont persistante: declenche quand le rejet amont moyen 7 jours depasse 10% et que le stock fournisseur couvre moins de 7 jours.
state_upstream_upstream_rejection_avg_7d_above_10pct_with_stock_cover_below_7d_SDC_VD0525412A_item_333362_d30,30,31,37,SDC-VD0525412A,item:333362,upstream,external_availability,0.97,upstream_rejection_avg_7d_above_10pct_with_stock_cover_below_7d,0.919462,0.1,19,Appro amont fournisseur disponibilite x0.97 pendant 7 jours,Alerte appro amont persistante: declenche quand le rejet amont moyen 7 jours depasse 10% et que le stock fournisseur couvre moins de 7 jours.
