day,M-1430 | item:038005,M-1430 | item:042342,M-1430 | item:333362,M-1430 | item:344135,M-1430 | item:708073,M-1430 | item:730384,M-1430 | item:734545,M-1430 | item:773474,M-1810 | item:001757,M-1810 | item:001848,M-1810 | item:001893,M-1810 | item:002612,M-1810 | item:007923,M-1810 | item:016332,M-1810 | item:029313,M-1810 | item:039668,M-1810 | item:049371,M-1810 | item:055703,M-1810 | item:099439,M-1810 | item:338928,M-1810 | item:338929,M-1810 | item:426331,M-1810 | item:693055,SDC-1450 | item:021081
102,189.488734,285323.375625,10828.4375,7528.4375,48.598509,2295.62875,37.8275,26571.594196,17.585383,12.318432,79.375471,15.140628,9589.72,5.032015,0.439635,0.305655,16.266479,0.622855,15.282728,10828.4375,8928.4375,67.412812,4396.345625,2378024.542704
103,190.823046,283890.253125,10904.6875,7504.6875,48.410172,2311.79375,37.6375,26571.594196,17.709213,12.336211,79.525894,15.092416,9666.86,5.020444,0.44273,0.30469,16.381022,0.625359,15.234516,10904.6875,8904.6875,67.151562,4427.303125,2395902.552916
104,192.157358,282457.130625,10980.9375,7480.9375,48.221834,2327.95875,37.4475,26342.294643,17.833043,12.410814,79.529751,15.044203,9666.86,5.008873,0.445826,0.303726,16.495564,0.62343,15.186303,10980.9375,8880.9375,66.890312,4458.260625,2413780.546503
105,193.49167,281024.008125,11057.1875,7457.1875,48.033497,2344.12375,37.2575,26112.995091,17.956873,12.418426,79.58857,14.995991,9666.86,4.997302,0.448922,0.302762,16.610107,0.622659,15.138091,11057.1875,8857.1875,66.629062,4489.218125,2431658.52806
106,194.825982,279590.885625,11133.4375,7433.4375,47.845159,2360.28875,37.0675,25883.695538,18.080703,12.426039,79.830115,14.947778,9666.86,4.985731,0.452018,0.301798,16.72465,0.626709,15.089878,11133.4375,8833.4375,66.367812,4520.175625,2449536.500912
107,196.160294,278157.763125,11209.6875,7409.6875,47.656822,2376.45375,36.8775,25654.395986,18.204533,12.442329,80.017179,14.899566,9666.86,4.97416,0.455113,0.300833,16.839193,0.62478,15.041666,11209.6875,8809.6875,66.106562,4551.133125,2467414.467465
108,197.494607,276724.640625,11285.9375,7385.9375,47.468484,2392.61875,36.6875,25654.395986,18.328363,12.478869,79.947753,14.851353,9589.72,4.962589,0.458209,0.299869,16.953735,0.626902,14.993453,11285.9375,8785.9375,65.845312,4582.090625,2485292.42946
109,198.828919,275291.518125,11362.1875,7362.1875,47.280147,2408.78375,36.4975,25983.259817,18.452193,12.503838,79.95161,14.803141,9589.72,4.951018,0.461305,0.298905,17.068278,0.628252,14.945241,11362.1875,8762.1875,65.584062,4613.048125,2503170.388157
110,200.163231,273858.395625,11438.4375,7338.4375,47.091809,2424.94875,36.3075,25983.259817,18.576023,12.589555,79.900505,14.754928,9589.72,4.939447,0.464401,0.297941,17.182821,0.628874,14.897028,11438.4375,8738.4375,65.322812,4644.005625,2521048.344467
111,201.497543,272425.273125,11514.6875,7314.6875,46.903472,2441.11375,36.1175,26671.158475,18.699853,12.637666,79.831079,14.706716,9666.86,4.927876,0.467496,0.296976,17.297364,0.628874,14.848816,11514.6875,8714.6875,65.061562,4674.963125,2538926.299051
112,202.831855,270992.150625,11590.9375,7290.9375,46.715134,2436.07875,35.9275,26671.158475,18.823683,12.659404,79.997412,14.658503,9589.72,4.916305,0.466532,0.296012,17.411906,0.626946,14.800603,11590.9375,8690.9375,64.800312,4705.920625,2556804.252384
113,204.166167,269559.028125,11667.1875,7267.1875,46.526797,2431.04375,35.7375,26441.858922,18.947513,12.650726,79.94245,14.610291,9589.72,4.904734,0.465568,0.295048,17.526449,0.626946,14.752391,11667.1875,8667.1875,64.539062,4736.878125,2574682.204814
