day,demand,served,backlog_end,arrivals_qty,produced_qty,shipped_qty,inventory_total,holding_cost_day,transport_cost_day,purchase_cost_day,external_procured_ordered_qty,external_procured_arrived_qty,external_procured_rejected_qty,estimated_source_ordered_qty,estimated_source_arrived_qty,estimated_source_rejected_qty,supplier_capacity_binding_qty
0,40.0,0.0,40.0,0.0,40.0,554.1983,6400016.7242,253130.2875,227.4023,22.0504,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,47.5,0.0,87.5,0.0,86.228,448.9037,6397842.7345,253066.6936,176.7952,27.8748,0.0,0.0,0.0,336.1499,0.0,0.0,0.0
2,52.5,0.0,140.0,178.064,137.6902,536.8862,6395603.6067,252995.8876,225.627,35.9619,0.0,0.0,0.0,190.2971,0.0,0.0,0.0
3,60.0,0.0,200.0,105.2288,188.1764,590.2542,6393011.8578,252915.321,244.6453,44.1542,0.0,0.0,0.0,212.1974,0.0,0.0,0.0
4,55.0,18.432,236.568,163.049,226.8583,592.1857,6390596.7873,252838.3082,256.6939,47.6193,0.0,0.0,0.0,241.6683,0.0,0.0,0.0
5,50.0,39.6288,246.9392,310.8393,252.3178,547.5471,6388556.0462,252767.5237,241.3409,48.5878,0.0,0.0,0.0,231.351,0.0,0.0,0.0
6,45.0,48.0338,243.9054,274.8864,264.5931,463.7373,6386761.4277,252705.1795,209.5539,41.5646,0.0,0.0,0.0,212.9748,0.0,0.0,0.0
7,40.0,47.1859,236.7195,339.8934,265.8641,345.2583,6385351.354,252651.4768,153.6327,32.6677,0.0,0.0,0.0,150.9647,0.0,0.0,0.0
8,47.5,51.2852,232.9343,143.3898,268.6748,448.8719,6383508.2837,252591.2703,213.1392,34.027,0.0,0.0,0.0,86.4553,67.6667,0.0,0.0
9,52.5,0.0,285.4343,186.4675,275.2644,441.8396,6381588.7873,252524.5746,195.9437,34.6932,0.0,0.0,0.0,96.6698,77.8167,0.0,0.0
10,60.0,111.9696,233.4647,195.1993,289.3214,453.5588,6379303.8963,252448.7821,187.2152,36.3701,0.0,0.0,0.0,106.9133,86.6133,0.0,0.0
11,55.0,42.6018,245.8629,87.0009,300.5004,476.1528,6377080.9044,252376.3534,210.36,37.811,0.0,0.0,0.0,121.2972,98.5227,0.0,0.0
12,50.0,21.3116,274.5513,420.1346,305.7334,499.4976,6375364.8877,252309.7989,238.5101,38.6028,0.0,0.0,0.0,116.1075,94.1379,0.0,0.0
13,45.0,71.769,247.7823,455.3447,303.2807,384.1545,6373934.7238,252249.614,170.6136,37.1657,0.0,0.0,0.0,106.9531,86.4942,0.0,0.0
14,40.0,50.4575,237.3248,184.8721,293.8687,371.1525,6372445.3367,252195.8927,173.6213,35.9905,0.0,0.0,0.0,96.9452,78.1988,0.0,0.0
15,47.5,0.0,284.8248,290.0504,288.9419,405.2933,6370867.7987,252142.4136,184.2503,35.8085,0.0,0.0,0.0,86.7161,69.7731,0.0,0.0
16,52.5,23.5607,313.7641,466.5944,289.9306,418.3747,6369244.2674,252075.7191,180.653,36.0631,0.0,0.0,0.0,96.8586,78.238,0.0,0.0
17,60.0,49.2042,324.5599,448.8485,299.9341,510.8976,6367226.6652,251999.9406,232.8622,38.1046,0.0,0.0,0.0,107.0498,86.6976,0.0,0.0
18,55.0,65.9502,313.6096,451.8949,308.18,443.613,6365386.7423,251927.5417,194.5682,38.3257,0.0,0.0,0.0,112.0483,98.5395,0.0,0.0
19,50.0,44.9169,318.6928,388.947,311.2903,388.2529,6363737.3232,251862.2049,167.3016,38.0983,0.0,0.0,0.0,104.4114,94.1412,0.0,0.0
20,45.0,40.3173,323.3754,642.5829,307.3018,398.201,6362515.2033,251802.0338,185.9063,37.7461,0.0,0.0,0.0,96.1929,86.4949,0.0,0.0
21,40.0,0.0,363.3754,351.8961,296.7784,551.7797,6361229.2137,251748.3455,266.3064,38.1151,0.0,0.0,0.0,87.2078,249.3846,0.0,0.0
22,47.5,73.7967,337.0788,126.6795,291.0473,489.7966,6359426.0818,251688.3676,222.9036,48.8913,0.0,0.0,0.0,249.0216,167.2842,0.0,0.0
23,52.5,0.0,389.5788,636.2069,291.4541,551.9245,6357970.6236,251621.98,250.125,51.3738,0.0,0.0,0.0,178.8901,190.7425,0.0,0.0
24,60.0,74.0182,375.5606,801.1387,301.0365,601.5874,6356312.7384,251547.5535,264.9535,54.5016,0.0,0.0,0.0,201.7873,212.3143,0.0,0.0
25,55.0,85.1684,345.3922,382.596,308.9777,597.8431,6354367.5663,251475.5418,264.7597,57.4381,0.0,0.0,0.0,226.5822,241.6732,0.0,0.0
26,50.0,21.3116,374.0806,248.356,311.8676,551.1679,6352569.2226,251409.3618,245.1736,56.4953,0.0,0.0,0.0,238.0675,231.3334,0.0,0.0
