product_code,node_id,component_item_id,component_code,unit_value_eur,value_source,opening_qty_before_j0,opening_value_before_j0_eur,day0_end_qty,day0_end_value_eur,period,consumed_qty,consumed_value_eur
268967,M-1430,item:038005,038005,4.57,inventory_state_unit_value_basis,37598.5325,171825.29352500002,37598.5325,171825.29352500002,,,
268967,M-1430,item:042342,042342,0.00221,inventory_state_unit_value_basis,78749996.0,174037.49116,78749996.0,174037.49116,,,
268967,M-1430,item:333362,333362,0.27321,inventory_state_unit_value_basis,142250.0,38864.1225,142250.0,38864.1225,,,
268967,M-1430,item:344135,344135,0.00403,inventory_state_unit_value_basis,0.0,0.0,0.0,0.0,,,
268967,M-1430,item:708073,708073,3.59,inventory_state_unit_value_basis,10326.88,37073.4992,10326.88,37073.4992,,,
268967,M-1430,item:734545,734545,0.42644,inventory_state_unit_value_basis,1641.0,699.78804,1641.0,699.78804,,,
268091,M-1810,item:001757,001757,5.43,inventory_state_unit_value_basis,8499.654,46153.12122,8476.2684,46026.137412000004,,,
268091,M-1810,item:001848,001848,2.89,inventory_state_unit_value_basis,10262.646,29659.046940000004,10245.1068,29608.358652,,,
268091,M-1810,item:001893,001893,4.64,inventory_state_unit_value_basis,9783.5,45395.439999999995,9672.4184,44880.021376,,,
268091,M-1810,item:002612,002612,1.26,inventory_state_unit_value_basis,153521.636719,193437.26226594,153492.404719,193400.42994594,,,
268091,M-1810,item:007923,007923,2.0,inventory_state_unit_value_basis,55018.98,110037.96,54972.2088,109944.4176,,,
268091,M-1810,item:016332,016332,27.62,inventory_state_unit_value_basis,883.02,24389.0124,876.00432,24195.2393184,,,
268091,M-1810,item:029313,029313,2.07,inventory_state_unit_value_basis,226.83,469.5381,226.24536,468.3278952,,,
268091,M-1810,item:039668,039668,12.21,inventory_state_unit_value_basis,459.695,5612.875950000001,459.11036,5605.7374956,,,
268091,M-1810,item:049371,049371,14.65,inventory_state_unit_value_basis,4138.93,60635.3245,4117.29832,60318.420388,,,
268091,M-1810,item:055703,055703,34.775,inventory_state_unit_value_basis,569.805001,19814.968909774998,568.635721,19774.307197775,,,
268091,M-1810,item:099439,099439,9.17,inventory_state_unit_value_basis,4972.616,45598.88872,4943.384,45330.83128,,,
