product_code,component_code,site,stock_qty_source,stock_uom,unit_price_eur,price_uom,opening_value_eur,week1_demand_pf,week1_consumption_qty_bom_uom,bom_uom,week1_consumption_value_eur
268091,001757,1810,8499654.0,G,5.43,KG,46153.12122,13300.0,21599.2,G,117.283656
268091,001848,1810,10262646.0,G,2.89,KG,29659.046940000004,13300.0,16199.4,G,46.816266000000006
268091,001893,1810,9783.5,KG,4.64,KG,45395.439999999995,13300.0,102.59620000000001,KG,476.04636800000003
268091,002612,1810,153521.63671875,KG,1.26,KG,193437.262265625,13300.0,26.998999999999995,KG,34.018739999999994
268091,016332,1810,883020.0,G,27.62,KG,24389.0124,13300.0,6479.76,G,178.97097120000004
268091,029313,1810,226830.0,G,2.07,KG,469.5381,13300.0,539.98,G,1.1177586
268091,039668,1810,459695.0,G,12.21,KG,5612.875950000001,13300.0,539.98,G,6.593155800000001
268091,049371,1810,4138930.0,G,14.65,KG,60635.3245,13300.0,19979.26,G,292.696159
268091,055703,1810,569805.000976563,G,34.775000000000006,KG,19814.96890895998,13300.0,1079.96,G,37.555609000000004
268091,099439,1810,4972616.0,G,9.17,KG,45598.88872,13300.0,26999.0,G,247.58083
268091,693055,1810,1010000.0,G,0.0,G,0.0,13300.0,5399.8,G,0.0
268091,007923,1810,55018980.0,G,2.0,KG,110037.96,13300.0,43198.4,G,86.3968
268091,338928,1810,404065.0,UN,0.14131,UN,57098.425149999995,13300.0,13300.0,UN,1879.4229999999998
268091,338929,1810,354000.0,UN,0.21585,UN,76410.9,13300.0,13300.0,UN,2870.805
268091,426331,1810,24159.0,UN,0.50393,UN,12174.44487,13300.0,146.3,UN,73.724959
268967,038005,1430,37598532.5,G,4.57,KG,171825.29352500002,17940.0,313935.21744,G,1434.6839437008
268967,042342,1430,78749996.0,UN,0.00221,UN,174037.49116,17940.0,1082535.48,UN,2392.4034108
268967,333362,1430,142250.0,UN,0.27320999999999995,UN,38864.12249999999,17940.0,17940.0,UN,4901.387399999999
268967,344135,1430,0.0,UN,0.004030000000000001,UN,0.0,17940.0,17940.0,UN,72.29820000000001
268967,708073,1430,10326880.0,G,3.59,KG,37073.4992,17940.0,142264.2,G,510.72847800000005
268967,730384,1430,68387.0,M,0.0,M,0.0,17940.0,3803.28,M,0.0
268967,734545,1430,1641.0,UN,0.42644,UN,699.78804,17940.0,143.52,UN,61.202668800000005
