product_code,node_id,component_code,value_source,stock_value_mean_eur,useful_value_mean_eur,immobilized_value_mean_eur,stock_qty_mean,unit_value_eur,snapshots
268091,M-1810,049371,inventory_state_unit_value_basis,274599.90769507695,166681.36002092308,107918.54767415386,18744.021003076923,14.65,52
268091,M-1810,338929,inventory_state_unit_value_basis,255038.39769230768,254966.17096153848,72.22673076923076,1181553.8461538462,0.21585,52
268091,M-1810,002612,inventory_state_unit_value_basis,243369.50141670924,10412.803799999998,232956.69761670925,193150.39794976922,1.26,52
268091,M-1810,338928,inventory_state_unit_value_basis,150266.418025,150266.418025,0.0,1063381.3461538462,0.14131,52
268091,M-1810,007923,inventory_state_unit_value_basis,143416.14978461538,19833.912,123582.2377846154,71708.07489230769,2.0,52
268091,M-1810,001893,inventory_state_unit_value_basis,111449.69648246151,88844.94624399999,22604.75023846154,24019.331138461537,4.64,52
268091,M-1810,001757,inventory_state_unit_value_basis,81088.53692953846,35899.38072,45189.156209538465,14933.432215384615,5.43,52
268091,M-1810,001848,inventory_state_unit_value_basis,42603.87660646154,14330.001419999999,28273.87518646154,14741.825815384615,2.89,52
268091,M-1810,099439,inventory_state_unit_value_basis,40730.95612923076,26048.457625480773,14682.498503750003,4441.761846153846,9.17,52
268091,M-1810,055703,inventory_state_unit_value_basis,28393.575781774998,17243.107245,11150.468536774997,816.4939117692307,34.775,52
268091,M-1810,016332,inventory_state_unit_value_basis,26761.64484652308,19094.2476282,7667.397218323076,968.9226953846154,27.62,52
268091,M-1810,426331,inventory_state_unit_value_basis,19435.502465076923,7898.271265499999,11537.231199576925,38567.86153846154,0.50393,52
268091,M-1810,039668,inventory_state_unit_value_basis,5463.517519476924,706.3351910999999,4757.182328376924,447.4625323076923,12.21,52
268091,M-1810,029313,inventory_state_unit_value_basis,444.216891876923,119.74724369999998,324.4696481769231,214.5975323076923,2.07,52
268967,M-1430,038005,inventory_state_unit_value_basis,480122.0130571718,238595.69691553077,241526.31614164097,105059.52145671153,4.57,52
268967,M-1430,042342,inventory_state_unit_value_basis,257333.29578100002,143757.57396,113575.72182100001,116440405.33076923,0.00221,52
268967,M-1430,333362,inventory_state_unit_value_basis,244920.1553076923,244920.1553076923,0.0,896453.8461538461,0.27321,52
268967,M-1430,708073,inventory_state_unit_value_basis,45693.155338846154,42172.19476692308,3520.960571923074,12727.898423076924,3.59,52
268967,M-1430,734545,inventory_state_unit_value_basis,6278.154649846154,5046.961684153846,1231.1929656923078,14722.246153846154,0.42644,52
268967,M-1430,344135,inventory_state_unit_value_basis,4468.6965,4407.2855,61.41100000000001,1108857.6923076923,0.00403,52
