product_code,node_id,component_item_id,component_code,period,consumed_qty,consumed_value_eur
268967,M-1430,item:038005,038005,J0-J4,0.0,0.0
268967,M-1430,item:038005,038005,J0-J5,0.0,0.0
268967,M-1430,item:038005,038005,J0-J6,0.0,0.0
268967,M-1430,item:042342,042342,J0-J4,0.0,0.0
268967,M-1430,item:042342,042342,J0-J5,0.0,0.0
268967,M-1430,item:042342,042342,J0-J6,0.0,0.0
268967,M-1430,item:333362,333362,J0-J4,0.0,0.0
268967,M-1430,item:333362,333362,J0-J5,0.0,0.0
268967,M-1430,item:333362,333362,J0-J6,0.0,0.0
268967,M-1430,item:344135,344135,J0-J4,0.0,0.0
268967,M-1430,item:344135,344135,J0-J5,0.0,0.0
268967,M-1430,item:344135,344135,J0-J6,0.0,0.0
268967,M-1430,item:708073,708073,J0-J4,0.0,0.0
268967,M-1430,item:708073,708073,J0-J5,0.0,0.0
268967,M-1430,item:708073,708073,J0-J6,0.0,0.0
268967,M-1430,item:734545,734545,J0-J4,0.0,0.0
268967,M-1430,item:734545,734545,J0-J5,0.0,0.0
268967,M-1430,item:734545,734545,J0-J6,0.0,0.0
268091,M-1810,item:001757,001757,J0-J4,23.3856,126.983808
268091,M-1810,item:001757,001757,J0-J5,23.3856,126.983808
268091,M-1810,item:001757,001757,J0-J6,23.3856,126.983808
268091,M-1810,item:001848,001848,J0-J4,17.5392,50.68828800000001
268091,M-1810,item:001848,001848,J0-J5,17.5392,50.68828800000001
268091,M-1810,item:001848,001848,J0-J6,17.5392,50.68828800000001
268091,M-1810,item:001893,001893,J0-J4,111.0816,515.4186239999999
268091,M-1810,item:001893,001893,J0-J5,111.0816,515.4186239999999
268091,M-1810,item:001893,001893,J0-J6,111.0816,515.4186239999999
268091,M-1810,item:002612,002612,J0-J4,29.232,36.83232
268091,M-1810,item:002612,002612,J0-J5,29.232,36.83232
268091,M-1810,item:002612,002612,J0-J6,29.232,36.83232
268091,M-1810,item:007923,007923,J0-J4,46.7712,93.5424
268091,M-1810,item:007923,007923,J0-J5,46.7712,93.5424
268091,M-1810,item:007923,007923,J0-J6,46.7712,93.5424
268091,M-1810,item:016332,016332,J0-J4,7.01568,193.7730816
268091,M-1810,item:016332,016332,J0-J5,7.01568,193.7730816
268091,M-1810,item:016332,016332,J0-J6,7.01568,193.7730816
268091,M-1810,item:029313,029313,J0-J4,0.58464,1.2102048
268091,M-1810,item:029313,029313,J0-J5,0.58464,1.2102048
268091,M-1810,item:029313,029313,J0-J6,0.58464,1.2102048
268091,M-1810,item:039668,039668,J0-J4,0.58464,7.138454400000001
268091,M-1810,item:039668,039668,J0-J5,0.58464,7.138454400000001
268091,M-1810,item:039668,039668,J0-J6,0.58464,7.138454400000001
268091,M-1810,item:049371,049371,J0-J4,21.63168,316.904112
268091,M-1810,item:049371,049371,J0-J5,21.63168,316.904112
268091,M-1810,item:049371,049371,J0-J6,21.63168,316.904112
268091,M-1810,item:055703,055703,J0-J4,1.16928,40.661712
268091,M-1810,item:055703,055703,J0-J5,1.16928,40.661712
268091,M-1810,item:055703,055703,J0-J6,1.16928,40.661712
268091,M-1810,item:099439,099439,J0-J4,29.232,268.05744
268091,M-1810,item:099439,099439,J0-J5,29.232,268.05744
268091,M-1810,item:099439,099439,J0-J6,29.232,268.05744
268091,M-1810,item:338928,338928,J0-J4,14400.0,2034.8639999999998
268091,M-1810,item:338928,338928,J0-J5,14400.0,2034.8639999999998
268091,M-1810,item:338928,338928,J0-J6,14400.0,2034.8639999999998
268091,M-1810,item:338929,338929,J0-J4,14400.0,3108.24
268091,M-1810,item:338929,338929,J0-J5,14400.0,3108.24
268091,M-1810,item:338929,338929,J0-J6,14400.0,3108.24
268091,M-1810,item:426331,426331,J0-J4,158.4,79.822512
268091,M-1810,item:426331,426331,J0-J5,158.4,79.822512
268091,M-1810,item:426331,426331,J0-J6,158.4,79.822512
773474,SDC-1450,item:021081,021081,J0-J4,28608.0,346872.0
773474,SDC-1450,item:021081,021081,J0-J5,28608.0,346872.0
773474,SDC-1450,item:021081,021081,J0-J6,28608.0,346872.0
