product_code,component_code,supplier,source_unit_price_eur,raw_price,price_base
268091,001757,VD0951020A,5.43,5.43,1.0
268091,001848,VD0519670A,4.2,4.2,1.0
268091,001848,VD0951020A,1.58,1.58,1.0
268091,001893,VD0518684A,4.4,4.4,1.0
268091,001893,VD0910216A,4.64,4.64,1.0
268091,001893,VD1091642A,5.105,5105.0,1000.0
268091,002612,VD0500655A,1.34,1340.0,1000.0
268091,002612,VD0910216A,0.82,820.0,1000.0
268091,002612,VD0990780A,1.295,1295.0,1000.0
268091,002612,VD1091642A,1.225,1225.0,1000.0
268091,016332,VD0514881A,27.62,27.62,1.0
268091,029313,VD0519670A,2.07,2.07,1.0
268091,039668,VD1096202A,12.21,12.21,1.0
268091,049371,VD0520132A,14.65,14.65,1.0
268091,055703,VD0914320A,20.35,20.35,1.0
268091,055703,VD0964290A,49.2,49.2,1.0
268091,099439,VD0505677A,9.17,9.17,1.0
268091,338928,VD0901566A,0.14131,141.31,1000.0
268091,338929,VD0914360C,0.21585,215.85,1000.0
268091,426331,VD0989480A,0.50393,503.93,1000.0
268091,693055,D1450,0.0,0.0,1000.0
268091,007923,VD0951020A,2.18,2.18,1.0
268091,007923,VD0956464A,1.82,1820.0,1000.0
268967,038005,VD0520132A,4.57,4.57,1.0
268967,042342,VD0914690A,0.00221,2.21,1000.0
268967,333362,VD0525412A,0.27320999999999995,273.21,1000.0
268967,344135,VD0993480A,0.004030000000000001,4.03,1000.0
268967,708073,VD0520115A,3.59,3.59,1.0
268967,730384,VD0508918A,0.0,0.0,1000.0
268967,734545,VD1095770A,0.42644,426.44,1000.0
268967,773474,D1450,0.0,0.0,1000.0
