case_id,case_input,case_output_dir,direction,factor_value,kpi::avg_inventory,kpi::cost_share_holding,kpi::cost_share_inventory_risk,kpi::cost_share_purchase,kpi::cost_share_transport,kpi::cost_share_warehouse_operating,kpi::ending_backlog,kpi::ending_inventory,kpi::fill_rate,kpi::measured_required_total,kpi::measurement_starting_backlog,kpi::total_arrived,kpi::total_cost,kpi::total_demand,kpi::total_estimated_source_ordered_qty,kpi::total_estimated_source_rejected_qty,kpi::total_estimated_source_replenished_qty,kpi::total_explicit_initialization_pipeline_qty,kpi::total_explicit_initialization_stock_qty,kpi::total_external_procured_arrived_qty,kpi::total_external_procured_ordered_qty,kpi::total_external_procured_qty,kpi::total_external_procured_rejected_qty,kpi::total_external_procurement_cost,kpi::total_holding_cost,kpi::total_inventory_cost_legacy_raw_holding,kpi::total_inventory_risk_cost,kpi::total_logistics_cost,kpi::total_opening_stock_bootstrap_qty,kpi::total_produced,kpi::total_purchase_cost,kpi::total_served,kpi::total_shipped,kpi::total_supplier_capacity_binding_qty,kpi::total_transport_cost,kpi::total_unreliable_loss_qty,kpi::total_warehouse_operating_cost,notes,parameter_group,parameter_key,parameter_label,status,study
local_capacity_scale_low,C:\dev\lca-simu\etudecas\simulation\sensibility\reference_baseline_service96_no_prod_stop_365d_warmup260_fill96_realistic\cases\local\local_capacity_scale_low\input_case.json,C:\dev\lca-simu\etudecas\simulation\sensibility\reference_baseline_service96_no_prod_stop_365d_warmup260_fill96_realistic\cases\local\local_capacity_scale_low\simulation_output,low,0.95,4435950.6145,0.272727,0.155844,0.001939,0.218841,0.350649,862.8689,4579601.782,0.952868,18307.4,907.4,1313427.0386,12968782.3847,17400.0,766386.4456,28230375.4976,769188.0585,744715.9899,159743.4957,0.0,0.0,0.0,0.0,0.0,3536937.4896,10105535.6845,2021107.1369,12943632.165,0.0,101091.3678,25150.2197,17444.5311,769814.6391,315838.844,2838096.4805,0.0,4547491.058,,capacity_global,capacity_scale,Capacite globale,ok,local
local_capacity_scale_high,C:\dev\lca-simu\etudecas\simulation\sensibility\reference_baseline_service96_no_prod_stop_365d_warmup260_fill96_realistic\cases\local\local_capacity_scale_high\input_case.json,C:\dev\lca-simu\etudecas\simulation\sensibility\reference_baseline_service96_no_prod_stop_365d_warmup260_fill96_realistic\cases\local\local_capacity_scale_high\simulation_output,high,1.05,4877952.5651,0.275821,0.157612,0.001878,0.210063,0.354627,597.1,5042514.6418,0.966866,18020.85,620.85,1467551.2045,14154792.6878,17400.0,770273.093,38903825.5759,771070.2186,820605.8371,176737.5479,0.0,0.0,0.0,0.0,0.0,3904184.1729,11154811.9226,2230962.3845,14128213.4333,0.0,108658.9289,26579.2545,17423.75,804984.9533,1166362.896,2973401.5107,0.0,5019665.3652,,capacity_global,capacity_scale,Capacite globale,ok,local
local_supplier_capacity_scale_low,C:\dev\lca-simu\etudecas\simulation\sensibility\reference_baseline_service96_no_prod_stop_365d_warmup260_fill96_realistic\cases\local\local_supplier_capacity_scale_low\input_case.json,C:\dev\lca-simu\etudecas\simulation\sensibility\reference_baseline_service96_no_prod_stop_365d_warmup260_fill96_realistic\cases\local\local_supplier_capacity_scale_low\simulation_output,low,0.95,4610786.9343,0.272465,0.155694,0.001923,0.219604,0.350313,731.4689,4752793.6463,0.959756,18176.0,776.0,1433701.1998,13646436.3513,17400.0,734713.1785,42787489.4235,735431.0455,781474.5914,168240.5218,0.0,0.0,0.0,0.0,0.0,3718180.7467,10623373.562,2124674.7124,13620187.5946,0.0,105496.3329,26248.7567,17444.5311,812180.3364,1610145.251,2996814.0326,0.0,4780518.1029,,supplier_capacity_global,supplier_capacity_scale,Debit fournisseur global,ok,local
local_supplier_capacity_scale_high,C:\dev\lca-simu\etudecas\simulation\sensibility\reference_baseline_service96_no_prod_stop_365d_warmup260_fill96_realistic\cases\local\local_supplier_capacity_scale_high\input_case.json,C:\dev\lca-simu\etudecas\simulation\sensibility\reference_baseline_service96_no_prod_stop_365d_warmup260_fill96_realistic\cases\local\local_supplier_capacity_scale_high\simulation_output,high,1.05,4702169.6349,0.27618,0.157817,0.0019,0.209013,0.355089,731.4689,4839885.6302,0.959756,18176.0,776.0,1338247.6239,13485165.4769,17400.0,762096.5576,23020184.6725,773900.8666,783847.2355,168240.5218,0.0,0.0,0.0,0.0,0.0,3724337.4402,10640964.1148,2128192.823,13459543.39,0.0,105496.3329,25622.0869,17444.5311,763243.0516,224876.3079,2818579.2752,0.0,4788433.8517,,supplier_capacity_global,supplier_capacity_scale,Debit fournisseur global,ok,local
local_safety_stock_days_scale_low,C:\dev\lca-simu\etudecas\simulation\sensibility\reference_baseline_service96_no_prod_stop_365d_warmup260_fill96_realistic\cases\local\local_safety_stock_days_scale_low\input_case.json,C:\dev\lca-simu\etudecas\simulation\sensibility\reference_baseline_service96_no_prod_stop_365d_warmup260_fill96_realistic\cases\local\local_safety_stock_days_scale_low\simulation_output,low,0.9,4656378.6437,0.274266,0.156723,0.001912,0.214471,0.352628,728.5,4811244.0255,0.959867,18152.25,752.25,1391548.2649,13564231.005,17400.0,769341.5861,33770742.3662,770134.1804,782660.9135,168240.5218,0.0,0.0,0.0,0.0,0.0,3720206.135,10629160.3857,2125832.0771,13538290.1678,0.0,105499.3017,25940.8371,17423.75,788141.9764,687516.2492,2909129.7822,0.0,4783122.1736,,safety_stock,safety_stock_days_scale,Safety stock global,ok,local
local_safety_stock_days_scale_high,C:\dev\lca-simu\etudecas\simulation\sensibility\reference_baseline_service96_no_prod_stop_365d_warmup260_fill96_realistic\cases\local\local_safety_stock_days_scale_high\input_case.json,C:\dev\lca-simu\etudecas\simulation\sensibility\reference_baseline_service96_no_prod_stop_365d_warmup260_fill96_realistic\cases\local\local_safety_stock_days_scale_high\simulation_output,high,1.1,4656833.3637,0.274268,0.156725,0.001912,0.214464,0.35263,728.5,4811698.7455,0.959867,18152.25,752.25,1391548.2649,13564622.0642,17400.0,769341.5861,33770742.3662,770134.1804,782660.9135,168240.5218,0.0,0.0,0.0,0.0,0.0,3720343.0057,10629551.4449,2125910.289,13538681.227,0.0,105499.3017,25940.8371,17423.75,788141.9764,687516.2492,2909129.7822,0.0,4783298.1502,,safety_stock,safety_stock_days_scale,Safety stock global,ok,local
local_supplier_reliability_scale_adverse,C:\dev\lca-simu\etudecas\simulation\sensibility\reference_baseline_service96_no_prod_stop_365d_warmup260_fill96_realistic\cases\local\local_supplier_reliability_scale_adverse\input_case.json,C:\dev\lca-simu\etudecas\simulation\sensibility\reference_baseline_service96_no_prod_stop_365d_warmup260_fill96_realistic\cases\local\local_supplier_reliability_scale_adverse\simulation_output,adverse,0.95,4603604.9911,0.273019,0.156011,0.001924,0.218021,0.351025,3550.1969,4745479.2391,0.81601,19295.5487,1895.5487,1434307.4238,13612213.9502,17400.0,773229.3081,42581519.2743,773984.9576,782660.9135,168240.5218,0.0,0.0,0.0,0.0,0.0,3716398.4652,10618281.3292,2123656.2658,13586023.3404,0.0,105498.175,26190.6098,15745.3518,805375.3822,1178209.1873,2967742.0112,42388.178,4778226.5982,One-sided local sensitivity because reliability is upper bounded.,supplier_reliability_global,supplier_reliability_scale,Fiabilite fournisseur globale,ok,local
local_demand_item_item_268091_low,C:\dev\lca-simu\etudecas\simulation\sensibility\reference_baseline_service96_no_prod_stop_365d_warmup260_fill96_realistic\cases\local\local_demand_item_item_268091_low\input_case.json,C:\dev\lca-simu\etudecas\simulation\sensibility\reference_baseline_service96_no_prod_stop_365d_warmup260_fill96_realistic\cases\local\local_demand_item_item_268091_low\simulation_output,low,0.9,4657832.918,0.274487,0.15685,0.001889,0.213862,0.352912,527.425,4813089.7284,0.969118,17078.8,548.8,1385628.1828,13553829.183,16530.0,765104.9698,33764023.6674,765917.8841,782659.1135,168226.5218,0.0,0.0,0.0,0.0,0.0,3720354.1026,10629583.1503,2125916.6301,13528226.0415,0.0,104629.3017,25603.1415,16551.375,782158.6839,687516.2492,2898642.8912,0.0,4783312.4176,,demand_item,demand_item::item:268091,Demande 268091,ok,local
local_demand_item_item_268091_high,C:\dev\lca-simu\etudecas\simulation\sensibility\reference_baseline_service96_no_prod_stop_365d_warmup260_fill96_realistic\cases\local\local_demand_item_item_268091_high\input_case.json,C:\dev\lca-simu\etudecas\simulation\sensibility\reference_baseline_service96_no_prod_stop_365d_warmup260_fill96_realistic\cases\local\local_demand_item_item_268091_high\simulation_output,high,1.1,4655395.2604,0.274047,0.156598,0.001936,0.215072,0.352346,943.45,4809866.9802,0.950963,19239.575,969.575,1397462.7188,13575019.9565,18270.0,773572.5495,33778048.2014,774344.8236,782662.7135,168254.5218,0.0,0.0,0.0,0.0,0.0,3720195.8528,10629131.008,2125826.2016,13548741.48,0.0,106369.3017,26278.4765,18296.125,794119.6357,687516.2492,2919610.472,0.0,4783108.9536,,demand_item,demand_item::item:268091,Demande 268091,ok,local
local_demand_item_item_268967_low,C:\dev\lca-simu\etudecas\simulation\sensibility\reference_baseline_service96_no_prod_stop_365d_warmup260_fill96_realistic\cases\local\local_demand_item_item_268967_low\input_case.json,C:\dev\lca-simu\etudecas\simulation\sensibility\reference_baseline_service96_no_prod_stop_365d_warmup260_fill96_realistic\cases\local\local_demand_item_item_268967_low\simulation_output,low,0.9,4718832.2536,0.281744,0.160996,0.001792,0.193226,0.362242,593.925,4851431.63,0.965364,17147.675,617.675,1301513.5869,13211727.9707,16530.0,703586.4024,20407500.1635,716352.9872,782659.1135,168226.5218,0.0,0.0,0.0,0.0,0.0,3722319.5352,10635198.6719,2127039.7344,13188053.3333,0.0,96653.2978,23674.6374,16553.75,694073.3485,295163.5783,2552854.6615,0.0,4785839.4023,,demand_item,demand_item::item:268967,Demande 268967,ok,local
