day,node_id,item_id,shipped_to_node_qty,uom
0,M-1430,item:038005,35.460993,KG
0,M-1430,item:042342,1885.6875,UN
0,M-1430,item:333362,45.454545,UN
0,M-1430,item:344135,31.25,UN
0,M-1430,item:708073,5.2338,KG
0,M-1430,item:730384,24.428571,M
0,M-1430,item:734545,3.2,UN
0,M-1430,item:773474,0.0,G
0,M-1810,item:001757,4.3848,KG
0,M-1810,item:001848,6.411552,KG
0,M-1810,item:001893,38.199728,KG
0,M-1810,item:002612,1.92444,KG
0,M-1810,item:007923,194.88,G
0,M-1810,item:016332,0.691824,KG
0,M-1810,item:029313,0.068208,KG
0,M-1810,item:039668,0.03654,KG
0,M-1810,item:049371,7.511,KG
0,M-1810,item:055703,0.266986,KG
0,M-1810,item:099439,1.827,KG
0,M-1810,item:338928,31.25,UN
0,M-1810,item:338929,64.935065,UN
0,M-1810,item:426331,7.26,UN
0,M-1810,item:693055,25.714286,G
0,SDC-1450,item:021081,22350.0,KG
1,M-1430,item:038005,35.460993,KG
1,M-1430,item:042342,1885.6875,UN
1,M-1430,item:333362,45.454545,UN
1,M-1430,item:344135,31.25,UN
1,M-1430,item:708073,0.15067,KG
1,M-1430,item:730384,24.428571,M
1,M-1430,item:734545,0.152,UN
1,M-1430,item:773474,183.439642,G
1,M-1810,item:001757,0.030856,KG
1,M-1810,item:001848,0.023142,KG
1,M-1810,item:001893,0.146566,KG
1,M-1810,item:002612,0.03857,KG
1,M-1810,item:007923,61.712,G
1,M-1810,item:016332,0.009257,KG
1,M-1810,item:029313,0.000771,KG
1,M-1810,item:039668,0.000771,KG
1,M-1810,item:049371,0.028542,KG
1,M-1810,item:055703,0.001543,KG
1,M-1810,item:099439,0.03857,KG
1,M-1810,item:338928,31.25,UN
1,M-1810,item:338929,64.935065,UN
1,M-1810,item:426331,0.209,UN
1,M-1810,item:693055,25.714286,G
1,SDC-1450,item:021081,22350.0,KG
2,M-1430,item:038005,21.890144,KG
2,M-1430,item:042342,1885.6875,UN
2,M-1430,item:333362,45.454545,UN
2,M-1430,item:344135,31.25,UN
2,M-1430,item:708073,0.196664,KG
2,M-1430,item:730384,24.428571,M
2,M-1430,item:734545,0.1984,UN
2,M-1430,item:773474,239.437006,G
2,M-1810,item:001757,0.040275,KG
2,M-1810,item:001848,0.030206,KG
2,M-1810,item:001893,0.191307,KG
2,M-1810,item:002612,0.050344,KG
2,M-1810,item:007923,80.5504,G
2,M-1810,item:016332,0.012083,KG
2,M-1810,item:029313,0.001007,KG
2,M-1810,item:039668,0.001007,KG
2,M-1810,item:049371,0.037255,KG
2,M-1810,item:055703,0.002014,KG
2,M-1810,item:099439,0.050344,KG
2,M-1810,item:338928,31.25,UN
2,M-1810,item:338929,64.935065,UN
2,M-1810,item:426331,0.2728,UN
2,M-1810,item:693055,25.714286,G
2,SDC-1450,item:021081,22350.0,KG
3,M-1430,item:038005,0.506776,KG
3,M-1430,item:042342,1885.6875,UN
3,M-1430,item:333362,45.454545,UN
3,M-1430,item:344135,31.25,UN
3,M-1430,item:708073,0.229653,KG
3,M-1430,item:730384,24.428571,M
3,M-1430,item:734545,0.23168,UN
3,M-1430,item:773474,279.600633,G
3,M-1810,item:001757,0.047031,KG
3,M-1810,item:001848,0.035273,KG
3,M-1810,item:001893,0.223397,KG
3,M-1810,item:002612,0.058789,KG
3,M-1810,item:007923,94.06208,G
3,M-1810,item:016332,0.014109,KG
3,M-1810,item:029313,0.001176,KG
3,M-1810,item:039668,0.001176,KG
3,M-1810,item:049371,0.043504,KG
3,M-1810,item:055703,0.002352,KG
3,M-1810,item:099439,0.058789,KG
3,M-1810,item:338928,31.25,UN
3,M-1810,item:338929,64.935065,UN
3,M-1810,item:426331,0.31856,UN
3,M-1810,item:693055,25.714286,G
3,SDC-1450,item:021081,22350.0,KG
4,M-1430,item:038005,0.486337,KG
4,M-1430,item:042342,1885.6875,UN
4,M-1430,item:333362,45.454545,UN
4,M-1430,item:344135,31.25,UN
4,M-1430,item:708073,0.220391,KG
4,M-1430,item:730384,24.428571,M
4,M-1430,item:734545,0.222336,UN
4,M-1430,item:773474,268.323923,G
4,M-1810,item:001757,0.045134,KG
4,M-1810,item:001848,0.033851,KG
4,M-1810,item:001893,0.214387,KG
4,M-1810,item:002612,0.056418,KG
4,M-1810,item:007923,90.268416,G
4,M-1810,item:016332,0.01354,KG
4,M-1810,item:029313,0.001128,KG
4,M-1810,item:039668,0.001128,KG
4,M-1810,item:049371,0.041749,KG
4,M-1810,item:055703,0.002257,KG
4,M-1810,item:099439,0.056418,KG
4,M-1810,item:338928,31.25,UN
4,M-1810,item:338929,64.935065,UN
4,M-1810,item:426331,0.305712,UN
4,M-1810,item:693055,25.714286,G
4,SDC-1450,item:021081,22350.0,KG
5,M-1430,item:038005,0.447251,KG
5,M-1430,item:042342,1885.6875,UN
5,M-1430,item:333362,45.454545,UN
5,M-1430,item:344135,31.25,UN
5,M-1430,item:708073,0.202678,KG
5,M-1430,item:730384,24.428571,M
5,M-1430,item:734545,0.204467,UN
5,M-1430,item:773474,246.759145,G
5,M-1810,item:001757,0.041507,KG
5,M-1810,item:001848,0.03113,KG
5,M-1810,item:001893,0.197157,KG
5,M-1810,item:002612,0.051884,KG
5,M-1810,item:007923,83.013683,G
5,M-1810,item:016332,0.012452,KG
5,M-1810,item:029313,0.001038,KG
5,M-1810,item:039668,0.001038,KG
5,M-1810,item:049371,0.038394,KG
5,M-1810,item:055703,0.002075,KG
5,M-1810,item:099439,0.051884,KG
5,M-1810,item:338928,31.25,UN
5,M-1810,item:338929,64.935065,UN
5,M-1810,item:426331,0.281142,UN
5,M-1810,item:693055,25.714286,G
5,SDC-1450,item:021081,22350.0,KG
6,M-1430,item:038005,0.404435,KG
6,M-1430,item:042342,1885.6875,UN
6,M-1430,item:333362,45.454545,UN
6,M-1430,item:344135,31.25,UN
6,M-1430,item:708073,0.183276,KG
6,M-1430,item:730384,24.428571,M
6,M-1430,item:734545,0.184893,UN
6,M-1430,item:773474,223.136753,G
6,M-1810,item:001757,0.037533,KG
6,M-1810,item:001848,0.02815,KG
6,M-1810,item:001893,0.178283,KG
6,M-1810,item:002612,0.046917,KG
6,M-1810,item:007923,75.066737,G
6,M-1810,item:016332,0.01126,KG
6,M-1810,item:029313,0.000938,KG
6,M-1810,item:039668,0.000938,KG
6,M-1810,item:049371,0.034718,KG
6,M-1810,item:055703,0.001877,KG
6,M-1810,item:099439,0.046917,KG
6,M-1810,item:338928,31.25,UN
6,M-1810,item:338929,64.935065,UN
6,M-1810,item:426331,0.254228,UN
6,M-1810,item:693055,25.714286,G
6,SDC-1450,item:021081,22350.0,KG
7,M-1430,item:038005,0.360874,KG
7,M-1430,item:042342,1885.6875,UN
7,M-1430,item:333362,45.454545,UN
7,M-1430,item:344135,31.25,UN
7,M-1430,item:708073,0.163535,KG
7,M-1430,item:730384,24.428571,M
7,M-1430,item:734545,0.164979,UN
7,M-1430,item:773474,199.102839,G
