item,required_qty,consumed_qty,shortage_qty,uom,shortage_value_eur
item:001757,3159.8411600000004,3159.8411600000004,0.0,KG,0.0
item:001848,2369.88087,2369.88087,0.0,KG,0.0
item:001893,15009.24551,9687.88121,5321.3643,KG,24691.130352
item:002612,3949.801449999999,3949.801449999999,0.0,KG,0.0
item:007923,6319.682320000001,6319.682320000001,0.0,KG,0.0
item:016332,947.952348,547.928388,400.02396,KG,11048.6617752
item:029313,78.99602900000002,62.92776000000001,16.068269,KG,33.26131683
item:039668,78.99602900000002,78.99602900000002,0.0,KG,0.0
item:049371,2922.853073,1137.26872,1785.5843530000002,KG,26158.810771450004
item:055703,157.99205800000004,157.99205800000004,0.0,KG,0.0
item:099439,3949.801449999999,3220.8854300000003,728.9160199999999,KG,6684.159903399999
item:338928,1945715.0,488771.2,1456943.8,UN,205880.728378
item:338929,1945715.0,177320.0,1768395.0,UN,381708.06075
item:426331,21402.86499999999,21402.86499999999,0.0,UN,0.0
item:693055,789960.2900000002,279380.6,510579.69,G,0
