item,type,source_stock_qty,source_stock_uom,sim_open_qty,sim_open_uom,scale,source_stock_value_eur,sim_open_value_eur,source_open_purchase_qty,source_open_purchase_value_eur,sim_open_purchase_qty,price,price_uom
item:001757,MP,8499654.0,G,2379.90312,KG,0.00028,46153.12122,12922.873941599999,8000000.0,43440.0,8000.0,5.43,KG
item:001848,MP,10262646.0,G,2873.54088,KG,0.00028,43103.11320000001,12068.871696,6000000.0,25200.0,6000.0,4.2,KG
item:001893,MP,9783.5,KG,2739.38,KG,0.28,45395.439999999995,12710.7232,0.0,0.0,0.0,4.64,KG
item:002612,MP,153521.63671875,KG,42986.058281,KG,0.27999999999837155,198810.51955078123,55666.94547389499,45000.0,58275.0,45000.0,1.295,KG
item:016332,MP,883020.0,G,247.2456,KG,0.00028,24389.0124,6828.923472,0.0,0.0,0.0,27.62,KG
item:029313,MP,226830.0,G,63.5124,KG,0.00028,469.5381,131.470668,0.0,0.0,0.0,2.07,KG
item:039668,MP,459695.0,G,128.7146,KG,0.00028,5612.875950000001,1571.605266,0.0,0.0,0.0,12.21,KG
item:049371,MP,4138930.0,G,1158.9004,KG,0.00028,60635.3245,16977.89086,19800000.0,290070.0,0.0,14.65,KG
item:055703,MP,569805.000976563,G,159.5454,KG,0.0002799999995201207,28034.406048046898,7849.633680000001,300000.0,14760.0,300.0,49.2,KG
item:099439,MP,4972616.0,G,1392.33248,KG,0.00028000000000000003,45598.88872,12767.6888416,0.0,0.0,0.0,9.17,KG
item:693055,MP,1010000.0,G,282800.0,G,0.28,0,0,0.0,0.0,0.0,,
item:007923,MP,55018980.0,G,15405.3144,KG,0.00028,119941.37640000002,33583.585392,19140000.0,41725.200000000004,0.0,2.18,KG
item:338928,Pack,404065.0,UN,113138.2,UN,0.27999999999999997,57098.425149999995,15987.559041999999,365033.0,51582.81323,365033.0,0.14131,UN
item:338929,Pack,354000.0,UN,99120.0,UN,0.28,76410.9,21395.052,57600.0,12432.96,57600.0,0.21585,UN
item:426331,Pack,24159.0,UN,6764.52,UN,0.28,12174.44487,3408.8445636,19200.0,9675.456,19200.0,0.50393,UN
