row,item,supplier,qty,uom,value_eur
58,item:049371,SDC-VD0518550B,1800000.0,G,26370.0
59,item:049371,SDC-VD0518550B,1800000.0,G,26370.0
60,item:049371,SDC-VD0518550B,1800000.0,G,26370.0
61,item:049371,SDC-VD0518550B,1800000.0,G,26370.0
62,item:049371,SDC-VD0518550B,1800000.0,G,26370.0
63,item:049371,SDC-VD0518550B,1800000.0,G,26370.0
64,item:049371,SDC-VD0518550B,1800000.0,G,26370.0
65,item:049371,SDC-VD0518550B,1800000.0,G,26370.0
66,item:049371,SDC-VD0518550B,1800000.0,G,26370.0
67,item:049371,SDC-VD0518550B,1800000.0,G,26370.0
68,item:049371,SDC-VD0518550B,1800000.0,G,26370.0
