day,node_id,item_id,produced_qty,cum_produced_qty,stock_end_of_day
38,M-1810,item:268091,0.0,302400.0,106313.85713
38,SDC-1450,item:773474,0.0,67200000.0,8130909.0
39,M-1430,item:268967,0.0,142250.0,0.0
39,M-1810,item:268091,0.0,302400.0,106313.85713
39,SDC-1450,item:773474,0.0,67200000.0,8130909.0
40,M-1430,item:268967,0.0,142250.0,0.0
40,M-1810,item:268091,0.0,302400.0,97450.387751
40,SDC-1450,item:773474,0.0,67200000.0,8130909.0
41,M-1430,item:268967,0.0,142250.0,0.0
41,M-1810,item:268091,0.0,302400.0,75707.367352
41,SDC-1450,item:773474,0.0,67200000.0,8130909.0
42,M-1430,item:268967,0.0,142250.0,0.0
42,M-1810,item:268091,0.0,302400.0,67088.877557
42,SDC-1450,item:773474,0.0,67200000.0,8130909.0
43,M-1430,item:268967,0.0,142250.0,0.0
43,M-1810,item:268091,0.0,302400.0,193010.081631
43,SDC-1450,item:773474,0.0,67200000.0,8130909.0
44,M-1430,item:268967,0.0,142250.0,0.0
44,M-1810,item:268091,0.0,302400.0,193010.081631
44,SDC-1450,item:773474,0.0,67200000.0,8130909.0
45,M-1430,item:268967,0.0,142250.0,0.0
45,M-1810,item:268091,0.0,302400.0,191951.469386
45,SDC-1450,item:773474,0.0,67200000.0,8130909.0
46,M-1430,item:268967,0.0,142250.0,0.0
46,M-1810,item:268091,0.0,302400.0,175247.510203
46,SDC-1450,item:773474,0.0,67200000.0,8130909.0
47,M-1430,item:268967,0.0,142250.0,0.0
47,M-1810,item:268091,0.0,302400.0,141872.244898
47,SDC-1450,item:773474,0.0,67200000.0,8130909.0
48,M-1430,item:268967,0.0,142250.0,0.0
48,M-1810,item:268091,0.0,302400.0,141872.244898
48,SDC-1450,item:773474,0.0,67200000.0,8130909.0
49,M-1430,item:268967,0.0,142250.0,0.0
49,M-1810,item:268091,0.0,302400.0,123214.32653
49,SDC-1450,item:773474,0.0,67200000.0,8130909.0
50,M-1430,item:268967,0.0,142250.0,0.0
50,M-1810,item:268091,0.0,302400.0,84807.224489
50,SDC-1450,item:773474,0.0,67200000.0,8130909.0
51,M-1430,item:268967,0.0,142250.0,0.0
51,M-1810,item:268091,0.0,302400.0,39742.897956
51,SDC-1450,item:773474,0.0,67200000.0,8130909.0
52,M-1430,item:268967,0.0,142250.0,0.0
52,M-1810,item:268091,0.0,302400.0,39742.897956
52,SDC-1450,item:773474,0.0,67200000.0,8130909.0
53,M-1430,item:268967,0.0,142250.0,0.0
53,M-1810,item:268091,0.0,302400.0,39742.897956
53,SDC-1450,item:773474,0.0,67200000.0,8130909.0
54,M-1430,item:268967,0.0,142250.0,0.0
54,M-1810,item:268091,0.0,302400.0,39742.897956
54,SDC-1450,item:773474,0.0,67200000.0,8130909.0
55,M-1430,item:268967,0.0,142250.0,0.0
55,M-1810,item:268091,0.0,302400.0,154092.102042
55,SDC-1450,item:773474,0.0,67200000.0,8130909.0
56,M-1430,item:268967,0.0,142250.0,0.0
56,M-1810,item:268091,0.0,302400.0,129164.714292
56,SDC-1450,item:773474,0.0,67200000.0,8130909.0
57,M-1430,item:268967,0.0,142250.0,0.0
57,M-1810,item:268091,0.0,302400.0,104294.183682
57,SDC-1450,item:773474,0.0,67200000.0,8130909.0
58,M-1430,item:268967,73350.0,215600.0,73350.0
58,M-1810,item:268091,0.0,302400.0,92054.755109
58,SDC-1450,item:773474,0.0,67200000.0,8130909.0
59,M-1430,item:268967,41650.0,257250.0,41650.0
59,M-1810,item:268091,0.0,302400.0,92054.755109
59,SDC-1450,item:773474,0.0,67200000.0,8130909.0
60,M-1430,item:268967,20000.0,277250.0,20000.0
60,M-1810,item:268091,0.0,302400.0,92054.755109
60,SDC-1450,item:773474,0.0,67200000.0,8130909.0
61,M-1430,item:268967,25000.0,302250.0,25000.0
61,M-1810,item:268091,0.0,302400.0,102993.081636
61,SDC-1450,item:773474,0.0,67200000.0,11330909.0
62,M-1430,item:268967,20330.188679,322580.188679,20330.188679
62,M-1810,item:268091,0.0,302400.0,94868.510202
62,SDC-1450,item:773474,0.0,67200000.0,11330909.0
63,M-1430,item:268967,0.0,322580.188679,0.0
63,M-1810,item:268091,0.0,302400.0,221466.63265
63,SDC-1450,item:773474,0.0,67200000.0,11330909.0
64,M-1430,item:268967,0.0,322580.188679,0.0
64,M-1810,item:268091,0.0,302400.0,340944.693872
64,SDC-1450,item:773474,0.0,67200000.0,11330909.0
65,M-1430,item:268967,0.0,322580.188679,0.0
65,M-1810,item:268091,0.0,302400.0,335163.061222
65,SDC-1450,item:773474,0.0,67200000.0,11330909.0
66,M-1430,item:268967,0.0,322580.188679,0.0
66,M-1810,item:268091,0.0,302400.0,335163.061222
66,SDC-1450,item:773474,0.0,67200000.0,11330909.0
67,M-1430,item:268967,0.0,322580.188679,0.0
67,M-1810,item:268091,0.0,302400.0,335163.061222
67,SDC-1450,item:773474,0.0,67200000.0,11330909.0
68,M-1430,item:268967,0.0,322580.188679,0.0
68,M-1810,item:268091,0.0,302400.0,335163.061222
68,SDC-1450,item:773474,0.0,67200000.0,11330909.0
69,M-1430,item:268967,0.0,322580.188679,0.0
69,M-1810,item:268091,0.0,302400.0,326041.510205
69,SDC-1450,item:773474,0.0,67200000.0,11330909.0
70,M-1430,item:268967,0.0,322580.188679,0.0
70,M-1810,item:268091,0.0,302400.0,306596.571432
70,SDC-1450,item:773474,0.0,67200000.0,11330909.0
71,M-1430,item:268967,819.811321,323400.0,819.811321
71,M-1810,item:268091,0.0,302400.0,277080.938782
71,SDC-1450,item:773474,0.0,67200000.0,11330909.0
72,M-1430,item:268967,107800.0,431200.0,107800.0
72,M-1810,item:268091,0.0,302400.0,266313.795922
72,SDC-1450,item:773474,0.0,67200000.0,11330909.0
73,M-1430,item:268967,107800.0,539000.0,107800.0
73,M-1810,item:268091,0.0,302400.0,266313.795922
73,SDC-1450,item:773474,0.0,67200000.0,11330909.0
74,M-1430,item:268967,107800.0,646800.0,107800.0
74,M-1810,item:268091,0.0,302400.0,266313.795922
74,SDC-1450,item:773474,0.0,67200000.0,11330909.0
75,M-1430,item:268967,0.0,646800.0,107800.0
75,M-1810,item:268091,0.0,302400.0,257181.102041
75,SDC-1450,item:773474,0.0,67200000.0,11330909.0
76,M-1430,item:268967,0.0,646800.0,107800.0
76,M-1810,item:268091,0.0,302400.0,295280.714282
76,SDC-1450,item:773474,0.0,67200000.0,11330909.0
77,M-1430,item:268967,0.0,646800.0,107800.0
77,M-1810,item:268091,0.0,302400.0,258932.673461
77,SDC-1450,item:773474,0.0,67200000.0,11330909.0
78,M-1430,item:268967,0.0,646800.0,107800.0
78,M-1810,item:268091,0.0,302400.0,231137.408155
78,SDC-1450,item:773474,0.0,67200000.0,11330909.0
79,M-1430,item:268967,0.0,646800.0,107800.0
79,M-1810,item:268091,0.0,302400.0,225357.612239
79,SDC-1450,item:773474,0.0,67200000.0,11330909.0
80,M-1430,item:268967,0.0,646800.0,107800.0
80,M-1810,item:268091,0.0,302400.0,225357.612239
80,SDC-1450,item:773474,0.0,67200000.0,11330909.0
81,M-1430,item:268967,0.0,646800.0,107800.0
81,M-1810,item:268091,0.0,302400.0,225357.612239
81,SDC-1450,item:773474,0.0,67200000.0,11330909.0
82,M-1430,item:268967,0.0,646800.0,107800.0
82,M-1810,item:268091,0.0,302400.0,225357.612239
82,SDC-1450,item:773474,0.0,67200000.0,11330909.0
83,M-1430,item:268967,0.0,646800.0,107800.0
83,M-1810,item:268091,0.0,302400.0,214199.285712
83,SDC-1450,item:773474,0.0,67200000.0,11330909.0
84,M-1430,item:268967,0.0,646800.0,107800.0
84,M-1810,item:268091,0.0,302400.0,189510.673471
84,SDC-1450,item:773474,0.0,67200000.0,11330909.0
85,M-1430,item:268967,0.0,646800.0,107800.0
85,M-1810,item:268091,0.0,302400.0,162347.816328
85,SDC-1450,item:773474,0.0,67200000.0,11330909.0
86,M-1430,item:268967,0.0,646800.0,107800.0
86,M-1810,item:268091,0.0,302400.0,146138.714283
86,SDC-1450,item:773474,0.0,67200000.0,11330909.0
87,M-1430,item:268967,0.0,646800.0,107800.0
87,M-1810,item:268091,0.0,302400.0,146138.714283
87,SDC-1450,item:773474,0.0,67200000.0,11330909.0
88,M-1430,item:268967,0.0,646800.0,107800.0
88,M-1810,item:268091,0.0,302400.0,146138.714283
88,SDC-1450,item:773474,0.0,67200000.0,11330909.0
89,M-1430,item:268967,0.0,646800.0,107800.0
89,M-1810,item:268091,0.0,302400.0,146138.714283
89,SDC-1450,item:773474,0.0,67200000.0,11330909.0
90,M-1430,item:268967,0.0,646800.0,107800.0
90,M-1810,item:268091,0.0,302400.0,146138.714283
90,SDC-1450,item:773474,0.0,67200000.0,11330909.0
91,M-1430,item:268967,0.0,646800.0,107800.0
91,M-1810,item:268091,0.0,302400.0,146138.714283
91,SDC-1450,item:773474,0.0,67200000.0,11330909.0
92,M-1430,item:268967,0.0,646800.0,107800.0
92,M-1810,item:268091,0.0,302400.0,146138.714283
92,SDC-1450,item:773474,0.0,67200000.0,11330909.0
93,M-1430,item:268967,0.0,646800.0,107800.0
93,M-1810,item:268091,0.0,302400.0,287933.714283
93,SDC-1450,item:773474,0.0,67200000.0,11330909.0
94,M-1430,item:268967,0.0,646800.0,107800.0
94,M-1810,item:268091,0.0,302400.0,285988.387749
94,SDC-1450,item:773474,0.0,67200000.0,11330909.0
95,M-1430,item:268967,0.0,646800.0,107800.0
95,M-1810,item:268091,0.0,302400.0,278219.122442
95,SDC-1450,item:773474,0.0,67200000.0,11330909.0
96,M-1430,item:268967,0.0,646800.0,107800.0
96,M-1810,item:268091,0.0,302400.0,275907.571422
96,SDC-1450,item:773474,0.0,67200000.0,11330909.0
97,M-1430,item:268967,0.0,646800.0,101430.734691
97,M-1810,item:268091,0.0,302400.0,253936.326528
97,SDC-1450,item:773474,0.0,67200000.0,11330909.0
98,M-1430,item:268967,0.0,646800.0,88457.551016
98,M-1810,item:268091,0.0,302400.0,232578.142858
98,SDC-1450,item:773474,0.0,67200000.0,11330909.0
99,M-1430,item:268967,0.0,646800.0,75156.673467
99,M-1810,item:268091,0.0,302400.0,232578.142858
99,SDC-1450,item:773474,0.0,67200000.0,11330909.0
100,M-1430,item:268967,0.0,646800.0,55065.795919
100,M-1810,item:268091,0.0,302400.0,232471.999998
100,SDC-1450,item:773474,0.0,67200000.0,11330909.0
101,M-1430,item:268967,0.0,646800.0,55065.795919
101,M-1810,item:268091,0.0,302400.0,222635.265302
101,SDC-1450,item:773474,0.0,67200000.0,11330909.0
102,M-1430,item:268967,0.0,646800.0,55065.795919
102,M-1810,item:268091,0.0,302400.0,202170.775504
