node_id,status,method,legacy_key,location_ID,lat,lon
M-1430,geocoded,legacy_id_map,M - D1430,France - GIEN - 45500,47.7,2.633333
M-1810,geocoded,legacy_id_map,M - D1810,France - AVENE - 34260,43.756966,3.09923
DC-1920,geocoded,legacy_id_map,DC - 1920,France - MURET - 31600,43.466667,1.35
SDC-VD0520132A,geocoded,legacy_id_map,SDC - VD0520132A,France - CERGY PONTOISE - 95892,49.034,2.063
SDC-VD0914690A,geocoded,legacy_id_map,SDC - VD0914690A,Belgique - BORNEM - 2880,51.099606,4.240459
DC-1450,geocoded,legacy_id_map,SDC - D1450,France - GAILLAC - 81600,43.901816,1.896506
SDC-VD0525412A,geocoded,legacy_id_map,SDC - VD0525412A,France - CHAMPNIERS - 16430,45.716671,0.196451
SDC-VD0993480A,geocoded,legacy_id_map,SDC - VD0993480A,France - CONDE SUR NOIREAU - 14110,48.853,-0.55
SDC-VD0520115A,geocoded,legacy_id_map,SDC - VD0520115A,Allemagne - HEILIGENROTH - 56412,50.448501,7.863068
SDC-VD0508918A,geocoded,legacy_id_map,SDC - VD0508918A,France - LA FERTE BERNARD - 72400,48.183331,0.66667
SDC-VD1095770A,geocoded,legacy_id_map,SDC - VD1095770A,France - CHATEAUNEUF LA FORET - 87130,45.713108,1.606463
SDC-VD0951020A,geocoded,legacy_id_map,SDC - VD0951020A,France - MONTREUIL - 93100,48.863812,2.448451
SDC-VD0519670A,geocoded,legacy_id_map,SDC - VD0519670A,France - ST SULPICE - 81370,43.773,1.687
SDC-VD0518684A,geocoded,legacy_id_map,SDC - VD0518684A,Allemagne - HAMBURG - 20095,53.550848,9.999304
SDC-VD0910216A,geocoded,legacy_id_map,SDC - VD0910216A,France - LYON - 69005,45.7611,4.8268
SDC-VD1091642A,geocoded,legacy_id_map,SDC - VD1091642A,France - VENETTE - 60280,49.41595,2.800696
SDC-VD0500655A,geocoded,legacy_id_map,SDC - VD0500655A,Germany - EMMERICH - 46446,51.839593,6.25173
SDC-VD0990780A,geocoded,legacy_id_map,SDC - VD0990780A,Italie - CARASCO GE - 16042,44.3504,9.3466
SDC-VD0514881A,geocoded,legacy_id_map,SDC - VD0514881A,Suède - GÖTEBORG - 402 58,57.7072,11.9668
SDC-VD1096202A,geocoded,legacy_id_map,SDC - VD1096202A,France - FONTENAY SOUS BOIS - 94120,48.851542,2.475907
SDC-VD0914320A,geocoded,legacy_id_map,SDC - VD0914320A,France - PEYPIN - 13124,43.384147,5.577433
SDC-VD0964290A,geocoded,legacy_id_map,SDC - VD0964290A,France - FONTENAY SOUS BOIS - 94120,48.851542,2.475907
SDC-VD0505677A,geocoded,legacy_id_map,SDC - VD0505677A,Germany - LUDWIGSHAFEN - 67056,49.4949,8.434
SDC-VD0901566A,geocoded,legacy_id_map,SDC - VD0901566A,France - SAINTE MENEHOULD - 51800,49.090822,4.892978
SDC-VD0914360C,geocoded,legacy_id_map,SDC - VD0914360C,France - CHAZELLES - 16380,45.64714,0.367019
SDC-VD0989480A,geocoded,legacy_id_map,SDC - VD0989480A,France - EXIDEUIL-SUR-VIENNE - 16150,45.886926,0.673743
C-XXXXX,geocoded,legacy_id_map,C - XXXXX,None,48.866667,2.333333
DC-1910,geocoded,legacy_id_map,DC - 1910,None,43.466667,1.35
SDC-1450,geocoded,legacy_id_map,SDC - D1450,France - GAILLAC - 81600,43.901816,1.896506
SDC-VD0949099A,geocoded,country_centroid,None,USA - NC BOONE - 28607,39.8283,-98.5795
SDC-VD0960508A,geocoded,country_centroid,None,USA - 9664 DURHAM - 27704,39.8283,-98.5795
SDC-VD0972460A,geocoded,country_centroid,None,USA - FELDA - 33930,39.8283,-98.5795
SDC-VD0975221A,geocoded,country_centroid,None,USA - FORT PIEERCE FL - 34947,39.8283,-98.5795
