node_id,item_id,item_label,safety_time_days,review_period_days,first_arrival_day,first_need_day,first_planned_receipt_day,first_actual_arrival_day,min_delta_need_minus_arrival_days,is_safety_respected,order_count,initial_stock_source_qty,day0_stock_before_production_qty,day0_arrivals_qty,max_bn_qty,max_target_stock_qty,max_target_with_backlog_qty,comment
M-1430,item:038005,038005,20.0,1,1890,1910,1890,130,20.0,1,1,37598.5325,37598.5325,0.0,0.0,347638.630416,347638.630416,conforme: reception planifiee avant le jour de besoin de couverture
M-1430,item:042342,042342,5.0,1,314,319,314,20,5.0,1,14,78749996.0,78749996.0,0.0,36646560.4,176560692.0,176560692.0,conforme: reception planifiee avant le jour de besoin de couverture
M-1430,item:333362,333362,10.0,1,749,759,749,1,10.0,1,52,142250.0,142250.0,0.0,89950.0,7854000.0,7854000.0,conforme: reception planifiee avant le jour de besoin de couverture
M-1430,item:344135,344135,10.0,1,551,561,551,1,10.0,1,46,0.0,0.0,0.0,418200.0,4620000.0,4620000.0,conforme: reception planifiee avant le jour de besoin de couverture
M-1430,item:708073,708073,10.0,1,,,,37,,0,0,10326.88,10326.88,0.0,0.0,30530.5,30530.5,pas d'ordre: pas de besoin net observe
M-1430,item:730384,730384,10.0,1,795,805,795,60,10.0,1,2,68387.0,68387.0,0.0,229883.4,1567104.0,1567104.0,conforme: reception planifiee avant le jour de besoin de couverture
M-1430,item:734545,734545,10.0,1,446,456,446,25,10.0,1,7,1641.0,1641.0,0.0,5672.6,23408.0,23408.0,conforme: reception planifiee avant le jour de besoin de couverture
M-1430,item:773474,773474,20.0,1,692,712,692,1,20.0,1,46,14593000.0,14593000.0,0.0,0.0,14868265.72,14868265.72,conforme: reception planifiee avant le jour de besoin de couverture
M-1810,item:001757,001757,20.0,1,733,753,733,1,20.0,1,182,8499.654,8499.654,0.0,277.5216,23470.1292,23470.1292,conforme: reception planifiee avant le jour de besoin de couverture
M-1810,item:001848,001848,20.0,1,19,39,19,19,20.0,1,7,10262.646,10262.646,0.0,10367.6553,20577.6837,20577.6837,conforme: reception planifiee avant le jour de besoin de couverture
M-1810,item:001893,001893,15.0,1,37,52,37,37,15.0,1,7,9783.5,9783.5,0.0,20688.5308,119334.0372,119334.0372,conforme: reception planifiee avant le jour de besoin de couverture
M-1810,item:002612,002612,20.0,1,1095,1115,1095,1095,20.0,1,1,153521.636719,153521.636719,0.0,21485.52,153521.636719,153521.636719,conforme: reception planifiee avant le jour de besoin de couverture
M-1810,item:016332,016332,7.0,1,471,478,471,51,7.0,1,6,883.02,883.02,0.0,1125.95048,4165.12152,4165.12152,conforme: reception planifiee avant le jour de besoin de couverture
M-1810,item:029313,029313,7.0,1,1113,1120,1113,62,7.0,1,2,226.83,226.83,0.0,302.9868,396.67824,396.67824,conforme: reception planifiee avant le jour de besoin de couverture
M-1810,item:039668,039668,7.0,1,1154,1161,1154,1154,7.0,1,1,459.695,459.695,0.0,443.74176,459.695,459.695,conforme: reception planifiee avant le jour de besoin de couverture
M-1810,item:049371,049371,40.0,1,1540,1580,1540,153,40.0,1,4,4138.93,4138.93,0.0,0.0,37610.05563,37610.05563,conforme: reception planifiee avant le jour de besoin de couverture
M-1810,item:055703,055703,30.0,1,680,710,680,50,30.0,1,4,569.805001,569.805001,0.0,285.460379,942.11082,942.11082,conforme: reception planifiee avant le jour de besoin de couverture
M-1810,item:099439,099439,7.0,1,277,284,277,39,7.0,1,7,4972.616,4972.616,0.0,4381.435,12396.195,12396.195,conforme: reception planifiee avant le jour de besoin de couverture
M-1810,item:338928,338928,10.0,1,458,468,458,1,10.0,1,493,404065.0,404065.0,0.0,137985.0,12009450.0,12009450.0,conforme: reception planifiee avant le jour de besoin de couverture
M-1810,item:338929,338929,10.0,1,352,362,352,1,10.0,1,857,354000.0,354000.0,0.0,119400.0,7327800.0,7327800.0,conforme: reception planifiee avant le jour de besoin de couverture
M-1810,item:426331,426331,7.0,1,268,275,268,32,7.0,1,9,24159.0,24159.0,0.0,19668.45,55976.25,55976.25,conforme: reception planifiee avant le jour de besoin de couverture
M-1810,item:693055,693055,20.0,1,682,702,682,1,20.0,1,681,1010000.0,1010000.0,0.0,46772.1,4875836.7,4875836.7,conforme: reception planifiee avant le jour de besoin de couverture
M-1810,item:693710,693710,15.0,1,2,17,2,2,15.0,1,2403,55018.98,55018.98,0.0,322.872594,55018.98,55018.98,conforme: reception planifiee avant le jour de besoin de couverture
SDC-1450,item:021081,021081,0.0,1,54,54,54,54,0.0,1,296,1142100.0,1142100.0,0.0,12608.0,1142100.0,1142100.0,conforme: reception planifiee avant le jour de besoin de couverture
