policy_label,material_main,material_biosourced,material_backup,inbound_main,inbound_biosourced,inbound_backup,production_energy,outbound_transport,storage,scrap,total
Reference 2045,68545.10214006958,0.0,35714.41759744629,2937.1369085800397,0.0,5329.739610649068,13865.978059059096,8265.05080813116,1424.3421214910095,4811.287720360929,140893.05496578716
Stock de resilience,66064.56556158658,0.0,39541.92173829201,2835.7067504384136,0.0,5900.026305254384,14004.413949684069,8265.05080813116,1774.3295738513073,4801.594993011977,143187.6096802499
Autonomie energetique,70698.63072533334,0.0,36128.827714984785,3033.2303477119485,0.0,5403.072476793056,12928.293546205097,8265.05080813116,1595.1899334807863,4399.415340251978,142451.71089289215
Adaptation integree,66050.35270397447,0.0,43615.38905004005,2835.5477711704543,0.0,6513.816378286488,12726.328847680501,8265.05080813116,2015.6668354216965,4118.271356304886,146140.42375100972
Lean expose,70738.76039542664,0.0,31539.545883787996,3027.825084730591,0.0,4707.900160757771,15091.106115901102,13874.207656516573,740.1248073201693,6077.545532594158,145797.015637035
