month_index,material,inbound_transport,energy,storage,outbound_transport,backlog_penalty,adaptation_capex,total,policy_label
1,827.8197333333333,45.005919999999996,14.465319896726696,27.734204625555552,109.8036,0.0,63.8,1088.6287778556155,Reference 2045
2,865.216719518682,46.985850584871045,15.397405680976247,20.98826676506583,114.6022052785729,0.0,63.8,1126.990447828168,Reference 2045
3,894.485798297347,48.52046252619022,15.643464539886855,14.084964848171959,118.31228135604559,0.0,63.8,1154.8469715676415,Reference 2045
4,906.9871829492589,49.14313894250991,15.559486348427788,8.561246660601764,119.80236050209206,0.0,63.8,1163.8534154028905,Reference 2045
5,899.8428255493033,48.701196027803654,15.337626477625316,13.6080701479156,118.68689260739013,0.0,63.8,1159.976610810038,Reference 2045
6,1043.5793707189364,66.82573843517343,15.774682141389214,14.39603878841078,115.56979101575315,0.0,63.8,1319.945621099663,Reference 2045
7,841.6343890949958,45.44873235412733,15.755288869434896,15.16376947114652,111.07010714931464,0.0,63.8,1092.8722869390192,Reference 2045
8,807.0708594618608,43.53354867302987,14.450967680945498,15.664226973452408,106.21571065423953,0.0,63.8,1050.735313443528,Reference 2045
9,782.0994345911356,42.139505002442256,13.1667379040635,15.86852991568933,102.58169158448148,0.0,63.8,1019.6558989978122,Reference 2045
10,774.6471163179916,41.69148552301255,13.07448019390203,11.18992855339488,101.46290460251046,0.0,63.8,1005.8659151908115,Reference 2045
11,787.1092049960831,42.31510301547318,13.416360138388576,10.519438045502904,102.95202326200724,0.0,63.8,1020.1121294574549,Reference 2045
12,817.0824606238666,43.87773412134025,14.134045556497174,13.95119270446197,106.72429790484951,0.0,63.8,1059.5697309110155,Reference 2045
13,1015.8263504058293,64.09408901729485,15.148665316913887,13.181256957140143,112.02466182174683,0.0,63.8,1284.075023518925,Reference 2045
14,896.9449805071645,48.059883226456265,15.476019399248012,12.56193526939091,116.83186009495667,0.0,63.8,1153.6746784972163,Reference 2045
15,926.8675199680806,49.60840629737713,15.841579746329046,12.340405371459687,120.56290116536802,0.0,63.8,1189.0208125486145,Reference 2045
16,939.6388552301256,50.23659715481172,15.895642601313604,12.58780591827916,122.05583096234311,0.0,63.8,1204.2147318668733,Reference 2045
17,932.3203704836352,49.79055690359307,15.517655983745527,8.952990759689165,120.93869333721463,0.0,63.8,1191.3202674678776,Reference 2045
18,907.7125698664962,48.42321812822482,16.117554909017038,14.069453764284338,117.82732285903116,0.0,63.8,1167.9501195270536,Reference 2045
19,1037.0775498665603,65.18988567492852,16.123385297259478,14.834775179663358,113.32010382500305,0.0,63.8,1310.3456998434149,Reference 2045
20,837.8110359516282,44.59653493404678,14.804186208636574,15.338529700605362,108.45755939953251,0.0,63.8,1084.8078461944494,Reference 2045
21,812.3976151798163,43.196635842134015,13.462047572904469,15.54765964141471,104.8066339508913,0.0,63.8,1053.2105921871607,Reference 2045
22,804.809810209205,42.746612686192464,13.460822548889746,15.39603471496037,103.68617723849371,0.0,63.8,1043.8994573977411,Reference 2045
23,817.503208848362,43.37365095976744,13.718819728891937,10.513501447830897,105.17814654891912,0.0,63.8,1054.0873275337715,Reference 2045
24,847.9175930466729,44.938558523573924,14.41731581302227,13.752709539116111,108.94294585510701,0.0,63.8,1093.7691227774922,Reference 2045
25,1047.5895962157454,64.85986417506386,15.43629574465419,12.976999911697527,114.25275975560652,0.0,63.8,1318.9155158027675,Reference 2045
26,929.2441717356639,49.142359202576955,15.760860228590527,12.354572869251761,119.06855102345334,0.0,63.8,1189.3705150595365,Reference 2045
27,959.8241812204042,50.704852696179096,16.144817578361703,12.126891124936956,122.820606497703,0.0,63.8,1225.421349117585,Reference 2045
28,972.8268264435146,51.33646433472803,16.198793150962693,12.368549528890954,124.3163869456067,0.0,63.8,1240.847020403703,Reference 2045
29,965.3728549995571,50.88842040699756,15.822023511894404,8.8350530222759,123.1975795900517,0.0,63.8,1227.9159315307766,Reference 2045
30,940.2887547263283,49.51302852748736,16.482333459781632,13.887882287795701,120.09197787172143,0.0,63.8,1204.0639768731144,Reference 2045
31,1070.6285636402538,66.1178504232493,16.498207304029236,14.651694871661427,115.5772236701038,0.0,63.8,1347.2735399092976,Reference 2045
32,869.1227948771322,45.667871698567446,15.163589092716355,15.158165357999739,110.70653131423784,0.0,63.8,1119.6189523406535,Reference 2045
33,843.2707353500866,44.26226930944084,13.761319399888007,15.371778796341209,107.03866184031362,0.0,63.8,1087.5047646960702,Reference 2045
34,835.5474436820085,43.81024247698745,13.760345890942158,15.224836654242448,105.91653539748955,0.0,63.8,1078.0594041016702,Reference 2045
35,848.4721522822309,44.44070153167677,14.020488250570127,10.415459971073272,107.41135535884356,0.0,63.8,1088.5601573943945,Reference 2045
36,879.3625974895398,46.00986376569037,14.70767982589295,13.578408866537753,111.1735531380753,0.0,63.8,1128.6321030857362,Reference 2045
37,1080.985450263429,65.76251468992291,15.72513129256113,12.797471402153501,116.48789380157913,0.0,63.8,1355.5584614496454,Reference 2045
38,962.1722657740586,50.23630533891214,16.056195305980715,12.172372444345973,121.31958778242678,0.0,63.8,1225.7567266457243,Reference 2045
39,993.3557820543177,51.80980172259613,16.44961197556256,11.938537851491754,125.08539735305051,0.0,63.8,1262.4391309570183,Reference 2045
40,1006.5897372384939,52.44483414225942,16.503483051947043,12.173619309876594,126.58402845188286,0.0,63.8,1278.0957021944598,Reference 2045
41,999.000279097069,51.9947865380171,16.127355981064703,8.712572884385366,125.46355136590131,0.0,63.8,1265.0985458664375,Reference 2045
42,973.4361719973505,50.6111842538343,16.849593240443507,13.70179378542891,122.36375605382398,0.0,63.8,1240.7624993308812,Reference 2045
43,1088.7450743886075,66.04170184584439,20.73812253661648,15.012839094673668,111.39478370351307,29.083840384937254,63.8,1394.816361954192,Reference 2045
44,949.9488179115255,49.28689351568613,18.87924941746643,14.871220160973111,120.62765370956147,0.0,63.8,1217.4138347152125,Reference 2045
45,874.7187951019473,45.33640540436272,14.05798211455873,14.901096126399052,109.27777525274853,0.0,63.8,1122.0920540000163,Reference 2045
46,866.8600167364016,44.88237489539748,14.06004852670568,14.89694224428821,108.1539790794979,0.0,63.8,1112.6533614822908,Reference 2045
47,880.0160352976897,45.51625473120116,14.328215707260332,10.45158306057719,109.65164969178056,0.0,63.8,1123.7637384885088,Reference 2045
48,911.4554456903767,47.09353546443514,15.016779920633866,13.60922070252995,113.42061288702929,0.0,63.8,1164.3955946650049,Reference 2045
49,1115.627453951594,66.75328295268673,16.02199417421992,12.824054610745577,118.73006395966456,0.0,63.8,1393.756849648911,Reference 2045
50,995.7298410041841,51.34163849372385,16.367892264892244,12.196199057644037,123.58469874476988,0.0,63.8,1263.020269565214,Reference 2045
51,1027.4623224698214,52.923253376628224,16.761933401462016,11.95718834454615,127.35727373141059,0.0,63.8,1300.2619713238685,Reference 2045
52,1040.9275876150627,53.561706577405864,16.815671656677175,12.184265395758526,128.85875548117156,0.0,63.8,1316.1479867260757,Reference 2045
53,1033.202642776171,53.10965529665171,16.43984365638191,8.77834382505628,127.73660866476351,0.0,63.8,1303.0670942190243,Reference 2045
54,1007.1546765763868,51.71768316137363,17.22724026187226,13.704897674739666,124.64265740533887,0.0,63.8,1278.2471550797113,Reference 2045
55,1139.389206092669,68.00874121408984,17.264273080858068,14.464720720986902,120.11283286854221,0.0,63.8,1423.039773977146,Reference 2045
56,933.4604796226438,47.83558815455184,15.89768917694369,14.975932443115404,115.22584465188535,0.0,63.8,1191.19553404914,Reference 2045
57,906.7417944353975,46.419044126899664,14.36890676231831,15.197752322281016,111.52397418819596,0.0,63.8,1158.0514718350923,Reference 2045
58,905.2858739076837,49.316938527122176,15.279015243004363,17.147017988052678,78.68685160209887,144.19199999999995,63.8,1273.7076972679617,Reference 2045
