month_index,year,month,warming,temp_c,humidity_pct,precip_mm,wind_ms,heat_index_c,heat_anomaly,dry_anomaly,storm_anomaly,heatwave,drought,heat_stress,cold_stress,storm_stress,scarcity,climate_event,demand,grid_factor,grid_price,main_material_ef,main_material_cost,inbound_main_ef,inbound_main_cost,truck_ef,truck_cost,air_ef,air_cost,solar_factor,biomass_factor,main_supply_availability,backup_supply_availability,base_capacity
1,2026,1,0.0,1.0,77.0,94.65247584249853,5.152627944162883,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.1,aucun,18.074666666666666,0.5233333333333333,0.14450000000000002,18.28,45.8,0.756,2.4899999999999998,1.75,6.075,9.6,24.12,0.35000000000000003,0.85,0.985,0.965,34.5
2,2026,2,0.008368200836820083,2.7500379516391167,75.66025403784438,99.84661307031165,4.75,2.7500379516391167,0.0,0.0,0.0,0.0,0.0,0.0,0.020830170696740275,0.0,0.10117154811715481,aucun,18.861832447795088,0.51924505529678,0.1423358835227942,18.279933054393304,45.8712970711297,0.7560702928870293,2.4910543933054394,1.7485355648535565,6.075878661087867,9.59539748953975,24.121405857740587,0.3901923788646684,0.85,0.9843305439330544,0.9646652719665272,34.51129707112971
3,2026,3,0.016736401673640166,7.51673640167364,72.0,97.57927281399283,4.2,7.51673640167364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10234309623430964,aucun,19.4696406460551,0.5176569037656904,0.1420468619246862,18.27986610878661,45.942594142259416,0.7561405857740586,2.4921087866108786,1.7470711297071129,6.076757322175732,9.590794979079497,24.12281171548117,0.5,0.85,0.9836610878661087,0.9643305439330544,34.522594142259415
4,2026,4,0.02510460251046025,14.02510460251046,67.0,88.45798706418924,3.6500000000000004,14.02510460251046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10351464435146444,aucun,19.712,0.5164853556485356,0.1420702928870293,18.279799163179916,46.01389121338912,0.7562108786610878,2.493163179916318,1.7456066945606694,6.077635983263598,9.586192468619247,24.124217573221756,0.65,0.85,0.9829916317991632,0.9639958158995816,34.53389121338912
5,2026,5,0.03347280334728033,20.53347280334728,62.0,74.9267969714943,3.2473720558371175,20.53347280334728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10468619246861925,aucun,19.525640646055102,0.5153138075313808,0.1420937238493724,18.279732217573223,46.08518828451883,0.7562811715481171,2.494217573221757,1.744142259414226,6.078514644351465,9.581589958158995,24.125623430962342,0.7999999999999999,0.85,0.9823221757322176,0.9636610878661087,34.54518828451883
6,2026,6,0.04184100418410042,25.300171253381805,58.33974596215561,60.61137399387759,3.1,26.367350930354252,0.0,0.0,0.0,0.0,0.0,0.1315194961307918,0.0,0.0,0.10585774058577406,aucun,19.010086238761854,0.514142259414226,0.1467203371762932,18.27966527196653,46.156485355648535,0.7563514644351464,2.4952719665271967,1.7426778242677825,6.07939330543933,9.576987447698745,24.12702928870293,0.9098076211353316,0.85,0.9816527196652719,0.9633263598326359,34.55648535564853
7,2026,7,0.0502092050209205,27.05020920502092,57.0,49.347524157501475,3.2473720558371175,28.01020920502092,0.0,0.0,0.0,0.0,0.0,0.22278940027894004,0.0,0.0,0.10702928870292888,aucun,18.267292608089264,0.5129707112970712,0.1499382147838215,18.27959832635983,46.22778242677824,0.7564217573221758,2.496326359832636,1.7412133891213388,6.080271966527197,9.572384937238493,24.128435146443515,0.95,0.85,0.9809832635983263,0.9629916317991631,34.567782426778244
8,2026,8,0.058577405857740586,25.316907655055445,58.33974596215561,44.15338692968835,3.6499999999999995,26.384087332027892,0.0,0.0,0.0,0.0,0.0,0.1324492962237718,0.0,0.0,0.10820083682008369,aucun,17.466383774791606,0.5117991631799164,0.14679974210423372,18.279531380753138,46.299079497907954,0.7564920502092051,2.497380753138075,1.7397489539748954,6.081150627615063,9.567782426778242,24.1298410041841,0.9098076211353316,0.85,0.9803138075313808,0.9626569037656904,34.57907949790795
9,2026,9,0.06694560669456066,20.566945606694564,61.99999999999999,46.42072718600717,4.2,20.566945606694564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1093723849372385,aucun,16.866359353944897,0.5106276150627616,0.14218744769874478,18.279464435146444,46.37037656903766,0.7565623430962343,2.4984351464435144,1.738284518828452,6.082029288702929,9.563179916317992,24.131246861924687,0.8000000000000002,0.85,0.9796443514644352,0.9623221757322176,34.59037656903766
10,2026,10,0.07531380753138076,14.075313807531382,67.0,55.542012935810746,4.75,14.075313807531382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1105439330543933,aucun,16.68,0.5094560669456067,0.1422108786610879,18.27939748953975,46.441673640167366,0.7566326359832636,2.499489539748954,1.7368200836820085,6.082907949790795,9.55857740585774,24.132652719665273,0.65,0.85,0.9789748953974895,0.9619874476987448,34.60167364016736
