policy_label,method,total_kgCO2e
Reference 2045,Classical LCA,122715.49884019338
Reference 2045,Time-Dependent DLCA,122277.45722343883
Reference 2045,State-Dependent Dynamic LCA,138401.4037884472
Stock de resilience,Classical LCA,123326.32513254344
Stock de resilience,Time-Dependent DLCA,122872.8175997998
Stock de resilience,State-Dependent Dynamic LCA,140344.6326645804
Autonomie energetique,Classical LCA,124209.87370700855
Autonomie energetique,Time-Dependent DLCA,123943.27994902985
Autonomie energetique,State-Dependent Dynamic LCA,139710.42049013998
Adaptation integree,Classical LCA,125027.48392456309
Adaptation integree,Time-Dependent DLCA,124798.94145577848
Adaptation integree,State-Dependent Dynamic LCA,142896.05200038405
Lean expose,Classical LCA,120457.22613542617
Lean expose,Time-Dependent DLCA,119967.50912849976
Lean expose,State-Dependent Dynamic LCA,134759.85207718326
