capacity_node_scale_json,case_input,case_output_dir,category,demand_item_scale_json,description,error,factors_json,kpi::avg_inventory,kpi::cost_share_holding,kpi::cost_share_purchase,kpi::cost_share_transport,kpi::ending_backlog,kpi::ending_inventory,kpi::fill_rate,kpi::total_arrived,kpi::total_cost,kpi::total_demand,kpi::total_external_procured_arrived_qty,kpi::total_external_procured_ordered_qty,kpi::total_external_procured_qty,kpi::total_external_procured_rejected_qty,kpi::total_external_procurement_cost,kpi::total_holding_cost,kpi::total_logistics_cost,kpi::total_opening_stock_bootstrap_qty,kpi::total_produced,kpi::total_purchase_cost,kpi::total_served,kpi::total_shipped,kpi::total_transport_cost,kpi::total_unreliable_loss_qty,mutators_json,policy::review_period_days,policy::safety_stock_days,scenario_id,status
{},etudecas/simulation/sensibility/shock_campaign_result/cases/baseline/input_case.json,etudecas/simulation/sensibility/shock_campaign_result/cases/baseline/simulation_output,reference,{},Reference run.,,{},22701.7116,0.75786,0.10459,0.137549,81.8736,14655.5045,0.945418,37280.0003,28723.7188,1500.0,49149.966,53342.633,53342.633,19998.7226,3999.8027,21768.5663,25719.4932,29870.366,1425.1456,3004.2256,1418.1264,55453.5434,3950.9269,0.0,[],1.0,7.0,baseline,ok
{},etudecas/simulation/sensibility/shock_campaign_result/cases/demand_scale_down/input_case.json,etudecas/simulation/sensibility/shock_campaign_result/cases/demand_scale_down/simulation_output,single_factor_global,{},demand_scale -> 0.8,,"{""demand_scale"": 0.8}",24987.8318,0.802075,0.08495,0.112974,0.0,16126.1019,1.0,29154.3903,29422.2698,1200.0,42195.4324,44013.8373,44013.8373,10767.6219,3320.2994,23598.8773,26922.8416,29870.366,1199.0083,2499.4282,1200.0,47705.6394,3323.9643,0.0,[],1.0,7.0,demand_scale_down,ok
{},etudecas/simulation/sensibility/shock_campaign_result/cases/demand_scale_up/input_case.json,etudecas/simulation/sensibility/shock_campaign_result/cases/demand_scale_up/simulation_output,single_factor_global,{},demand_scale -> 1.2,,"{""demand_scale"": 1.2}",21880.2798,0.741612,0.111648,0.14674,270.0255,14348.0922,0.849986,40111.2328,28288.9352,1800.0,51335.3281,56269.1829,56269.1829,22224.3578,4215.4375,20979.4139,25130.5433,29870.366,1496.9745,3158.3919,1529.9745,57957.9486,4151.1293,0.0,[],1.0,7.0,demand_scale_up,ok
{},etudecas/simulation/sensibility/shock_campaign_result/cases/demand_scale_up_severe/input_case.json,etudecas/simulation/sensibility/shock_campaign_result/cases/demand_scale_up_severe/simulation_output,single_factor_global,{},demand_scale -> 1.4,,"{""demand_scale"": 1.4}",21829.3645,0.740634,0.112061,0.147306,567.0,14327.9037,0.73,40238.7717,28251.5091,2100.0,51399.8026,56469.5564,56469.5564,22259.9154,4228.6914,20924.0178,25085.6294,29870.366,1500.0,3165.8797,1533.0,58033.1003,4161.6116,0.0,[],1.0,7.0,demand_scale_up_severe,ok
{},etudecas/simulation/sensibility/shock_campaign_result/cases/lead_time_scale_down/input_case.json,etudecas/simulation/sensibility/shock_campaign_result/cases/lead_time_scale_down/simulation_output,single_factor_global,{},lead_time_scale -> 0.8,,"{""lead_time_scale"": 0.8}",20091.8859,0.733129,0.115229,0.151642,3.96,19388.2786,0.99736,47766.3817,26078.2981,1500.0,49149.966,53342.633,53342.633,19998.7226,3999.8027,19118.7643,23073.3225,24269.6724,1425.1456,3004.9756,1496.04,55528.5434,3954.5581,0.0,[],1.0,7.0,lead_time_scale_down,ok
{},etudecas/simulation/sensibility/shock_campaign_result/cases/lead_time_scale_up/input_case.json,etudecas/simulation/sensibility/shock_campaign_result/cases/lead_time_scale_up/simulation_output,single_factor_global,{},lead_time_scale -> 1.3,,"{""lead_time_scale"": 1.3}",26516.9156,0.786694,0.092124,0.121182,263.3528,26327.6479,0.824431,41328.073,32613.2516,1500.0,49149.966,53342.633,53342.633,19998.7226,3999.8027,25656.6386,29608.776,37337.9575,1425.1456,3004.4756,1236.6472,55478.5434,3952.1373,0.0,[],1.0,7.0,lead_time_scale_up,ok
{},etudecas/simulation/sensibility/shock_campaign_result/cases/lead_time_scale_up_severe/input_case.json,etudecas/simulation/sensibility/shock_campaign_result/cases/lead_time_scale_up_severe/simulation_output,single_factor_global,{},lead_time_scale -> 1.6,,"{""lead_time_scale"": 1.6}",33210.2701,0.824525,0.075864,0.099611,382.6047,27899.9423,0.74493,33243.6901,39576.94,1500.0,49149.966,53342.633,53342.633,19998.7226,3999.8027,32632.1817,36574.4937,46672.4469,1425.1456,3002.4462,1117.3953,55275.6074,3942.312,0.0,[],1.0,7.0,lead_time_scale_up_severe,ok
{},etudecas/simulation/sensibility/shock_campaign_result/cases/transport_cost_scale_down/input_case.json,etudecas/simulation/sensibility/shock_campaign_result/cases/transport_cost_scale_down/simulation_output,single_factor_global,{},transport_cost_scale -> 0.8,,"{""transport_cost_scale"": 0.8}",22701.7116,0.779299,0.107549,0.113152,81.8736,14655.5045,0.945418,37280.0003,27933.5334,1500.0,49149.966,53342.633,53342.633,19998.7226,3573.0616,21768.5663,24929.3078,29870.366,1425.1456,3004.2256,1418.1264,55453.5434,3160.7416,0.0,[],1.0,7.0,transport_cost_scale_down,ok
{},etudecas/simulation/sensibility/shock_campaign_result/cases/transport_cost_scale_up/input_case.json,etudecas/simulation/sensibility/shock_campaign_result/cases/transport_cost_scale_up/simulation_output,single_factor_global,{},transport_cost_scale -> 1.3,,"{""transport_cost_scale"": 1.3}",22701.7116,0.727827,0.100446,0.171728,81.8736,14655.5045,0.945418,37280.0003,29908.9969,1500.0,49149.966,53342.633,53342.633,19998.7226,4639.9143,21768.5663,26904.7713,29870.366,1425.1456,3004.2256,1418.1264,55453.5434,5136.205,0.0,[],1.0,7.0,transport_cost_scale_up,ok
{},etudecas/simulation/sensibility/shock_campaign_result/cases/transport_cost_scale_up_severe/input_case.json,etudecas/simulation/sensibility/shock_campaign_result/cases/transport_cost_scale_up_severe/simulation_output,single_factor_global,{},transport_cost_scale -> 1.6,,"{""transport_cost_scale"": 1.6}",22701.7116,0.700083,0.096617,0.203301,81.8736,14655.5045,0.945418,37280.0003,31094.275,1500.0,49149.966,53342.633,53342.633,19998.7226,5280.0259,21768.5663,28090.0494,29870.366,1425.1456,3004.2256,1418.1264,55453.5434,6321.4831,0.0,[],1.0,7.0,transport_cost_scale_up_severe,ok
