day,demand,served,backlog_end,arrivals_qty,produced_qty,shipped_qty,inventory_total,holding_cost_day,warehouse_operating_cost_day,inventory_risk_cost_day,legacy_raw_holding_cost_day,transport_cost_day,purchase_cost_day,external_procured_ordered_qty,external_procured_arrived_qty,external_procured_rejected_qty,estimated_source_ordered_qty,estimated_source_arrived_qty,estimated_source_rejected_qty,supplier_capacity_binding_qty
52,47.5,47.5,0.0,18448.5275,47.5,172.3541,2457613.827,4634.1745,5958.2244,2648.0997,13240.4986,438.2108,2.7388,0.0,0.0,0.0,77.14,0.0,0.0,0.0
53,47.5,47.5,0.0,18448.3446,47.5,172.3541,2474039.1246,4675.5115,6011.3719,2671.7209,13358.6043,438.2108,2.7388,0.0,0.0,0.0,77.14,0.0,0.0,0.0
54,47.5,47.5,0.0,18519.2953,47.5,172.3541,2490593.5679,4716.9158,6064.606,2695.3804,13476.9022,438.2108,2.7388,0.0,0.0,0.0,77.14,58.195,0.0,0.0
55,47.5,47.5,0.0,18495.6757,47.5,172.3541,2507143.3366,4758.2967,6117.81,2719.0267,13595.1333,438.2108,2.7388,0.0,0.0,0.0,77.14,77.14,0.0,0.0
56,47.5,47.5,0.0,18448.1859,47.5,172.3541,2523645.6154,4799.6971,6171.0392,2742.6841,13713.4204,438.2108,2.7388,0.0,0.0,0.0,77.14,77.14,0.0,0.0
57,47.5,47.5,0.0,18513.5059,47.5,172.3541,2540213.2142,4841.1319,6224.3124,2766.3611,13831.8054,438.2108,2.7388,0.0,0.0,0.0,77.14,77.14,0.0,0.0
58,47.5,47.5,0.0,18596.4728,47.5,172.3541,2556863.7799,4882.635,6277.6736,2790.0772,13950.3858,438.2108,2.7388,0.0,0.0,0.0,77.14,77.14,0.0,0.0
59,47.5,47.5,0.0,18471.9834,47.5,172.3541,2573389.8562,4924.016,6330.8777,2813.7234,14068.617,438.2108,2.7388,0.0,0.0,0.0,77.14,77.14,0.0,0.0
60,47.5,47.5,0.0,18418.574,47.5,172.3541,2589862.5232,4965.3724,6384.0502,2837.3557,14186.7783,438.2108,2.7388,0.0,0.0,0.0,77.14,77.14,0.0,0.0
61,47.5,47.5,0.0,18525.6353,47.5,172.3541,2606442.2515,5006.8563,6437.3867,2861.0607,14305.3037,438.2108,2.7388,0.0,0.0,0.0,77.14,77.14,0.0,0.0
62,47.5,47.5,0.0,18466.073,47.5,172.3541,2622962.4174,5048.2323,6490.5844,2884.7042,14423.521,438.2108,2.7388,0.0,0.0,0.0,77.14,77.14,0.0,0.0
63,47.5,47.5,0.0,18543.3426,47.5,172.3541,2639559.853,5089.6721,6543.8642,2908.3841,14541.9203,438.2108,2.7388,0.0,0.0,0.0,77.14,77.14,0.0,0.0
64,47.5,47.5,0.0,18448.5799,47.5,172.3541,2656062.5259,5131.1356,6597.1744,2932.0775,14660.3875,438.2108,2.7388,0.0,0.0,0.0,77.14,77.14,0.0,0.0
65,47.5,47.5,0.0,18347.8953,47.5,172.3541,2672464.5142,5172.5357,6650.403,2955.7347,14778.6734,438.2108,2.7388,0.0,0.0,0.0,77.14,77.14,0.0,0.0
66,47.5,47.5,0.0,18341.7677,47.5,172.3541,2688860.3749,5213.8915,6703.5748,2979.3666,14896.8329,438.2108,2.7388,0.0,0.0,0.0,77.14,77.14,0.0,0.0
67,47.5,47.5,0.0,18442.7139,47.5,172.3541,2705357.1817,5255.3501,6756.8788,3003.0572,15015.2861,438.2108,2.7388,0.0,0.0,0.0,77.14,77.14,0.0,0.0
68,47.5,47.5,0.0,18425.109,47.5,172.3541,2721836.3836,5296.8139,6810.1893,3026.7508,15133.754,438.2108,2.7388,0.0,0.0,0.0,77.14,77.14,0.0,0.0
69,47.5,47.5,0.0,18347.7899,47.5,172.3541,2738238.2665,5338.2138,6863.4178,3050.4079,15252.0395,438.2108,2.7388,0.0,0.0,0.0,77.14,77.14,0.0,0.0
70,47.5,47.5,0.0,18246.9801,47.5,172.3541,2754539.3396,5379.5307,6916.5394,3074.0175,15370.0876,438.2108,2.7388,0.0,0.0,0.0,77.14,77.14,0.0,0.0
71,47.5,47.5,0.0,18442.9399,47.5,172.3541,2771036.3724,5420.9504,6969.7933,3097.6859,15488.4296,438.2108,2.7388,0.0,0.0,0.0,77.14,77.14,0.0,0.0
72,47.5,47.5,0.0,18466.8547,47.5,172.3541,2787557.3201,5462.4094,7023.0978,3121.3768,15606.8839,438.2108,2.7388,0.0,0.0,0.0,77.14,77.14,0.0,0.0
73,47.5,47.5,0.0,18496.1207,47.5,172.3541,2804107.5338,5503.9121,7076.4584,3145.0926,15725.4631,438.2108,2.7388,0.0,0.0,0.0,77.14,77.14,0.0,0.0
74,47.5,47.5,0.0,18395.1994,47.5,172.3541,2820556.8262,5545.3316,7129.712,3168.7609,15843.8044,438.2108,2.7388,0.0,0.0,0.0,77.14,77.14,0.0,0.0
75,47.5,47.5,0.0,18294.2989,47.5,172.3541,2836905.2181,5586.6678,7182.8586,3192.3816,15961.9081,438.2108,2.7388,0.0,0.0,0.0,77.14,77.14,0.0,0.0
76,47.5,47.5,0.0,18496.1782,47.5,172.3541,2853455.4892,5628.1901,7236.2445,3216.1087,16080.5433,438.2108,2.7388,0.0,0.0,0.0,77.14,77.14,0.0,0.0
77,47.5,47.5,0.0,18241.7545,47.5,172.3541,2869751.3366,5669.5418,7289.4109,3239.7382,16198.6908,438.2108,2.7388,0.0,0.0,0.0,77.14,77.14,0.0,0.0
78,47.5,47.5,0.0,18247.8991,47.5,187.4396,2886038.2432,5710.9448,7342.6434,3263.3971,16316.9853,498.408,2.8897,0.0,0.0,0.0,77.14,77.14,0.0,0.0
79,47.5,47.5,0.0,18419.6385,50.5171,401.6536,2902285.6651,5752.2174,7395.708,3286.9813,16434.9067,1353.2077,5.0318,0.0,0.0,0.0,77.14,77.14,0.0,0.0
80,47.5,47.5,0.0,18295.04,96.377,401.6536,2918453.9386,5793.4828,7448.7635,3310.5616,16552.8079,1353.2077,5.0318,0.0,0.0,0.0,77.14,77.14,0.0,0.0
81,47.5,47.5,0.0,18271.707,141.6335,401.6536,2934643.7309,5834.7849,7501.8662,3334.1628,16670.8139,1353.2077,5.0318,0.0,0.0,0.0,77.14,77.14,0.0,0.0
82,47.5,47.5,0.0,18194.2377,177.718,401.6536,2950791.8159,5876.0325,7554.8989,3357.7329,16788.6643,1353.2077,5.0318,0.0,0.0,0.0,77.14,77.14,0.0,0.0
83,47.5,47.5,0.0,18443.7007,204.7512,401.6536,2967216.1554,5917.488,7608.1989,3381.4217,16907.1086,1353.2077,5.0318,0.0,0.0,0.0,77.14,77.14,0.0,0.0
84,47.5,47.5,0.0,18500.815,224.5675,401.6536,2983717.2484,5959.0458,7661.6303,3405.169,17025.845,1353.2077,5.0318,0.0,0.0,0.0,77.14,77.14,0.0,0.0
85,47.5,47.5,0.0,18423.7101,238.9772,401.6536,3000155.5173,6000.5319,7714.9696,3428.8754,17144.3768,1353.2077,5.0318,0.0,0.0,0.0,77.14,77.14,0.0,0.0
86,47.5,47.5,0.0,18348.4161,249.4236,401.6536,3016528.8451,6041.9839,7768.265,3452.5622,17262.8111,1353.2077,5.0318,0.0,0.0,0.0,77.14,77.14,0.0,0.0
87,47.5,47.5,0.0,18233.1363,256.9881,401.6536,3032794.3901,6083.3469,7821.446,3476.1982,17380.9912,1353.2077,5.0318,0.0,0.0,0.0,77.14,77.14,0.0,0.0
