day,node_id,product_code,component_item_id,threshold_mode,stock_qty,useful_qty,immobilized_qty,unit_value_eur,stock_value_eur,useful_value_eur,immobilized_value_eur,value_source,component_code,component_type,bom_qty_per_1000,bom_uom,lead_days,standard_lot_qty
4,M-1430,268967,item:042342,coverage,78749996.0,45534073.2,33215922.8,0.00221,174037.49116,100630.30177200002,73407.189388,inventory_state_unit_value_basis,042342,MP,60342.0,UN.,21.0,30000000.0
4,M-1430,268967,item:038005,coverage,37598.5325,13204.87821,24393.65429,4.57,171825.29352500002,60346.29341970001,111479.0001053,inventory_state_unit_value_basis,038005,MP,17499.176,G,154.0,10000.0
4,M-1430,268967,item:333362,coverage,142250.0,754600.0,0.0,0.27321,38864.1225,38864.1225,0.0,inventory_state_unit_value_basis,333362,Pack,1000.0,UN.,60.0,5000.0
4,M-1430,268967,item:708073,coverage,10326.88,5983.978,4342.901999999999,3.59,37073.4992,21482.48102,15591.018179999995,inventory_state_unit_value_basis,708073,Pack,7930.0,G,28.0,5000000.0
4,M-1430,268967,item:734545,coverage,1641.0,6036.8,0.0,0.42644,699.78804,699.78804,0.0,inventory_state_unit_value_basis,734545,Pack,8.0,UN.,21.0,6300.0
4,M-1430,268967,item:344135,coverage,0.0,754600.0,0.0,0.00403,0.0,0.0,0.0,inventory_state_unit_value_basis,344135,Pack,1000.0,UN.,35.0,120000.0
4,M-1430,268967,item:042342,target_stock,78749996.0,45534073.2,33215922.8,0.00221,174037.49116,100630.30177200002,73407.189388,inventory_state_unit_value_basis,042342,MP,60342.0,UN.,21.0,30000000.0
4,M-1430,268967,item:038005,target_stock,37598.5325,37728.223456,0.0,4.57,171825.29352500002,171825.29352500002,0.0,inventory_state_unit_value_basis,038005,MP,17499.176,G,154.0,10000.0
4,M-1430,268967,item:333362,target_stock,142250.0,1078000.0,0.0,0.27321,38864.1225,38864.1225,0.0,inventory_state_unit_value_basis,333362,Pack,1000.0,UN.,60.0,5000.0
4,M-1430,268967,item:708073,target_stock,10326.88,8548.54,1778.3399999999983,3.59,37073.4992,30689.2586,6384.240599999994,inventory_state_unit_value_basis,708073,Pack,7930.0,G,28.0,5000000.0
4,M-1430,268967,item:734545,target_stock,1641.0,8624.0,0.0,0.42644,699.78804,699.78804,0.0,inventory_state_unit_value_basis,734545,Pack,8.0,UN.,21.0,6300.0
4,M-1430,268967,item:344135,target_stock,0.0,1078000.0,0.0,0.00403,0.0,0.0,0.0,inventory_state_unit_value_basis,344135,Pack,1000.0,UN.,35.0,120000.0
