rule,threshold_mode,value_kind,item_filter,include_internal_rollup,snapshot_count,real_mean_eur,sim_mean_eur,bias_eur,bias_pct_real_mean,mae_eur,mae_pct_real_mean,corr,first_real_eur,first_sim_eur,first_error_eur,min_sim_eur,max_sim_eur
subset/target_stock/useful/038005+333362,target_stock,useful,subset_038005+333362,False,52,259678.40000000002,249452.99714850003,-10225.402851499997,-0.03937717904723688,31350.489317497697,0.12072813648535147,0.5131090278900569,220644.25,210689.416025,-9954.833974999987,173304.9679197,280950.65369392
subset/target_stock/useful/038005+333362+344135,target_stock,useful,subset_038005+333362+344135,False,52,259678.40000000002,251843.0041485,-7835.395851499999,-0.030173460139541825,31580.943317497695,0.12161559574264819,0.5141073903327981,220644.25,210689.416025,-9954.833974999987,175288.53391969998,280950.65369392
subset/target_stock/useful/038005+333362+734545,target_stock,useful,subset_038005+333362+734545,False,52,259678.40000000002,252158.32922819228,-7520.070771807697,-0.0289591693872409,31591.437758420776,0.12165600896501508,0.5130432441572753,220644.25,211389.20406500003,-9255.045934999973,175879.3009117,284628.27225392003
subset/target_stock/useful/038005+333362+344135+734545,target_stock,useful,subset_038005+333362+344135+734545,False,52,259678.40000000002,254548.3362281923,-5130.063771807697,-0.01975545047954584,31821.891758420774,0.1225434682223118,0.5142225827073812,220644.25,211389.20406500003,-9255.045934999973,177862.8669117,284628.27225392003
subset/target_stock/useful/038005+333362+708073,target_stock,useful,subset_038005+333362+708073,False,52,259678.40000000002,272706.0123185,13027.612318500003,0.0501682554979544,35860.59705120308,0.13809618763517906,0.5051675979758355,220644.25,241378.674625,20734.424625000014,194787.4489397,311639.91229392
subset/target_stock/useful/038005+333362+344135+708073,target_stock,useful,subset_038005+333362+344135+708073,False,52,259678.40000000002,275096.01931849995,15417.619318500005,0.05937197440564946,36653.79405120308,0.14115072355345332,0.5089810297728959,220644.25,241378.674625,20734.424625000014,196771.0149397,311639.91229392
subset/target_stock/useful/038005+333362+708073+734545,target_stock,useful,subset_038005+333362+708073+734545,False,52,259678.40000000002,275411.34439819225,15732.944398192303,0.06058626515795038,37038.302959818466,0.14263143549797927,0.5043292194962176,220644.25,242078.46266500003,21434.21266500003,197361.78193169998,315317.53085392003
target_stock/useful/exclude_042342/direct_only,target_stock,useful,exclude_042342,False,52,259678.40000000002,277801.35139819235,18122.951398192305,0.06978998406564545,37831.499959818466,0.14568597141625358,0.5084131206816578,220644.25,242078.46266500003,21434.21266500003,199345.3479317,315317.53085392003
subset/target_stock/useful/038005+333362+344135+708073+734545,target_stock,useful,subset_038005+333362+344135+708073+734545,False,52,259678.40000000002,277801.35139819235,18122.951398192305,0.06978998406564545,37831.499959818466,0.14568597141625358,0.5084131206816578,220644.25,242078.46266500003,21434.21266500003,199345.3479317,315317.53085392003
coverage/stock/only_042342/direct_only,coverage,stock,only_042342,False,52,259678.40000000002,252357.07206700003,-7321.327932999978,-0.028193827183932037,50458.25989853847,0.19431057761653825,-0.17552385735980605,220644.25,174037.49116,-46606.758839999995,174037.49116,306637.49116000003
demand_180d/stock/only_042342/direct_only,demand_180d,stock,only_042342,False,52,259678.40000000002,252357.07206700003,-7321.327932999978,-0.028193827183932037,50458.25989853847,0.19431057761653825,-0.17552385735980605,220644.25,174037.49116,-46606.758839999995,174037.49116,306637.49116000003
demand_90d/stock/only_042342/direct_only,demand_90d,stock,only_042342,False,52,259678.40000000002,252357.07206700003,-7321.327932999978,-0.028193827183932037,50458.25989853847,0.19431057761653825,-0.17552385735980605,220644.25,174037.49116,-46606.758839999995,174037.49116,306637.49116000003
max_safety_coverage/stock/only_042342/direct_only,max_safety_coverage,stock,only_042342,False,52,259678.40000000002,252357.07206700003,-7321.327932999978,-0.028193827183932037,50458.25989853847,0.19431057761653825,-0.17552385735980605,220644.25,174037.49116,-46606.758839999995,174037.49116,306637.49116000003
safety_plus_coverage/stock/only_042342/direct_only,safety_plus_coverage,stock,only_042342,False,52,259678.40000000002,252357.07206700003,-7321.327932999978,-0.028193827183932037,50458.25989853847,0.19431057761653825,-0.17552385735980605,220644.25,174037.49116,-46606.758839999995,174037.49116,306637.49116000003
target_stock/stock/only_042342/direct_only,target_stock,stock,only_042342,False,52,259678.40000000002,252357.07206700003,-7321.327932999978,-0.028193827183932037,50458.25989853847,0.19431057761653825,-0.17552385735980605,220644.25,174037.49116,-46606.758839999995,174037.49116,306637.49116000003
subset/coverage/stock/042342,coverage,stock,subset_042342,False,52,259678.40000000002,252357.07206700003,-7321.327932999978,-0.028193827183932037,50458.25989853847,0.19431057761653825,-0.17552385735980605,220644.25,174037.49116,-46606.758839999995,174037.49116,306637.49116000003
subset/demand_180d/stock/042342,demand_180d,stock,subset_042342,False,52,259678.40000000002,252357.07206700003,-7321.327932999978,-0.028193827183932037,50458.25989853847,0.19431057761653825,-0.17552385735980605,220644.25,174037.49116,-46606.758839999995,174037.49116,306637.49116000003
subset/demand_90d/stock/042342,demand_90d,stock,subset_042342,False,52,259678.40000000002,252357.07206700003,-7321.327932999978,-0.028193827183932037,50458.25989853847,0.19431057761653825,-0.17552385735980605,220644.25,174037.49116,-46606.758839999995,174037.49116,306637.49116000003
subset/max_safety_coverage/stock/042342,max_safety_coverage,stock,subset_042342,False,52,259678.40000000002,252357.07206700003,-7321.327932999978,-0.028193827183932037,50458.25989853847,0.19431057761653825,-0.17552385735980605,220644.25,174037.49116,-46606.758839999995,174037.49116,306637.49116000003
subset/safety_plus_coverage/stock/042342,safety_plus_coverage,stock,subset_042342,False,52,259678.40000000002,252357.07206700003,-7321.327932999978,-0.028193827183932037,50458.25989853847,0.19431057761653825,-0.17552385735980605,220644.25,174037.49116,-46606.758839999995,174037.49116,306637.49116000003
subset/target_stock/stock/042342,target_stock,stock,subset_042342,False,52,259678.40000000002,252357.07206700003,-7321.327932999978,-0.028193827183932037,50458.25989853847,0.19431057761653825,-0.17552385735980605,220644.25,174037.49116,-46606.758839999995,174037.49116,306637.49116000003
subset/coverage/stock/042342+344135,coverage,stock,subset_042342+344135,False,52,259678.40000000002,255531.48756700003,-4146.912432999973,-0.01596941614319856,50467.46676684617,0.19434603250345875,-0.15462368356639722,220644.25,174037.49116,-46606.758839999995,174037.49116,306637.49116000003
subset/demand_180d/stock/042342+344135,demand_180d,stock,subset_042342+344135,False,52,259678.40000000002,255531.48756700003,-4146.912432999973,-0.01596941614319856,50467.46676684617,0.19434603250345875,-0.15462368356639722,220644.25,174037.49116,-46606.758839999995,174037.49116,306637.49116000003
subset/demand_90d/stock/042342+344135,demand_90d,stock,subset_042342+344135,False,52,259678.40000000002,255531.48756700003,-4146.912432999973,-0.01596941614319856,50467.46676684617,0.19434603250345875,-0.15462368356639722,220644.25,174037.49116,-46606.758839999995,174037.49116,306637.49116000003
subset/max_safety_coverage/stock/042342+344135,max_safety_coverage,stock,subset_042342+344135,False,52,259678.40000000002,255531.48756700003,-4146.912432999973,-0.01596941614319856,50467.46676684617,0.19434603250345875,-0.15462368356639722,220644.25,174037.49116,-46606.758839999995,174037.49116,306637.49116000003
subset/safety_plus_coverage/stock/042342+344135,safety_plus_coverage,stock,subset_042342+344135,False,52,259678.40000000002,255531.48756700003,-4146.912432999973,-0.01596941614319856,50467.46676684617,0.19434603250345875,-0.15462368356639722,220644.25,174037.49116,-46606.758839999995,174037.49116,306637.49116000003
subset/target_stock/stock/042342+344135,target_stock,stock,subset_042342+344135,False,52,259678.40000000002,255531.48756700003,-4146.912432999973,-0.01596941614319856,50467.46676684617,0.19434603250345875,-0.15462368356639722,220644.25,174037.49116,-46606.758839999995,174037.49116,306637.49116000003
subset/target_stock/useful/042342+333362,target_stock,useful,subset_042342+333362,False,52,259678.40000000002,268241.7470508461,8563.347050846183,0.032976739886129085,51187.57025423077,0.19711909136158712,0.42933980840554314,220644.25,139494.42427200003,-81149.82572799997,139494.42427200003,306794.56777200004
subset/coverage/stock/042342+734545,coverage,stock,subset_042342+734545,False,52,259678.40000000002,257112.97368976934,-2565.4263102307423,-0.00987924413517159,51386.271579461565,0.1978842736995513,-0.1761728583597195,220644.25,174737.27920000002,-45906.97079999998,174737.27920000002,312753.06720000005
subset/demand_180d/stock/042342+734545,demand_180d,stock,subset_042342+734545,False,52,259678.40000000002,257112.97368976934,-2565.4263102307423,-0.00987924413517159,51386.271579461565,0.1978842736995513,-0.1761728583597195,220644.25,174737.27920000002,-45906.97079999998,174737.27920000002,312753.06720000005
subset/demand_90d/stock/042342+734545,demand_90d,stock,subset_042342+734545,False,52,259678.40000000002,257112.97368976934,-2565.4263102307423,-0.00987924413517159,51386.271579461565,0.1978842736995513,-0.1761728583597195,220644.25,174737.27920000002,-45906.97079999998,174737.27920000002,312753.06720000005
subset/max_safety_coverage/stock/042342+734545,max_safety_coverage,stock,subset_042342+734545,False,52,259678.40000000002,257112.97368976934,-2565.4263102307423,-0.00987924413517159,51386.271579461565,0.1978842736995513,-0.1761728583597195,220644.25,174737.27920000002,-45906.97079999998,174737.27920000002,312753.06720000005
subset/safety_plus_coverage/stock/042342+734545,safety_plus_coverage,stock,subset_042342+734545,False,52,259678.40000000002,257112.97368976934,-2565.4263102307423,-0.00987924413517159,51386.271579461565,0.1978842736995513,-0.1761728583597195,220644.25,174737.27920000002,-45906.97079999998,174737.27920000002,312753.06720000005
subset/target_stock/stock/042342+734545,target_stock,stock,subset_042342+734545,False,52,259678.40000000002,257112.97368976934,-2565.4263102307423,-0.00987924413517159,51386.271579461565,0.1978842736995513,-0.1761728583597195,220644.25,174737.27920000002,-45906.97079999998,174737.27920000002,312753.06720000005
subset/coverage/stock/042342+344135+734545,coverage,stock,subset_042342+344135+734545,False,52,259678.40000000002,260287.38918976925,608.9891897692555,0.002345166905561862,51487.00607946156,0.19827219391162898,-0.15577390725349613,220644.25,174737.27920000002,-45906.97079999998,174737.27920000002,312753.06720000005
subset/demand_180d/stock/042342+344135+734545,demand_180d,stock,subset_042342+344135+734545,False,52,259678.40000000002,260287.38918976925,608.9891897692555,0.002345166905561862,51487.00607946156,0.19827219391162898,-0.15577390725349613,220644.25,174737.27920000002,-45906.97079999998,174737.27920000002,312753.06720000005
subset/demand_90d/stock/042342+344135+734545,demand_90d,stock,subset_042342+344135+734545,False,52,259678.40000000002,260287.38918976925,608.9891897692555,0.002345166905561862,51487.00607946156,0.19827219391162898,-0.15577390725349613,220644.25,174737.27920000002,-45906.97079999998,174737.27920000002,312753.06720000005
subset/max_safety_coverage/stock/042342+344135+734545,max_safety_coverage,stock,subset_042342+344135+734545,False,52,259678.40000000002,260287.38918976925,608.9891897692555,0.002345166905561862,51487.00607946156,0.19827219391162898,-0.15577390725349613,220644.25,174737.27920000002,-45906.97079999998,174737.27920000002,312753.06720000005
subset/safety_plus_coverage/stock/042342+344135+734545,safety_plus_coverage,stock,subset_042342+344135+734545,False,52,259678.40000000002,260287.38918976925,608.9891897692555,0.002345166905561862,51487.00607946156,0.19827219391162898,-0.15577390725349613,220644.25,174737.27920000002,-45906.97079999998,174737.27920000002,312753.06720000005
subset/target_stock/stock/042342+344135+734545,target_stock,stock,subset_042342+344135+734545,False,52,259678.40000000002,260287.38918976925,608.9891897692555,0.002345166905561862,51487.00607946156,0.19827219391162898,-0.15577390725349613,220644.25,174737.27920000002,-45906.97079999998,174737.27920000002,312753.06720000005
subset/target_stock/useful/042342+333362+734545,target_stock,useful,subset_042342+333362+734545,False,52,259678.40000000002,270947.07913053845,11268.679130538483,0.04339474954612506,51682.09218530771,0.19902345433932012,0.4300353846762326,220644.25,140194.21231200002,-80450.03768799998,140194.21231200002,309368.900764
subset/target_stock/useful/042342+333362+344135,target_stock,useful,subset_042342+333362+344135,False,52,259678.40000000002,270631.75405084615,10953.354050846185,0.04218045879382414,52498.013621307706,0.20216550017755694,0.428360314612152,220644.25,139494.42427200003,-81149.82572799997,139494.42427200003,309835.60577200004
subset/target_stock/useful/042342+333362+344135+734545,target_stock,useful,subset_042342+333362+344135+734545,False,52,259678.40000000002,273337.08613053855,13658.68613053848,0.0525984684538201,53098.332214692324,0.2044772773349355,0.42904361506143945,220644.25,140194.21231200002,-80450.03768799998,140194.21231200002,312409.938764
subset/target_stock/useful/042342+333362+708073,target_stock,useful,subset_042342+333362+708073,False,52,259678.40000000002,291494.76222084626,31816.36222084619,0.12252217443132038,56046.16726838461,0.215829145852657,0.43513930311409865,220644.25,170183.68287200003,-50460.567127999966,170183.68287200003,328277.04879200005
subset/target_stock/useful/042342+333362+708073+734545,target_stock,useful,subset_042342+333362+708073+734545,False,52,259678.40000000002,294200.0943005384,34521.69430053848,0.13294018409131633,56809.00236192308,0.21876676058510477,0.43587868014992387,220644.25,170883.47091200002,-49760.77908799998,170883.47091200002,330851.381784
subset/coverage/stock/042342+708073,coverage,stock,subset_042342+708073,False,52,259678.40000000002,289393.67614661535,29715.276146615397,0.11443106606716383,57490.65932938464,0.2213917650809025,-0.14488449280907506,220644.25,211110.99036,-9533.259640000004,211110.99036,343710.99036000005
subset/demand_180d/stock/042342+708073,demand_180d,stock,subset_042342+708073,False,52,259678.40000000002,289393.67614661535,29715.276146615397,0.11443106606716383,57490.65932938464,0.2213917650809025,-0.14488449280907506,220644.25,211110.99036,-9533.259640000004,211110.99036,343710.99036000005
subset/demand_90d/stock/042342+708073,demand_90d,stock,subset_042342+708073,False,52,259678.40000000002,289393.67614661535,29715.276146615397,0.11443106606716383,57490.65932938464,0.2213917650809025,-0.14488449280907506,220644.25,211110.99036,-9533.259640000004,211110.99036,343710.99036000005
subset/max_safety_coverage/stock/042342+708073,max_safety_coverage,stock,subset_042342+708073,False,52,259678.40000000002,289393.67614661535,29715.276146615397,0.11443106606716383,57490.65932938464,0.2213917650809025,-0.14488449280907506,220644.25,211110.99036,-9533.259640000004,211110.99036,343710.99036000005
subset/safety_plus_coverage/stock/042342+708073,safety_plus_coverage,stock,subset_042342+708073,False,52,259678.40000000002,289393.67614661535,29715.276146615397,0.11443106606716383,57490.65932938464,0.2213917650809025,-0.14488449280907506,220644.25,211110.99036,-9533.259640000004,211110.99036,343710.99036000005
subset/target_stock/stock/042342+708073,target_stock,stock,subset_042342+708073,False,52,259678.40000000002,289393.67614661535,29715.276146615397,0.11443106606716383,57490.65932938464,0.2213917650809025,-0.14488449280907506,220644.25,211110.99036,-9533.259640000004,211110.99036,343710.99036000005
subset/target_stock/useful/042342+333362+344135+708073,target_stock,useful,subset_042342+333362+344135+708073,False,52,259678.40000000002,293884.7692208462,34206.369220846194,0.13172589333901547,57678.774375769244,0.22211618053626808,0.43403035901294396,220644.25,170183.68287200003,-50460.567127999966,170183.68287200003,331318.08679200005
target_stock/useful/exclude_038005/direct_only,target_stock,useful,exclude_038005,False,52,259678.40000000002,296590.1013005385,36911.70130053849,0.14214390299901142,58563.6883536154,0.2255239109360478,0.4347563753533879,220644.25,170883.47091200002,-49760.77908799998,170883.47091200002,333892.419784
subset/target_stock/useful/042342+333362+344135+708073+734545,target_stock,useful,subset_042342+333362+344135+708073+734545,False,52,259678.40000000002,296590.1013005385,36911.70130053849,0.14214390299901142,58563.6883536154,0.2255239109360478,0.4347563753533879,220644.25,170883.47091200002,-49760.77908799998,170883.47091200002,333892.419784
