component_item_id,mean_stock_value_eur,max_stock_value_eur,first_stock_value_eur,mean_useful_value_eur,mean_immobilized_value_eur,unit_value_eur,mean_stock_qty,first_stock_qty,component_code,component_type,bom_qty_per_1000,bom_uom,supplier_count,lead_days,standard_lot_qty
item:038005,322732.94888883946,574504.39446439,171825.29352500002,68320.47389431413,254412.47499452528,4.57,70619.9012885863,37598.5325,038005,MP,17499.176,G,1,154.0,10000.0
item:333362,182446.92087041098,295572.23850000004,38864.1225,168250.00859013697,14196.912280273973,0.27321,667790.0547945206,142250.0,333362,Pack,1000.0,UN.,1,60.0,5000.0
item:042342,154653.27242021478,306637.49116000003,174037.49116,97307.79676361207,57345.47565660274,0.00221,69978856.29873973,78749996.0,042342,MP,60342.0,UN.,1,21.0,30000000.0
item:708073,36126.07038094247,47782.5769,37073.4992,21929.70020859178,14196.370172350684,3.59,10062.972250958903,10326.88,708073,Pack,7930.0,G,1,28.0,5000000.0
item:734545,4580.00994976,6309.009224,699.78804,2607.901694535891,1972.1082552241096,0.42644,10740.104000000001,1641.0,734545,Pack,8.0,UN.,1,21.0,6300.0
item:344135,3829.583352328767,4802.954,0.0,2820.394064657534,1009.1892876712328,0.00403,950268.8219178083,0.0,344135,Pack,1000.0,UN.,1,35.0,120000.0
