event_id,trigger_day,start_day,end_day,supplier_id,item_id,risk_family,risk_type,multiplier,trigger_metric,trigger_value,threshold,consecutive_days,effect,notes
state_stock_stock_cover_below_5d_SDC_VD0500655A_item_002612_d30,30,31,37,SDC-VD0500655A,item:002612,stock,availability,0.95,stock_cover_below_5d,0.0,5.0,27,Disponibilite fournisseur x0.95 pendant 7 jours,Alerte legere: declenche quand le stock fournisseur couvre moins de 5 jours de besoin pendant 5 jours consecutifs.
state_stock_stock_cover_below_3d_SDC_VD0500655A_item_002612_d30,30,31,44,SDC-VD0500655A,item:002612,stock,availability,0.85,stock_cover_below_3d,0.0,3.0,27,Disponibilite fournisseur x0.85 pendant 14 jours,Tension stock: declenche quand le stock fournisseur couvre moins de 3 jours de besoin pendant 2 jours consecutifs.
state_stock_stock_cover_zero_SDC_VD0500655A_item_002612_d30,30,31,51,SDC-VD0500655A,item:002612,stock,availability,0.7,stock_cover_zero,0.0,0.25,27,Disponibilite fournisseur x0.70 pendant 21 jours,Rupture stock locale: declenche quand le stock fournisseur couvre moins d'un quart de jour de besoin.
state_stock_stock_cover_below_5d_SDC_VD0518684A_item_001893_d30,30,31,37,SDC-VD0518684A,item:001893,stock,availability,0.95,stock_cover_below_5d,0.0,5.0,28,Disponibilite fournisseur x0.95 pendant 7 jours,Alerte legere: declenche quand le stock fournisseur couvre moins de 5 jours de besoin pendant 5 jours consecutifs.
state_stock_stock_cover_below_3d_SDC_VD0518684A_item_001893_d30,30,31,44,SDC-VD0518684A,item:001893,stock,availability,0.85,stock_cover_below_3d,0.0,3.0,28,Disponibilite fournisseur x0.85 pendant 14 jours,Tension stock: declenche quand le stock fournisseur couvre moins de 3 jours de besoin pendant 2 jours consecutifs.
state_stock_stock_cover_zero_SDC_VD0518684A_item_001893_d30,30,31,51,SDC-VD0518684A,item:001893,stock,availability,0.7,stock_cover_zero,0.0,0.25,28,Disponibilite fournisseur x0.70 pendant 21 jours,Rupture stock locale: declenche quand le stock fournisseur couvre moins d'un quart de jour de besoin.
state_stock_stock_cover_below_5d_SDC_VD0519670A_item_001848_d30,30,31,37,SDC-VD0519670A,item:001848,stock,availability,0.95,stock_cover_below_5d,0.0,5.0,30,Disponibilite fournisseur x0.95 pendant 7 jours,Alerte legere: declenche quand le stock fournisseur couvre moins de 5 jours de besoin pendant 5 jours consecutifs.
state_stock_stock_cover_below_3d_SDC_VD0519670A_item_001848_d30,30,31,44,SDC-VD0519670A,item:001848,stock,availability,0.85,stock_cover_below_3d,0.0,3.0,30,Disponibilite fournisseur x0.85 pendant 14 jours,Tension stock: declenche quand le stock fournisseur couvre moins de 3 jours de besoin pendant 2 jours consecutifs.
state_stock_stock_cover_zero_SDC_VD0519670A_item_001848_d30,30,31,51,SDC-VD0519670A,item:001848,stock,availability,0.7,stock_cover_zero,0.0,0.25,30,Disponibilite fournisseur x0.70 pendant 21 jours,Rupture stock locale: declenche quand le stock fournisseur couvre moins d'un quart de jour de besoin.
state_stock_stock_cover_below_5d_SDC_VD0519670A_item_029313_d30,30,31,37,SDC-VD0519670A,item:029313,stock,availability,0.95,stock_cover_below_5d,0.0,5.0,30,Disponibilite fournisseur x0.95 pendant 7 jours,Alerte legere: declenche quand le stock fournisseur couvre moins de 5 jours de besoin pendant 5 jours consecutifs.
state_stock_stock_cover_below_3d_SDC_VD0519670A_item_029313_d30,30,31,44,SDC-VD0519670A,item:029313,stock,availability,0.85,stock_cover_below_3d,0.0,3.0,30,Disponibilite fournisseur x0.85 pendant 14 jours,Tension stock: declenche quand le stock fournisseur couvre moins de 3 jours de besoin pendant 2 jours consecutifs.
state_stock_stock_cover_zero_SDC_VD0519670A_item_029313_d30,30,31,51,SDC-VD0519670A,item:029313,stock,availability,0.7,stock_cover_zero,0.0,0.25,30,Disponibilite fournisseur x0.70 pendant 21 jours,Rupture stock locale: declenche quand le stock fournisseur couvre moins d'un quart de jour de besoin.
state_stock_stock_cover_below_5d_SDC_VD0520132A_item_049371_d30,30,31,37,SDC-VD0520132A,item:049371,stock,availability,0.95,stock_cover_below_5d,1.836784,5.0,26,Disponibilite fournisseur x0.95 pendant 7 jours,Alerte legere: declenche quand le stock fournisseur couvre moins de 5 jours de besoin pendant 5 jours consecutifs.
state_stock_stock_cover_below_3d_SDC_VD0520132A_item_049371_d30,30,31,44,SDC-VD0520132A,item:049371,stock,availability,0.85,stock_cover_below_3d,1.836784,3.0,26,Disponibilite fournisseur x0.85 pendant 14 jours,Tension stock: declenche quand le stock fournisseur couvre moins de 3 jours de besoin pendant 2 jours consecutifs.
state_stock_stock_cover_below_5d_SDC_VD0525412A_item_333362_d30,30,31,37,SDC-VD0525412A,item:333362,stock,availability,0.95,stock_cover_below_5d,0.142857,5.0,21,Disponibilite fournisseur x0.95 pendant 7 jours,Alerte legere: declenche quand le stock fournisseur couvre moins de 5 jours de besoin pendant 5 jours consecutifs.
state_stock_stock_cover_below_3d_SDC_VD0525412A_item_333362_d30,30,31,44,SDC-VD0525412A,item:333362,stock,availability,0.85,stock_cover_below_3d,0.142857,3.0,19,Disponibilite fournisseur x0.85 pendant 14 jours,Tension stock: declenche quand le stock fournisseur couvre moins de 3 jours de besoin pendant 2 jours consecutifs.
state_stock_stock_cover_zero_SDC_VD0525412A_item_333362_d30,30,31,51,SDC-VD0525412A,item:333362,stock,availability,0.7,stock_cover_zero,0.142857,0.25,6,Disponibilite fournisseur x0.70 pendant 21 jours,Rupture stock locale: declenche quand le stock fournisseur couvre moins d'un quart de jour de besoin.
state_stock_stock_cover_below_5d_SDC_VD0910216A_item_001893_d30,30,31,37,SDC-VD0910216A,item:001893,stock,availability,0.95,stock_cover_below_5d,0.0,5.0,30,Disponibilite fournisseur x0.95 pendant 7 jours,Alerte legere: declenche quand le stock fournisseur couvre moins de 5 jours de besoin pendant 5 jours consecutifs.
state_stock_stock_cover_below_3d_SDC_VD0910216A_item_001893_d30,30,31,44,SDC-VD0910216A,item:001893,stock,availability,0.85,stock_cover_below_3d,0.0,3.0,30,Disponibilite fournisseur x0.85 pendant 14 jours,Tension stock: declenche quand le stock fournisseur couvre moins de 3 jours de besoin pendant 2 jours consecutifs.
