supplier_id,supplier_name,item_id,dst_node_id,edge_id,uom,input_initial_stock_qty,simulated_opening_stock_qty,base_stock_qty,min_stock_end_of_day,avg_stock_end_of_day,final_stock_end_of_day,neutral_opening_stock_floor_qty,neutral_opening_stock_reducible_qty,neutral_opening_stock_scale,nominal_capacity_qty_per_day,effective_capacity_qty_per_day,capacity_basis,applied_capacity_scale,explicit_capacity_qty_per_day,process_capacity_qty_per_day,downstream_requirement_qty_per_day,downstream_signal_qty_per_day,external_procurement_daily_need_qty,external_procurement_nominal_capacity_qty_per_day,external_procurement_target_utilization,external_procurement_capacity_profile,external_procurement_capacity_basis,external_procurement_lead_days,external_procurement_pipeline_target_qty,external_procurement_initial_pipeline_seed_qty,avg_capacity_utilization,max_capacity_utilization,capacity_active_days,max_capacity_used_qty_per_day,neutral_capacity_floor_qty_per_day,industrial_capacity_target_utilization,industrial_capacity_profile,industrial_nominal_capacity_qty_per_day,industrial_peak_utilization_if_nominal,current_capacity_headroom_vs_industrial_nominal,tested_capacity_floor_qty_per_day,tested_capacity_floor_factor,neutral_capacity_scale_if_nominal,current_capacity_headroom_factor,current_capacity_headroom_vs_tested_floor,capacity_floor_basis,planned_lead_time_days,lead_time_type,lead_time_stages,lead_time_source,lead_time_is_default,lead_reference_days,lead_cover_days,delay_step_limit,nominal_reliability_otif,reliability_source,standard_order_qty,standard_order_uom,mrp_share,mrp_rank,mrp_share_basis,mrp_landed_unit_cost,mrp_cost_penalty,mrp_lead_penalty,mrp_reliability_penalty,mrp_variability_penalty,mrp_allocation_penalty,unit_purchase_cost,unit_transport_cost,total_shipped_qty,total_pulled_qty,shipment_rows,first_shipment_day,last_shipment_day
SDC-VD0500655A,Supplier of Raw Materials - VD0500655A,item:002612,M-1810,edge:SDC-VD0500655A_TO_M-1810_002612,KG,180.0,21600.0,21600.0,0.0,35.506849,0.0,21600.0,0.0,1.0,635.294118,203294.117647,downstream_requirement+fia_hint,320.0,0.0,0.0,413.2065,29.232,635.294118,907.563025,0.7,raw_material_qualified_pharma,max_downstream_pull_or_lot_over_logistic_cover_div_target_utilization,28.0,17788.235294,0.0,5.8e-05,0.10625,1,21600.0,21600.0,0.7,raw_material_qualified_pharma,30857.142857,0.7,6.588235,54000.0,2.5,1.0,9.411765,3.764706,max_daily_pulled_qty_observed_x2.5_tested,28.0,erlang_pipeline,4,case_data_fia,False,28,34,56,1.0,service_level.otif,21600.0,KG,0.05,4,legacy_fixed_split,1.55034,0.0,0.0,0.0,0.0,0.0,1.34,0.21034,21600.0,21600.0,1,3,3
SDC-VD0505677A,Supplier of Raw Materials - VD0505677A,item:099439,M-1810,edge:SDC-VD0505677A_TO_M-1810_099439,KG,180.0,11569.782,11569.782,3169.782,3172.08337,3169.782,8400.0,3169.782,0.726029,516.508125,165282.6,downstream_requirement,320.0,0.0,0.0,413.2065,29.232,413.2065,590.295,0.7,raw_material_qualified_pharma,max_downstream_pull_or_lot_over_logistic_cover_div_target_utilization,35.0,14462.2275,0.0,2.8e-05,0.025411,2,4200.0,4200.0,0.7,raw_material_qualified_pharma,6000.0,0.7,27.5471,10500.0,2.5,1.0,39.353,15.7412,max_daily_pulled_qty_observed_x2.5_tested,35.0,erlang_pipeline,4,case_data_fia,False,35,42,70,1.0,service_level.otif,4200.0,KG,1.0,1,legacy_fixed_split,9.34246,0.0,0.0,0.0,0.0,0.0,9.17,0.17246,8400.0,8400.0,2,0,1
SDC-VD0508918A,Supplier of Packaging - VD0508918A,item:730384,M-1430,edge:SDC-VD0508918A_TO_M-1430_730384,M,180.0,914144.0,914144.0,174144.0,247130.30137,174144.0,740000.0,174144.0,0.8095,40810.0,13059200.0,downstream_requirement,320.0,0.0,0.0,32648.0,22853.6,32648.0,43530.666667,0.75,packaging_qualified_pharma,max_downstream_pull_or_lot_over_logistic_cover_div_target_utilization,56.0,1828288.0,0.0,3.1e-05,0.056665,1,740000.0,740000.0,0.75,packaging_qualified_pharma,986666.666667,0.75,13.235676,1850000.0,2.5,1.0,17.647568,7.059027,max_daily_pulled_qty_observed_x2.5_tested,56.0,erlang_pipeline,4,case_data_fia,False,56,68,112,1.0,service_level.otif,370000.0,M,1.0,1,legacy_fixed_split,0.05032,0.0,0.0,0.0,0.0,0.0,0.01,0.04032,740000.0,740000.0,2,180,247
SDC-VD0514881A,Supplier of Raw Materials - VD0514881A,item:016332,M-1810,edge:SDC-VD0514881A_TO_M-1810_016332,KG,180.0,2776.74768,2776.74768,576.74768,577.35042,576.74768,2200.0,576.74768,0.792294,123.96195,39667.824,downstream_requirement,320.0,0.0,0.0,99.16956,7.01568,99.16956,141.6708,0.7,raw_material_qualified_pharma,max_downstream_pull_or_lot_over_logistic_cover_div_target_utilization,49.0,4859.30844,0.0,3e-05,0.02773,2,1100.0,1100.0,0.7,raw_material_qualified_pharma,1571.428571,0.7,25.243161,2750.0,2.5,1.0,36.061658,14.424663,max_daily_pulled_qty_observed_x2.5_tested,49.0,erlang_pipeline,4,case_data_fia,False,49,59,98,1.0,service_level.otif,1100.0,KG,1.0,1,legacy_fixed_split,27.99312,0.0,0.0,0.0,0.0,0.0,27.62,0.37312,2200.0,2200.0,2,0,1
SDC-VD0518684A,Supplier of Raw Materials - VD0518684A,item:001893,M-1810,edge:SDC-VD0518684A_TO_M-1810_001893,KG,180.0,22800.0,22800.0,0.0,24.986301,0.0,22800.0,0.0,1.0,1962.730875,628073.88,downstream_requirement,320.0,0.0,0.0,1570.1847,111.0816,523.3949,747.707,0.7,raw_material_qualified_pharma,max_downstream_pull_or_lot_over_logistic_cover_div_target_utilization,56.0,29310.1144,0.0,2e-05,0.036301,1,22800.0,22800.0,0.7,raw_material_qualified_pharma,32571.428571,0.7,19.28297,57000.0,2.5,1.0,27.5471,11.01884,max_daily_pulled_qty_observed_x2.5_tested,56.0,erlang_pipeline,4,case_data_fia,False,56,68,112,1.0,service_level.otif,22800.0,KG,0.1,3,legacy_fixed_split,4.66998,0.0,0.0,0.0,0.0,0.0,4.4,0.26998,22800.0,22800.0,1,2,2
SDC-VD0519670A,Supplier of Raw Materials - VD0519670A,item:001848,M-1810,edge:SDC-VD0519670A_TO_M-1810_001848,KG,180.0,4000.0,4000.0,0.0,0.0,0.0,4000.0,0.0,1.0,309.904875,99169.56,downstream_requirement+fia_hint,320.0,0.0,0.0,247.9239,17.5392,153.846154,219.78022,0.7,raw_material_qualified_pharma,max_downstream_pull_or_lot_over_logistic_cover_div_target_utilization,21.0,3230.769231,0.0,2.2e-05,0.040335,1,4000.0,4000.0,0.7,raw_material_qualified_pharma,5714.285714,0.7,17.354673,10000.0,2.5,1.0,24.79239,9.916956,max_daily_pulled_qty_observed_x2.5_tested,21.0,erlang_pipeline,4,case_data_fia,False,21,26,42,1.0,service_level.otif,4000.0,KG,0.7,1,legacy_fixed_split,4.23094,0.0,0.0,0.0,0.0,0.0,4.2,0.03094,4000.0,4000.0,1,0,0
SDC-VD0519670A,Supplier of Raw Materials - VD0519670A,item:029313,M-1810,edge:SDC-VD0519670A_TO_M-1810_029313,KG,180.0,300.0,300.0,0.0,0.0,0.0,300.0,0.0,1.0,25.714286,8228.571429,downstream_requirement,320.0,0.0,0.0,8.26413,0.58464,8.26413,11.8059,0.7,raw_material_qualified_pharma,max_downstream_pull_or_lot_over_logistic_cover_div_target_utilization,56.0,462.79128,0.0,2e-05,0.036458,1,300.0,300.0,0.7,raw_material_qualified_pharma,428.571429,0.7,19.2,750.0,2.5,1.0,27.428571,10.971429,max_daily_pulled_qty_observed_x2.5_tested,56.0,erlang_pipeline,4,case_data_fia,False,56,68,112,1.0,service_level.otif,300.0,KG,1.0,1,legacy_fixed_split,2.10094,0.0,0.0,0.0,0.0,0.0,2.07,0.03094,300.0,300.0,1,0,0
SDC-VD0520115A,Supplier of Packaging - VD0520115A,item:708073,M-1430,edge:SDC-VD0520115A_TO_M-1430_708073,KG,180.0,29309.28,29309.28,4309.28,6281.88274,4309.28,25000.0,4309.28,0.852972,1526.525,488488.0,downstream_requirement,320.0,0.0,0.0,1221.22,854.854,1221.22,1628.293333,0.75,packaging_qualified_pharma,max_downstream_pull_or_lot_over_logistic_cover_div_target_utilization,28.0,34194.16,0.0,0.000163,0.255892,2,20000.0,20000.0,0.75,packaging_qualified_pharma,26666.666667,0.75,18.3183,50000.0,2.5,1.0,24.4244,9.76976,max_daily_pulled_qty_observed_x2.5_tested,28.0,erlang_pipeline,4,case_data_fia,False,28,34,56,1.0,service_level.otif,5000.0,KG,1.0,1,legacy_fixed_split,3.7034,0.0,0.0,0.0,0.0,0.0,3.59,0.1134,22500.0,25000.0,5,0,213
SDC-VD0520132A,Supplier of Raw Materials - VD0520132A,item:038005,M-1430,edge:SDC-VD0520132A_TO_M-1430_038005,KG,180.0,75456.446912,75456.446912,5456.446912,13620.830474,5456.446912,70000.0,5456.446912,0.927687,3368.59138,1077949.2416,downstream_requirement,320.0,0.0,0.0,2694.873104,1886.411173,2694.873104,4145.958622,0.65,raw_material_high_lead_qualified,max_downstream_pull_or_lot_over_logistic_cover_div_target_utilization,154.0,415010.458016,0.0,0.000402,0.231922,7,10000.0,10000.0,0.65,raw_material_high_lead_qualified,15384.615385,0.65,70.066701,25000.0,2.5,1.0,107.794924,43.11797,max_daily_pulled_qty_observed_x2.5_tested,154.0,erlang_pipeline,4,case_data_fia,False,154,185,308,1.0,service_level.otif,10000.0,KG,1.0,1,legacy_fixed_split,4.60992,0.0,0.0,0.0,0.0,0.0,4.57,0.03992,145000.0,160000.0,16,-140,534
SDC-VD0520132A,Supplier of Raw Materials - VD0520132A,item:049371,M-1810,edge:SDC-VD0520132A_TO_M-1810_049371,KG,180.0,8561.63868,8561.63868,561.63868,570.405803,561.63868,8000.0,561.63868,0.934401,382.216012,122309.124,downstream_requirement,320.0,0.0,0.0,305.77281,21.63168,305.77281,470.419708,0.65,raw_material_high_lead_qualified,max_downstream_pull_or_lot_over_logistic_cover_div_target_utilization,147.0,44948.60307,0.0,3.6e-05,0.013082,5,1600.0,1600.0,0.65,raw_material_high_lead_qualified,2461.538462,0.65,49.688082,4000.0,2.5,1.0,76.443202,30.577281,max_daily_pulled_qty_observed_x2.5_tested,147.0,erlang_pipeline,4,case_data_fia,False,147,177,294,1.0,service_level.otif,1600.0,KG,1.0,1,legacy_fixed_split,14.78626,0.0,0.0,0.0,0.0,0.0,14.65,0.13626,8000.0,8000.0,5,0,4
