day,node_id,output_item_id,desired_qty,planned_qty_after_lot_rule,actual_qty,cap_qty,max_from_inputs_qty,binding_cause,binding_input_item_id,shortfall_vs_desired_qty,shortfall_vs_lot_plan_qty,lot_policy_mode,lot_fixed_qty,lot_min_qty,lot_max_qty,lot_multiple_qty,max_lots_per_week,started_lots_this_week,requested_lot_starts,actual_lot_starts,campaign_requested_qty,campaign_started_qty,campaign_remaining_start_qty,campaign_remaining_end_qty
0,M-1430,item:268967,2050.285714,107800.0,0.0,154000.0,0.0,lot_campaign_blocked,,2050.285714,107800.0,fixed,107800.0,107800.0,107800.0,0.0,10,1,1,1,107800.0,107800.0,107800.0,107800.0
0,M-1810,item:268091,3597.750381,14400.0,14400.0,203550.0,354000.0,none,,0.0,0.0,min_max,0.0,14400.0,142485.0,14400.0,10,3,1,1,14400.0,14400.0,14400.0,0.0
0,SDC-1450,item:773474,1966826.572,1400000.0,500000.0,500000.0,127751677.852349,capacity,,1466826.572,900000.0,fixed,3200000.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,1400000.0,900000.0
1,M-1430,item:268967,2460.342857,107800.0,107800.0,154000.0,142250.0,none,,0.0,0.0,fixed,107800.0,107800.0,107800.0,0.0,10,1,0,0,0.0,0.0,107800.0,0.0
1,SDC-1450,item:773474,3502826.572,900000.0,500000.0,500000.0,127251677.852349,capacity,,3002826.572,400000.0,fixed,3200000.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,900000.0,400000.0
2,SDC-1450,item:773474,3810026.572,400000.0,400000.0,500000.0,126751677.852349,none,,3410026.572,0.0,fixed,3200000.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,400000.0,0.0
3,SDC-1450,item:773474,3871466.572,6400000.0,500000.0,500000.0,126351677.852349,capacity,,3371466.572,5900000.0,fixed,3200000.0,0.0,0.0,0.0,0,2,2,2,6400000.0,6400000.0,6400000.0,5900000.0
4,SDC-1450,item:773474,3883754.572,5900000.0,500000.0,500000.0,125851677.852349,capacity,,3383754.572,5400000.0,fixed,3200000.0,0.0,0.0,0.0,0,2,0,0,0.0,0.0,5900000.0,5400000.0
5,SDC-1450,item:773474,3886212.172,5400000.0,500000.0,500000.0,125351677.852349,capacity,,3386212.172,4900000.0,fixed,3200000.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,5400000.0,4900000.0
6,SDC-1450,item:773474,3886703.692,4900000.0,500000.0,500000.0,124851677.852349,capacity,,3386703.692,4400000.0,fixed,3200000.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,4900000.0,4400000.0
